date,Close,High,Low,Open,Volume,aVWAP_peak_108,aVWAP_peak_78,aVWAP_peak_68,aVWAP_peak_50,aVWAP_peak_26,aVWAP_valley_93,aVWAP_valley_53,aVWAP_valley_14,aVWAP_OB_bull_93,aVWAP_OB_bear_108,Peaks_Valleys_avg,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore
2025-01-23 00:00:00+00:00,24.6597124393,24.6744934857,24.6597124393,24.6744934857,50003,,,,,,,,,,,,,,#000000,,,
2025-01-24 00:00:00+00:00,24.6784350981,24.6843475166,24.6784350981,24.6843475166,200116,,,,,,,,,,,,,,#000000,,,
2025-01-27 00:00:00+00:00,24.6969606762,24.6969606762,24.6942015476,24.6942015476,25020,,,,,,,,,,,,,,#000000,,,
2025-01-28 00:00:00+00:00,24.6986358615,24.7040555785,24.6986358615,24.7040555785,400000,,,,,,,,,,,,,,#000000,,,
2025-01-29 00:00:00+00:00,24.6892745321,24.7139096095,24.6892745321,24.7139096095,100023,,,,,,,,,,,,,,#000000,,,
2025-01-30 00:00:00+00:00,24.7166687381,24.7336176713,24.7166687381,24.7336176713,95008,,,,,,,,,,,,,,#000000,,,
2025-01-31 00:00:00+00:00,24.6861212422,24.7139096095,24.6861212422,24.7139096095,125029,,,,,,,,,,,,,,#000000,,,
2025-02-03 00:00:00+00:00,24.7286906559,24.7286906559,24.7286906559,24.7286906559,8,,,,,,,,,,,,,,#000000,,,
2025-02-04 00:00:00+00:00,24.7483987178,24.7483987178,24.7483987178,24.7483987178,36,,,,,,,,,,,,,,#000000,,,
2025-02-05 00:00:00+00:00,24.802595888,24.8223039498,24.802595888,24.8223039498,101,,,,,,,,,,,,,,#000000,,,
2025-02-06 00:00:00+00:00,24.7918549942,24.7918549942,24.7918549942,24.7918549942,101,,,,,,,,,,,,,,#000000,,,
2025-02-07 00:00:00+00:00,24.7533257332,24.7533257332,24.7533257332,24.7533257332,0,,,,,,,,,,,,,,#000000,,,
2025-02-10 00:00:00+00:00,24.7779608106,24.7779608106,24.7730337951,24.7730337951,100,,,,,,,,,,,,,,#000000,,,
2025-02-11 00:00:00+00:00,24.7385446868,24.7385446868,24.7385446868,24.7385446868,100,,,,,,,,,,,,,,#000000,,,
2025-02-12 00:00:00+00:00,24.6400043774,24.6400043774,24.6400043774,24.6400043774,1,,,,,,,,24.6400043774,,,24.6400043774,,24.6400043774,#000000,,24.6400043774,
2025-02-13 00:00:00+00:00,24.699128563,24.699128563,24.699128563,24.699128563,1,,,,,,,,24.6695664702,,,24.6695664702,,24.6695664702,#000000,,24.6695664702,
2025-02-14 00:00:00+00:00,24.7385446868,24.7385446868,24.7385446868,24.7385446868,25,,,,,,,,24.733435189274072,,,24.733435189274072,,24.733435189274072,#000000,,24.733435189274072,
2025-02-18 00:00:00+00:00,24.7040555785,24.7040555785,24.7040555785,24.7040555785,5,,,,,,,,24.728844625090623,,,24.728844625090623,,24.728844625090623,#000000,,24.728844625090623,
