date,Open,High,Low,Close,Volume,aVWAP_peak_220,aVWAP_peak_219,aVWAP_peak_218,aVWAP_peak_217,aVWAP_peak_216,aVWAP_peak_195,aVWAP_peak_194,aVWAP_peak_193,aVWAP_peak_192,aVWAP_peak_167,aVWAP_peak_166,aVWAP_peak_149,aVWAP_peak_148,aVWAP_peak_147,aVWAP_peak_146,aVWAP_peak_145,aVWAP_peak_113,aVWAP_peak_108,aVWAP_peak_98,aVWAP_peak_97,aVWAP_peak_96,aVWAP_peak_92,aVWAP_peak_68,aVWAP_peak_43,aVWAP_valley_208,aVWAP_valley_207,aVWAP_valley_187,aVWAP_valley_186,aVWAP_valley_156,Peaks_avg,Valleys_avg,color
2025-07-09 13:30:00+00:00,1.735,1.775,1.725,1.765,22465.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 13:35:00+00:00,1.765,1.765,1.745,1.755,139.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 13:40:00+00:00,1.755,1.765,1.755,1.755,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 13:45:00+00:00,1.755,1.765,1.755,1.765,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 13:50:00+00:00,1.765,1.8,1.765,1.795,7079.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 13:55:00+00:00,1.795,1.845,1.795,1.845,19539.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:00:00+00:00,1.845,1.865,1.845,1.845,6239.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:05:00+00:00,1.845,1.88,1.845,1.855,4861.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:10:00+00:00,1.855,1.865,1.85,1.865,1625.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:15:00+00:00,1.865,1.875,1.865,1.87,3611.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:20:00+00:00,1.865,1.875,1.865,1.865,2600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:25:00+00:00,1.865,1.865,1.85,1.855,9471.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:30:00+00:00,1.85,1.87,1.85,1.865,3507.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:35:00+00:00,1.865,1.865,1.86,1.865,530.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:40:00+00:00,1.865,1.875,1.855,1.875,34139.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:45:00+00:00,1.875,1.88,1.875,1.875,4873.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:50:00+00:00,1.87,1.9,1.87,1.895,67592.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:55:00+00:00,1.895,1.895,1.865,1.865,1206.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 15:00:00+00:00,1.865,1.895,1.865,1.895,5548.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 15:05:00+00:00,1.895,1.895,1.88,1.895,124.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 15:10:00+00:00,1.895,1.91,1.895,1.91,10239.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 15:15:00+00:00,1.91,1.91,1.905,1.905,9749.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 15:20:00+00:00,1.905,1.915,1.905,1.905,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 15:25:00+00:00,1.905,1.935,1.905,1.935,8576.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 15:30:00+00:00,1.935,1.935,1.915,1.915,6212.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 15:35:00+00:00,1.915,1.925,1.915,1.925,257.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 15:40:00+00:00,1.925,1.925,1.92,1.92,592.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 15:45:00+00:00,1.925,1.945,1.925,1.945,14244.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 15:50:00+00:00,1.945,1.955,1.945,1.955,1924.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 15:55:00+00:00,1.955,1.955,1.945,1.945,2530.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 16:00:00+00:00,1.94,1.945,1.935,1.945,1193.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 16:05:00+00:00,1.945,1.945,1.935,1.945,129.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 16:10:00+00:00,1.945,1.96,1.945,1.96,13212.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 16:15:00+00:00,1.955,1.965,1.955,1.965,4696.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 16:20:00+00:00,1.965,1.965,1.955,1.96,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 16:25:00+00:00,1.955,1.965,1.955,1.96,1206.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 16:30:00+00:00,1.96,1.965,1.96,1.965,132.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 16:35:00+00:00,1.965,1.965,1.965,1.965,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 16:40:00+00:00,1.965,1.975,1.965,1.975,561.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 16:45:00+00:00,1.97,1.975,1.965,1.975,3342.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
