date,Close,High,Low,Open,Volume,aVWAP_peak_150,aVWAP_peak_129,aVWAP_peak_113,aVWAP_valley_171,aVWAP_valley_136,aVWAP_valley_124,aVWAP_valley_93,aVWAP_valley_52,aVWAP_OB_bear_150,Peaks_Valleys_avg,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_50,SMA_200,OB,OB_High,OB_Low,OB_Mitigated_Index,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,5.05,6.03,4.94,5.84,31650272,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,31650272.0,False,False,False,False
2022-01-07 00:00:00+00:00,4.29,5.39,4.2014,5.13,31649640,,,,,,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-31649640,-2344417.7777777775,False,False,False,False,31650225.185185183,False,False,False,False
2022-01-14 00:00:00+00:00,4.56,5.11,3.99,4.035,30044477,,,,,,,,,,,,,#000000,,,,7.8770786735388425,-69.6926966838471,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-1605163,-2289658.1646090536,False,False,False,False,31531280.875171464,False,False,False,False
2022-01-21 00:00:00+00:00,3.58,4.54,3.49,4.32,27184597,,,,,,,,,,,,,#000000,,,,9.427873916428627,-67.7959328158437,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-28789760,-4252628.670934308,False,False,False,False,31209304.29182543,False,False,False,False
2022-01-28 00:00:00+00:00,3.35,3.905,2.935,3.12,45498568,,,,,,,,,,,,,#000000,,3.396666666666666,,10.097938129552903,-66.47225853058029,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-74288328,-9440458.2508651,False,False,False,False,32267768.270208728,False,False,False,False
2022-02-04 00:00:00+00:00,3.81,4.01,3.31,3.34,38828810,,,,,,,,,,,,,#000000,,3.5409419987737154,,15.564762577960895,-60.388821509898506,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-35459518,-11367796.010060277,False,False,False,False,32753771.36130438,False,False,False,False
2022-02-11 00:00:00+00:00,3.9,4.62,3.85,4.14,46294096,,,,,,,,,,,,,#000000,,3.7473497166323515,,20.274974091217764,-55.05858093675294,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,10834578,-9723175.713018775,False,False,False,False,33756758.37157813,False,False,False,False
2022-02-18 00:00:00+00:00,3.45,4.2276,3.36,4.1,31709143,,,,,,,,,,,,,#000000,,3.734037569176492,,22.02908750034229,-52.529849058400586,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-20874565,-10549204.549091458,False,False,False,False,33605083.15886864,False,False,False,False
2022-02-25 00:00:00+00:00,3.29,3.51,2.75,3.27,23390403,,,,,,,,,,,,,#000000,,3.4240065710447496,,22.808189240277596,-50.81655379563509,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-44264968,-13046668.508418018,False,False,False,False,32848440.18413763,False,False,False,False
2022-03-04 00:00:00+00:00,3.44,4.27,3.26,3.28,36281309,,,,,,,,,,,,,#000000,,3.5672487217389732,,24.640056670823533,-48.00048808934412,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,-0.15322623109837508,-0.15322623109837508,False,False,False,False,-7983659,-12671630.76705372,False,False,False,False,33102726.7630904,False,False,False,False
