date,Open,High,Low,Close,Volume,aVWAP_peak_872,aVWAP_peak_870,aVWAP_peak_859,aVWAP_peak_839,aVWAP_peak_792,aVWAP_peak_761,aVWAP_peak_726,aVWAP_peak_708,aVWAP_peak_698,aVWAP_peak_681,aVWAP_peak_660,aVWAP_peak_636,aVWAP_peak_620,aVWAP_peak_596,aVWAP_peak_569,aVWAP_peak_552,aVWAP_peak_510,aVWAP_peak_497,aVWAP_peak_465,aVWAP_peak_426,aVWAP_peak_408,aVWAP_peak_389,aVWAP_peak_346,aVWAP_peak_312,aVWAP_peak_287,aVWAP_peak_245,aVWAP_peak_233,aVWAP_peak_217,aVWAP_valley_876,aVWAP_valley_826,aVWAP_valley_813,aVWAP_valley_774,aVWAP_valley_732,aVWAP_valley_716,aVWAP_valley_684,aVWAP_valley_672,aVWAP_valley_649,aVWAP_valley_606,aVWAP_valley_582,aVWAP_valley_544,Peaks_avg,Valleys_avg,color,OB,OB_High,OB_Low,OB_Mitigated_Index
2024-12-16 15:00:00+00:00,229.42,230.47,228.025,229.735,141305.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-16 16:00:00+00:00,229.71,230.965,229.71,230.715,102310.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-16 17:00:00+00:00,230.715,231.46,230.195,231.355,124398.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-16 18:00:00+00:00,231.355,232.0,230.955,231.945,159393.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-16 19:00:00+00:00,231.94,232.17,231.405,232.03,137502.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-16 20:00:00+00:00,232.035,232.96,231.77,232.75,135776.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-17 15:00:00+00:00,228.22,230.37,227.81,230.055,175682.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-17 16:00:00+00:00,230.05,231.83,230.015,231.285,135463.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-17 17:00:00+00:00,231.3,231.78,230.51,231.615,88149.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-17 18:00:00+00:00,231.655,232.51,231.19,232.14,78851.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
