date,Close,High,Low,Open,Volume,aVWAP_BoS_CHoCH_bull_332,aVWAP_BoS_CHoCH_bull_584,aVWAP_BoS_CHoCH_bear_50,aVWAP_BoS_CHoCH_bear_145,aVWAP_BoS_CHoCH_bear_222,aVWAP_BoS_CHoCH_bear_370,aVWAP_BoS_CHoCH_bear_675,aVWAP_BoS_CHoCH_bear_725,Peaks_Valleys_avg,color,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index
2022-01-03 00:00:00+00:00,20.3,20.8,20.3,20.3,114,,,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-04 00:00:00+00:00,20.1,20.1,19.0,19.0,359,,,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-05 00:00:00+00:00,20.39,20.6,18.9,20.6,30,,,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-06 00:00:00+00:00,18.802,19.613,18.8,19.1,146,,,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-07 00:00:00+00:00,20.0,20.4,19.5,19.7,465,,,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-10 00:00:00+00:00,21.0,21.0,20.5,20.5,301,,,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-11 00:00:00+00:00,19.94,21.0,19.7,21.0,131,,,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-12 00:00:00+00:00,18.8,20.625,18.1,19.0,140,,,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-13 00:00:00+00:00,20.0,20.2,20.0,20.1,236,,,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-14 00:00:00+00:00,20.2,20.2,18.812,19.4,151,,,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-18 00:00:00+00:00,19.1,20.4,19.1,20.4,35,,,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-19 00:00:00+00:00,18.4,18.4,17.7,17.7,63,,,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-20 00:00:00+00:00,20.25,20.9,18.0,18.0,623,,,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-21 00:00:00+00:00,20.9,21.6,19.8,20.2,722,,,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-24 00:00:00+00:00,20.3,21.58,20.3,20.9,220,,,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-25 00:00:00+00:00,20.1,20.7,20.1,20.7,45,,,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-26 00:00:00+00:00,20.898,20.9,19.3,19.3,133,,,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-27 00:00:00+00:00,20.6,21.9,19.2,20.9,660,,,,,,,,,20.566666666666666,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-28 00:00:00+00:00,18.4,20.773,18.3,20.773,246,,,,,,,,,20.18409050772627,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-31 00:00:00+00:00,19.4,19.4,18.6,18.6,136,,,,,,,,,20.046947536788227,#000000,0,,,0.0,0.0,0.0,0.0
2022-02-01 00:00:00+00:00,19.3,19.3,17.2,18.7,612,,,,,,,,,19.055779725916967,#000000,0,,,0.0,0.0,0.0,0.0
2022-02-02 00:00:00+00:00,20.2,20.2,20.2,20.2,12,,,,,,,,,19.07364371902607,#000000,0,,,0.0,0.0,0.0,0.0
2022-02-03 00:00:00+00:00,21.0,21.0,21.0,21.0,20,,,,,,,,,19.119231841078275,#000000,0,,,0.0,0.0,0.0,0.0
2022-02-04 00:00:00+00:00,19.2,21.1,19.2,21.1,89,,,,,,,,,19.19527339751103,#000000,0,,,0.0,0.0,0.0,0.0
2022-02-07 00:00:00+00:00,19.6,19.9,19.6,19.9,65,,,,,,,,,19.2329053253605,#000000,0,,,0.0,0.0,0.0,0.0
2022-02-08 00:00:00+00:00,19.4,19.6,18.2,18.9,157,,,,,,,,,19.226497013408416,#000000,0,,,0.0,0.0,0.0,0.0
2022-02-09 00:00:00+00:00,20.5,20.9,18.8,18.8,536,,,,,,,,,19.48782001029293,#000000,0,,,0.0,0.0,0.0,0.0
2022-02-10 00:00:00+00:00,19.2,20.7,19.2,20.7,114,,,,,,,,,19.501948528889656,#000000,0,,,0.0,0.0,0.0,0.0
2022-02-11 00:00:00+00:00,19.5,20.2,19.401,20.2,87,,,,,,,,,19.51151396354058,#000000,0,,,0.0,0.0,0.0,0.0
2022-02-14 00:00:00+00:00,20.0,20.0,18.1,18.9,429,,,,,,,,,19.49124214911442,#000000,0,,,0.0,0.0,0.0,0.0
2022-02-15 00:00:00+00:00,19.1,20.7,19.1,20.7,80,,,,,,,,,19.4962169380395,#000000,0,,,0.0,0.0,0.0,0.0
2022-02-16 00:00:00+00:00,20.5,20.9,19.2,20.9,213,,,,,,,,,19.55035610219163,#000000,0,,,0.0,0.0,0.0,0.0
2022-02-17 00:00:00+00:00,19.8,19.8,19.7,19.7,208,,,,,,,,,19.56607010143012,#000000,0,,,0.0,0.0,0.0,0.0
2022-02-18 00:00:00+00:00,19.8,19.8,19.8,19.8,62,,,,,,,,,19.57097572405105,#000000,0,,,0.0,0.0,0.0,0.0
2022-02-22 00:00:00+00:00,19.5,21.1,18.4,21.1,782,,,,,,,,,19.592087902436873,#000000,0,,,0.0,0.0,0.0,0.0
2022-02-23 00:00:00+00:00,18.2,18.7,18.2,18.7,43,,,,,,,,,19.578873826617,#000000,0,,,0.0,0.0,0.0,0.0
2022-02-24 00:00:00+00:00,18.8,18.8,16.662,16.662,351,,,,,,,,,19.001273840374385,#000000,0,,,0.0,0.0,0.0,0.0
2022-02-25 00:00:00+00:00,18.699,19.6,18.1,18.1,194,,,,,,,,,19.06716137043264,#000000,0,,,0.0,0.0,0.0,0.0
2022-02-28 00:00:00+00:00,21.1,21.1,17.6,17.6,976,,,,,,,,,19.468042254928147,#000000,0,,,0.0,0.0,0.0,0.0
2022-03-01 00:00:00+00:00,22.0,23.6,21.5,22.6,2147,,,,,,,,,20.586368940616733,#000000,0,,,0.0,0.0,0.0,0.0
