date,Open,High,Low,Close,Volume,aVWAP_peak_212,aVWAP_peak_168,aVWAP_peak_148,aVWAP_peak_129,aVWAP_peak_109,aVWAP_peak_77,aVWAP_peak_56,aVWAP_valley_204,aVWAP_valley_188,Peaks_avg,Valleys_avg,color
2025-07-09 13:30:00+00:00,13.395,13.395,13.31,13.375,1994.0,,,,,,,,,,,,#000000
2025-07-09 13:35:00+00:00,13.375,13.375,13.33,13.33,100.0,,,,,,,,,,,,#000000
2025-07-09 13:40:00+00:00,13.33,13.33,13.29,13.3,48.0,,,,,,,,,,,,#000000
2025-07-09 13:45:00+00:00,13.3,13.3,13.22,13.22,309.0,,,,,,,,,,,,#000000
2025-07-09 13:50:00+00:00,13.22,13.24,13.185,13.185,761.0,,,,,,,,,,,,#000000
2025-07-09 13:55:00+00:00,13.18,13.27,13.18,13.27,2816.0,,,,,,,,,,,,#000000
2025-07-09 14:00:00+00:00,13.27,13.31,13.255,13.31,6572.0,,,,,,,,,,,,#000000
2025-07-09 14:05:00+00:00,13.305,13.32,13.29,13.295,784.0,,,,,,,,,,,,#000000
2025-07-09 14:10:00+00:00,13.29,13.305,13.215,13.255,3228.0,,,,,,,,,,,,#000000
2025-07-09 14:15:00+00:00,13.255,13.275,13.235,13.24,684.0,,,,,,,,,,,,#000000
2025-07-09 14:20:00+00:00,13.24,13.27,13.24,13.26,1578.0,,,,,,,,,,,,#000000
2025-07-09 14:25:00+00:00,13.25,13.25,13.18,13.205,4432.0,,,,,,,,,,,,#000000
2025-07-09 14:30:00+00:00,13.16,13.2,13.16,13.17,1513.0,,,,,,,,,,,,#000000
2025-07-09 14:35:00+00:00,13.165,13.185,13.14,13.16,3488.0,,,,,,,,,,,,#000000
2025-07-09 14:40:00+00:00,13.16,13.175,13.12,13.135,683.0,,,,,,,,,,,,#000000
2025-07-09 14:45:00+00:00,13.135,13.16,13.13,13.16,3198.0,,,,,,,,,,,,#000000
2025-07-09 14:50:00+00:00,13.16,13.16,13.095,13.095,2584.0,,,,,,,,,,,,#000000
2025-07-09 14:55:00+00:00,13.095,13.095,13.04,13.08,5947.0,,,,,,,,,,,,#000000
2025-07-09 15:00:00+00:00,13.08,13.145,13.07,13.135,1493.0,,,,,,,,,,,,#000000
2025-07-09 15:05:00+00:00,13.13,13.14,13.13,13.135,509.0,,,,,,,,,,,,#000000
2025-07-09 15:10:00+00:00,13.135,13.16,13.085,13.11,20335.0,,,,,,,,,,,,#000000
2025-07-09 15:15:00+00:00,13.11,13.13,13.1,13.125,369.0,,,,,,,,,,,,#000000
2025-07-09 15:20:00+00:00,13.125,13.15,13.115,13.145,1475.0,,,,,,,,,,,,#000000
2025-07-09 15:25:00+00:00,13.145,13.185,13.145,13.185,112.0,,,,,,,,,,,,#000000
2025-07-09 15:30:00+00:00,13.185,13.21,13.175,13.18,330.0,,,,,,,,,,,,#000000
2025-07-09 15:35:00+00:00,13.18,13.2,13.145,13.2,520.0,,,,,,,,,,,,#000000
2025-07-09 15:40:00+00:00,13.2,13.205,13.17,13.18,131.0,,,,,,,,,,,,#000000
2025-07-09 15:45:00+00:00,13.18,13.19,13.17,13.17,156.0,,,,,,,,,,,,#000000
2025-07-09 15:50:00+00:00,13.18,13.22,13.18,13.22,79.0,,,,,,,,,,,,#000000
2025-07-09 15:55:00+00:00,13.22,13.22,13.22,13.22,1.0,,,,,,,,,,,,#000000
2025-07-09 16:00:00+00:00,13.22,13.225,13.17,13.18,1205.0,,,,,,,,,,,,#000000
