date,Open,High,Low,Close,Volume,aVWAP_peak_219,aVWAP_peak_216,aVWAP_peak_208,aVWAP_peak_176,aVWAP_peak_175,aVWAP_peak_135,aVWAP_peak_113,aVWAP_peak_99,aVWAP_peak_96,aVWAP_peak_75,aVWAP_peak_50,aVWAP_peak_25,aVWAP_valley_185,aVWAP_valley_184,Peaks_avg,Valleys_avg,color
2025-07-09 13:30:00+00:00,3.52,3.52,3.52,3.52,0.0,,,,,,,,,,,,,,,,,#000000
2025-07-09 13:35:00+00:00,3.52,3.52,3.52,3.52,0.0,,,,,,,,,,,,,,,,,#000000
2025-07-09 13:40:00+00:00,3.52,3.52,3.52,3.52,100.0,,,,,,,,,,,,,,,,,#000000
2025-07-09 13:45:00+00:00,3.52,3.52,3.52,3.52,0.0,,,,,,,,,,,,,,,,,#000000
2025-07-09 13:50:00+00:00,3.52,3.52,3.52,3.52,0.0,,,,,,,,,,,,,,,,,#000000
2025-07-09 13:55:00+00:00,3.52,3.52,3.52,3.52,0.0,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:00:00+00:00,3.52,3.52,3.52,3.52,0.0,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:05:00+00:00,3.52,3.52,3.49,3.49,2509.0,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:10:00+00:00,3.49,3.495,3.49,3.495,14.0,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:15:00+00:00,3.495,3.495,3.49,3.49,11.0,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:20:00+00:00,3.49,3.49,3.49,3.49,28.0,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:25:00+00:00,3.49,3.49,3.485,3.485,23.0,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:30:00+00:00,3.485,3.485,3.465,3.465,0.0,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:35:00+00:00,3.465,3.465,3.465,3.465,0.0,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:40:00+00:00,3.465,3.49,3.465,3.49,0.0,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:45:00+00:00,3.49,3.49,3.49,3.49,173.0,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:50:00+00:00,3.49,3.5,3.49,3.5,25.0,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:55:00+00:00,3.5,3.5,3.5,3.5,1017.0,,,,,,,,,,,,,,,,,#000000
