date,Open,High,Low,Close,Volume,aVWAP_peak_860,aVWAP_peak_848,aVWAP_peak_834,aVWAP_peak_821,aVWAP_peak_820,aVWAP_peak_815,aVWAP_peak_772,aVWAP_peak_768,aVWAP_peak_731,aVWAP_valley_876,aVWAP_valley_853,aVWAP_valley_840,aVWAP_valley_826,aVWAP_valley_807,aVWAP_valley_806,aVWAP_valley_791,aVWAP_valley_759,aVWAP_valley_758,aVWAP_valley_747,aVWAP_valley_723,aVWAP_valley_706,aVWAP_valley_678,aVWAP_valley_645,aVWAP_valley_619,aVWAP_valley_593,aVWAP_valley_590,aVWAP_valley_564,aVWAP_valley_545,aVWAP_valley_544,aVWAP_valley_492,aVWAP_valley_456,aVWAP_valley_414,aVWAP_valley_369,aVWAP_valley_354,aVWAP_valley_336,aVWAP_valley_306,aVWAP_valley_240,aVWAP_valley_196,aVWAP_valley_181,aVWAP_valley_162,aVWAP_valley_134,aVWAP_valley_133,aVWAP_valley_122,aVWAP_valley_121,Peaks_avg,Valleys_avg,color,OB,OB_High,OB_Low,OB_Mitigated_Index
2024-12-16 15:00:00+00:00,4.515,4.575,4.51,4.575,31863.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-16 16:00:00+00:00,4.575,4.575,4.555,4.555,4951.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-16 17:00:00+00:00,4.555,4.595,4.55,4.575,16804.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-16 18:00:00+00:00,4.575,4.58,4.555,4.57,7534.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-16 19:00:00+00:00,4.57,4.57,4.505,4.52,76425.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-16 20:00:00+00:00,4.525,4.525,4.495,4.505,42862.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-17 15:00:00+00:00,4.475,4.515,4.455,4.455,25430.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-17 16:00:00+00:00,4.455,4.475,4.445,4.465,38679.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-17 17:00:00+00:00,4.465,4.47,4.455,4.47,10386.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-17 18:00:00+00:00,4.465,4.485,4.455,4.47,18244.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-17 19:00:00+00:00,4.475,4.475,4.46,4.465,24912.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-17 20:00:00+00:00,4.465,4.47,4.45,4.47,60840.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-18 15:00:00+00:00,4.455,4.485,4.44,4.475,41508.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
