date,Open,High,Low,Close,Volume,aVWAP_peak_219,aVWAP_peak_196,aVWAP_peak_178,aVWAP_peak_123,aVWAP_peak_111,aVWAP_peak_92,aVWAP_peak_91,aVWAP_peak_44,aVWAP_valley_203,aVWAP_valley_188,aVWAP_valley_187,aVWAP_valley_162,aVWAP_valley_134,aVWAP_valley_106,aVWAP_valley_83,Peaks_avg,Valleys_avg,color
2025-07-09 13:30:00+00:00,32.135,32.34,32.135,32.295,1649.0,,,,,,,,,,,,,,,,,,#000000
2025-07-09 13:35:00+00:00,32.295,32.32,32.085,32.125,1554.0,,,,,,,,,,,,,,,,,,#000000
2025-07-09 13:40:00+00:00,32.125,32.18,32.105,32.165,2980.0,,,,,,,,,,,,,,,,,,#000000
2025-07-09 13:45:00+00:00,32.165,32.165,32.025,32.04,2589.0,,,,,,,,,,,,,,,,,,#000000
2025-07-09 13:50:00+00:00,32.045,32.05,31.99,31.995,2963.0,,,,,,,,,,,,,,,,,,#000000
2025-07-09 13:55:00+00:00,31.995,32.02,31.94,31.965,1927.0,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:00:00+00:00,31.97,32.015,31.935,31.995,2167.0,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:05:00+00:00,31.995,32.055,31.955,31.965,2555.0,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:10:00+00:00,31.97,31.98,31.9,31.915,2014.0,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:15:00+00:00,31.915,31.93,31.865,31.87,2764.0,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:20:00+00:00,31.865,31.955,31.865,31.945,4769.0,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:25:00+00:00,31.945,31.95,31.905,31.93,4878.0,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:30:00+00:00,31.935,32.015,31.915,32.015,593.0,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:35:00+00:00,32.015,32.035,31.975,32.005,1420.0,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:40:00+00:00,32.005,32.065,31.995,32.045,426.0,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:45:00+00:00,32.045,32.065,32.015,32.025,1524.0,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:50:00+00:00,32.025,32.035,31.965,31.975,2876.0,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:55:00+00:00,31.975,32.025,31.975,32.025,3633.0,,,,,,,,,,,,,,,,,,#000000
2025-07-09 15:00:00+00:00,32.025,32.06,31.985,32.055,3696.0,,,,,,,,,,,,,,,,,,#000000
2025-07-09 15:05:00+00:00,32.055,32.085,32.05,32.075,3234.0,,,,,,,,,,,,,,,,,,#000000
2025-07-09 15:10:00+00:00,32.075,32.075,31.935,31.935,4435.0,,,,,,,,,,,,,,,,,,#000000
2025-07-09 15:15:00+00:00,31.935,31.945,31.885,31.91,4104.0,,,,,,,,,,,,,,,,,,#000000
2025-07-09 15:20:00+00:00,31.915,31.93,31.9,31.915,2540.0,,,,,,,,,,,,,,,,,,#000000
2025-07-09 15:25:00+00:00,31.915,32.035,31.915,32.035,2460.0,,,,,,,,,,,,,,,,,,#000000
2025-07-09 15:30:00+00:00,32.035,32.065,32.035,32.045,1883.0,,,,,,,,,,,,,,,,,,#000000
2025-07-09 15:35:00+00:00,32.045,32.045,31.99,32.025,2852.0,,,,,,,,,,,,,,,,,,#000000
2025-07-09 15:40:00+00:00,32.025,32.035,32.01,32.025,1049.0,,,,,,,,,,,,,,,,,,#000000
2025-07-09 15:45:00+00:00,32.025,32.065,32.02,32.045,4074.0,,,,,,,,,,,,,,,,,,#000000
2025-07-09 15:50:00+00:00,32.045,32.075,32.045,32.045,4586.0,,,,,,,,,,,,,,,,,,#000000
2025-07-09 15:55:00+00:00,32.045,32.135,32.04,32.125,2700.0,,,,,,,,,,,,,,,,,,#000000
2025-07-09 16:00:00+00:00,32.125,32.13,32.055,32.065,565.0,,,,,,,,,,,,,,,,,,#000000
2025-07-09 16:05:00+00:00,32.065,32.13,32.065,32.13,180.0,,,,,,,,,,,,,,,,,,#000000
2025-07-09 16:10:00+00:00,32.13,32.135,32.095,32.125,1418.0,,,,,,,,,,,,,,,,,,#000000
