date,Close,High,Low,Open,Volume,aVWAP_peak_165,aVWAP_peak_151,aVWAP_peak_111,aVWAP_peak_79,aVWAP_valley_171,aVWAP_valley_146,aVWAP_valley_120,aVWAP_valley_97,aVWAP_valley_96,aVWAP_valley_95,aVWAP_valley_43,aVWAP_valley_42,aVWAP_valley_41,aVWAP_valley_40,aVWAP_valley_39,aVWAP_valley_38,aVWAP_valley_37,aVWAP_valley_26,Peaks_avg,Valleys_avg,color
2021-12-31 00:00:00+00:00,2.3,2.3,2.3,2.3,0,,,,,,,,,,,,,,,,,,,,,#000000
2022-01-07 00:00:00+00:00,2.3,2.3,2.3,2.3,0,,,,,,,,,,,,,,,,,,,,,#000000
2022-01-14 00:00:00+00:00,2.3,2.3,2.3,2.3,0,,,,,,,,,,,,,,,,,,,,,#000000
2022-01-21 00:00:00+00:00,2.3,2.3,2.3,2.3,0,,,,,,,,,,,,,,,,,,,,,#000000
2022-01-28 00:00:00+00:00,2.3,2.3,2.3,2.3,0,,,,,,,,,,,,,,,,,,,,,#000000
2022-02-04 00:00:00+00:00,2.3,2.3,2.3,2.3,0,,,,,,,,,,,,,,,,,,,,,#000000
2022-02-11 00:00:00+00:00,2.3,2.3,2.3,2.3,0,,,,,,,,,,,,,,,,,,,,,#000000
2022-02-18 00:00:00+00:00,2.3,2.3,2.3,2.3,0,,,,,,,,,,,,,,,,,,,,,#000000
2022-02-25 00:00:00+00:00,2.3,2.3,2.3,2.3,0,,,,,,,,,,,,,,,,,,,,,#000000
2022-03-04 00:00:00+00:00,2.3,2.3,2.3,2.3,0,,,,,,,,,,,,,,,,,,,,,#000000
2022-03-11 00:00:00+00:00,2.3,2.3,2.3,2.3,0,,,,,,,,,,,,,,,,,,,,,#000000
2022-03-18 00:00:00+00:00,2.3,2.3,2.3,2.3,0,,,,,,,,,,,,,,,,,,,,,#000000
2022-03-25 00:00:00+00:00,2.3,2.3,2.3,2.3,0,,,,,,,,,,,,,,,,,,,,,#000000
2022-04-01 00:00:00+00:00,2.3,2.3,2.3,2.3,0,,,,,,,,,,,,,,,,,,,,,#000000
