date,Open,High,Low,Close,Volume,aVWAP_OB_bull_809,aVWAP_OB_bull_544,aVWAP_OB_bull_1,aVWAP_OB_bear_759,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_50,SMA_200,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2024-12-16 15:00:00+00:00,40.61,40.95,40.61,40.765,114.0,,,,,,#000000,,,,,,False,False,False,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,114.0,False,False,False,False
2024-12-16 16:00:00+00:00,40.765,40.98,40.57,40.79,171.0,,,40.78,,,"rgba(38, 166, 154, 0.5)",,,,100.0,,False,False,True,False,False,,,,1.0,40.98,40.57,15.0,0,,,False,False,False,False,,,False,False,False,False,171.0,2.6511627906976742,False,False,False,False,114.88372093023256,False,False,False,False
2024-12-16 17:00:00+00:00,40.79,41.04,40.79,41.04,190.0,,,40.872982456140356,,,"rgba(38, 166, 154, 0.5)",,,,100.0,50.0,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,361.0,8.206958716423292,False,False,False,False,116.04831440418243,False,False,False,False
2024-12-16 18:00:00+00:00,41.04,41.23,41.04,41.23,139.0,,,40.95462666666667,,,"rgba(38, 166, 154, 0.5)",,,,100.0,50.0,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,500.0,15.831657030897349,False,False,False,False,116.40415449093929,False,False,False,False
2024-12-16 19:00:00+00:00,41.23,41.23,40.94,41.175,231.0,,,41.00530551755586,,,"rgba(38, 166, 154, 0.5)",,,,95.82363326719059,46.241269940471526,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,269.0,19.75674761956561,False,False,False,False,118.18083426627356,False,False,False,False
2024-12-16 20:00:00+00:00,41.175,41.24,40.87,41.24,754.0,,,41.06184848484848,,,"rgba(38, 166, 154, 0.5)",,,,93.63574690631442,44.522754219651546,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1023.0,35.31090657120025,False,False,False,False,128.03849575051737,False,False,False,False
2024-12-17 15:00:00+00:00,41.145,41.15,41.085,41.12,122.0,,,41.066136693632025,,,"rgba(38, 166, 154, 0.5)",,,,85.37153015251127,37.349876058331176,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,901.0,48.7324429034297,False,False,False,False,127.94487566136206,False,False,False,False
2024-12-17 16:00:00+00:00,41.12,41.26,41.12,41.13,1366.0,,,41.113858616436815,,,"rgba(38, 166, 154, 0.5)",,,,80.08008537925973,33.20689862536098,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,2267.0,83.12418797469437,False,False,False,False,147.13952875188357,False,False,False,False
2024-12-17 17:00:00+00:00,41.13,41.13,40.95,41.11,139.0,,,41.11160186375321,,,"rgba(38, 166, 154, 0.5)",,,,75.50755882031982,29.701571290251067,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,2128.0,114.82768893632701,False,False,False,False,147.0133345076683,False,False,False,False
2024-12-17 18:00:00+00:00,41.11,41.23,41.04,41.04,90.0,,,41.11136945658963,,,"rgba(38, 166, 154, 0.5)",,,,69.12301697852766,24.470730637092075,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,2038.0,144.64431391405836,False,False,False,False,146.12940684088275,False,False,False,False
