date,Open,High,Low,Close,Volume,aVWAP_peak_882,aVWAP_peak_843,aVWAP_peak_842,aVWAP_valley_881,aVWAP_valley_870,aVWAP_valley_826,aVWAP_valley_791,aVWAP_valley_774,aVWAP_valley_750,aVWAP_valley_702,aVWAP_valley_701,aVWAP_valley_700,aVWAP_valley_699,aVWAP_valley_698,aVWAP_valley_697,aVWAP_valley_696,aVWAP_valley_660,aVWAP_valley_633,aVWAP_valley_632,aVWAP_valley_631,aVWAP_valley_592,aVWAP_valley_591,aVWAP_valley_554,aVWAP_valley_527,aVWAP_valley_526,aVWAP_valley_511,aVWAP_valley_510,aVWAP_valley_473,Peaks_avg,Valleys_avg,color,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2024-12-19 15:00:00+00:00,1.355,1.36,1.31,1.31,3241.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,3241.0,False,False,False,False
2024-12-19 16:00:00+00:00,1.31,1.315,1.29,1.305,1526.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-1526.0,-23.65891472868217,False,False,False,False,3214.4108527131784,False,False,False,False
2024-12-19 17:00:00+00:00,1.305,1.305,1.285,1.295,2170.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-3696.0,-80.59443543056307,False,False,False,False,3198.2184363920437,False,False,False,False
2024-12-19 18:00:00+00:00,1.295,1.335,1.285,1.31,2512.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-1184.0,-97.70149844714349,False,False,False,False,3187.5793908665855,False,False,False,False
2024-12-19 19:00:00+00:00,1.31,1.33,1.295,1.305,1220.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-2404.0,-133.45806436269166,False,False,False,False,3157.074284031444,False,False,False,False
2024-12-19 20:00:00+00:00,1.305,1.315,1.295,1.295,989.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-3393.0,-183.9935982485414,False,False,False,False,3123.4607292402593,False,False,False,False
2024-12-20 15:00:00+00:00,1.32,1.345,1.305,1.315,638.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-2755.0,-223.85416261678105,False,False,False,False,3084.926454368317,False,False,False,False
2024-12-20 16:00:00+00:00,1.315,1.315,1.305,1.305,407.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-3162.0,-269.40681125838137,False,False,False,False,3043.4082147657073,False,False,False,False
2024-12-20 17:00:00+00:00,1.305,1.31,1.295,1.3,403.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-3565.0,-320.50127930088706,False,False,False,False,3002.4716532964712,False,False,False,False
2024-12-20 18:00:00+00:00,1.3,1.305,1.29,1.295,605.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-4170.0,-380.18343000940047,False,False,False,False,2965.301550144588,False,False,False,False
