date,Close,High,Low,Open,Volume,aVWAP_OB_bull_751,aVWAP_OB_bull_707,aVWAP_OB_bull_576,aVWAP_OB_bear_217,aVWAP_OB_bear_63,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_200,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2022-01-03 00:00:00+00:00,100.49,101.72,98.13,99.71,843607,,,,,,,#000000,,,,,,False,False,False,False,False,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,843607.0,False,False,False,False
2022-01-04 00:00:00+00:00,97.98,102.85,93.55,101.13,1305015,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,,False,False,False,True,False,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1305015,-51177.05882352941,False,False,False,False,861701.431372549,False,False,False,False
2022-01-05 00:00:00+00:00,88.91,100.0,88.63,97.09,1245736,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,-50.0,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2550751,-149199.5663206459,False,False,False,False,876761.6105344099,False,False,False,False
2022-01-06 00:00:00+00:00,90.24,92.2,84.5,88.27,992295,,,,,,,"rgba(239, 83, 80, 0.5)",,,,3.8054903296136757,-46.511633864520796,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1558456,-204464.52450415,False,False,False,False,881292.3316899232,False,False,False,False
2022-01-07 00:00:00+00:00,87.83,93.1,87.42,90.6,851773,,,,,,,"rgba(239, 83, 80, 0.5)",,,,5.63704569898493,-45.0441242386868,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2410229,-290965.0921706539,False,False,False,False,880134.710839338,False,False,False,False
2022-01-10 00:00:00+00:00,92.41,92.93,85.31,86.08,2510433,,,,,,,"rgba(239, 83, 80, 0.5)",,,,15.301860372608925,-36.41859894483034,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,100204,-275625.12777180475,False,False,False,False,944067.9770809327,False,False,False,False
2022-01-11 00:00:00+00:00,90.94,94.55,88.49,92.37,1241388,,,,,,,"rgba(239, 83, 80, 0.5)",,,,20.708963031848,-32.136026373215344,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1141184,-309568.6129572242,False,False,False,False,955727.585822857,False,False,False,False
2022-01-12 00:00:00+00:00,85.85,92.895,85.17,91.2,1135162,,,,,,,"rgba(239, 83, 80, 0.5)",,,,21.63669192854322,-31.987504406398568,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2276346,-386697.13793929387,False,False,False,False,962764.2295160783,False,False,False,False
2022-01-13 00:00:00+00:00,78.8,85.89,78.48,85.18,1964785,,,,,,,"rgba(239, 83, 80, 0.5)",,,,20.065559402339865,-31.987504406398568,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-4241131,-537851.4070397137,False,False,False,False,1002059.1616919184,False,False,False,False
2022-01-14 00:00:00+00:00,77.58,79.24,74.48,78.38,2014976,,,,,,,"rgba(239, 83, 80, 0.5)",,,,18.733054211787014,-31.987504406398568,False,False,False,True,False,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-6256107,-762096.7244107053,False,False,False,False,1041781.3906451765,False,False,False,False
