date,Open,High,Low,Close,Volume,aVWAP_peak_875,aVWAP_peak_842,aVWAP_peak_824,aVWAP_peak_812,aVWAP_peak_788,aVWAP_peak_733,aVWAP_peak_714,aVWAP_peak_690,aVWAP_peak_648,aVWAP_peak_618,aVWAP_peak_594,aVWAP_peak_553,aVWAP_peak_522,aVWAP_peak_504,aVWAP_peak_463,aVWAP_peak_449,aVWAP_peak_419,aVWAP_peak_398,aVWAP_peak_359,aVWAP_peak_342,aVWAP_peak_317,aVWAP_peak_265,aVWAP_peak_245,aVWAP_valley_865,aVWAP_valley_846,aVWAP_valley_835,aVWAP_valley_779,aVWAP_valley_759,aVWAP_valley_742,aVWAP_valley_731,aVWAP_valley_676,aVWAP_valley_636,aVWAP_valley_600,aVWAP_valley_569,aVWAP_valley_514,aVWAP_valley_495,aVWAP_valley_478,aVWAP_valley_445,aVWAP_OB_bull_865,aVWAP_OB_bull_759,aVWAP_OB_bull_514,aVWAP_OB_bull_478,aVWAP_OB_bear_842,aVWAP_OB_bear_265,Peaks_Valleys_avg,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_50,SMA_200,OB,OB_High,OB_Low,OB_Mitigated_Index,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2024-12-26 15:00:00+00:00,47.245,47.245,46.94,47.095,5252.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,5252.0,False,False,False,False
2024-12-26 16:00:00+00:00,47.095,47.2,47.06,47.2,1213.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,1213.0,18.8062015503876,False,False,False,False,5189.3798449612395,False,False,False,False
2024-12-26 17:00:00+00:00,47.2,47.28,47.045,47.19,1992.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,96.77419354838571,38.70967741934999,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-779.0,6.437113154257556,False,False,False,False,5139.808064419205,False,False,False,False
2024-12-26 18:00:00+00:00,47.15,47.22,47.13,47.2,1615.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,94.94037145649845,38.70967741934999,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,836.0,19.2985532603931,False,False,False,False,5085.159877373946,False,False,False,False
2024-12-26 19:00:00+00:00,47.2,47.265,47.15,47.255,1504.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,94.81721544953157,38.70967741934999,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,2340.0,55.278420651704835,False,False,False,False,5029.638018810009,False,False,False,False
2024-12-26 20:00:00+00:00,47.24,47.32,47.215,47.22,5085.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,88.02242286280158,45.6801525371377,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-2745.0,11.863251339275301,False,False,False,False,5030.496344099776,False,False,False,False
2024-12-27 15:00:00+00:00,47.17,47.17,46.785,46.93,1348.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,66.993716695111,26.528773295128474,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-4093.0,-51.778039379163076,False,False,False,False,4973.403377524585,False,False,False,False
2024-12-27 16:00:00+00:00,46.915,46.95,46.62,46.62,1809.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,49.28108487774876,11.407491627937816,False,False,False,True,False,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-5902.0,-142.4791550477032,False,False,False,False,4924.342860043585,False,False,False,False
2024-12-27 17:00:00+00:00,46.62,46.66,46.5,46.6,1259.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,37.328361449430034,1.8234483685532155,False,False,False,True,False,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-7161.0,-251.29343171363027,False,False,False,False,4867.515838957637,False,False,False,False
2024-12-27 18:00:00+00:00,46.635,46.785,46.63,46.74,1078.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,35.05838401035449,0.7166205047381453,False,False,False,True,False,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-6083.0,-341.7074870358996,False,False,False,False,4808.763655407906,False,False,False,False
