date,Open,High,Low,Close,Volume,aVWAP_peak_888,aVWAP_peak_870,aVWAP_peak_856,aVWAP_peak_737,aVWAP_peak_702,aVWAP_peak_654,aVWAP_peak_630,aVWAP_peak_593,aVWAP_peak_581,aVWAP_peak_566,aVWAP_peak_552,aVWAP_peak_501,aVWAP_peak_474,aVWAP_peak_445,aVWAP_peak_425,aVWAP_peak_378,aVWAP_peak_357,aVWAP_peak_330,aVWAP_peak_312,aVWAP_peak_266,aVWAP_peak_229,aVWAP_peak_201,aVWAP_peak_187,aVWAP_peak_161,aVWAP_peak_132,aVWAP_peak_80,aVWAP_peak_49,aVWAP_peak_25,aVWAP_valley_883,aVWAP_valley_828,Peaks_avg,Valleys_avg,color,OB,OB_High,OB_Low,OB_Mitigated_Index
2024-12-16 15:00:00+00:00,312.21,316.82,312.21,314.97,625.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-16 16:00:00+00:00,314.16,314.93,313.3,313.42,499.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-16 17:00:00+00:00,313.42,314.18,311.78,312.435,331.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-16 18:00:00+00:00,312.44,312.44,310.385,311.815,1044.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-16 19:00:00+00:00,311.815,311.815,309.57,309.995,1079.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-16 20:00:00+00:00,309.99,309.99,307.295,307.295,1679.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-17 15:00:00+00:00,305.0,309.36,305.0,307.38,1280.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-17 16:00:00+00:00,307.38,307.38,305.07,306.11,829.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-17 17:00:00+00:00,306.11,306.545,304.915,306.13,603.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-17 18:00:00+00:00,306.13,306.45,305.11,305.655,640.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-17 19:00:00+00:00,305.645,308.5,305.645,307.665,1105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-17 20:00:00+00:00,307.675,307.84,307.25,307.53,2163.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
