date,Open,High,Low,Close,Volume,aVWAP_peak_134,aVWAP_peak_133,aVWAP_peak_98,aVWAP_peak_97,aVWAP_valley_164,aVWAP_valley_163,aVWAP_valley_112,aVWAP_valley_111,aVWAP_valley_81,aVWAP_valley_43,aVWAP_valley_26,Peaks_avg,Valleys_avg,color,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2023-10-30 16:00:00+00:00,0.1925,0.1949,0.1922,0.1949,400.0,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,400.0,False,False,False,False
2023-10-31 16:00:00+00:00,0.2078,0.2078,0.2077,0.2077,2426.0,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,2426.0,37.6124031007752,False,False,False,False,431.4108527131783,False,False,False,False
2023-11-01 16:00:00+00:00,0.1938,0.1938,0.1827,0.1871,3366.0,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-940.0,22.455621657352324,False,False,False,False,476.90835887266394,False,False,False,False
2023-11-02 16:00:00+00:00,0.1936,0.1936,0.181,0.1867,476.0,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-1416.0,0.15398411227709374,False,False,False,False,476.8942757893668,False,False,False,False
2023-11-03 16:00:00+00:00,0.2054,0.2311,0.2031,0.2068,2132.0,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,716.0,11.252371955497605,False,False,False,False,502.55482965309756,False,False,False,False
2023-11-06 16:00:00+00:00,0.2151,0.2299,0.2089,0.2238,1761.0,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,2477.0,49.4810173515364,False,False,False,False,522.0656074879332,False,False,False,False
2023-11-06 20:00:00+00:00,0.2238,0.2249,0.2101,0.2101,443.0,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,2034.0,80.24875351662885,False,False,False,False,520.8397841160273,False,False,False,False
2023-11-07 16:00:00+00:00,0.226,0.2429,0.2176,0.226,22855.0,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,24889.0,464.8805557876888,False,False,False,False,867.1058339746935,False,False,False,False
2023-11-07 20:00:00+00:00,0.226,0.226,0.2021,0.2021,3552.0,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,21337.0,788.4793068607479,False,False,False,False,908.7321001146207,False,False,False,False
2023-11-08 16:00:00+00:00,0.188,0.1887,0.1715,0.1774,5310.0,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,16027.0,1024.7354416381006,False,False,False,False,976.9688117407507,False,False,False,False
