date,Open,High,Low,Close,Volume,aVWAP_OB_bull_642,aVWAP_OB_bull_177,aVWAP_OB_bull_128,aVWAP_OB_bull_80,aVWAP_OB_bear_847,aVWAP_OB_bear_774,aVWAP_OB_bear_49,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_50,SMA_200,Supertrend_Upper,Supertrend_Lower,Supertrend_Direction,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2024-12-16 15:00:00+00:00,213.645,214.135,212.7,213.1,5310.0,,,,,,,,,#000000,,,,,,False,False,False,False,False,,,,213.4175,213.4175,1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,5310.0,False,False,False,False
2024-12-16 16:00:00+00:00,212.99,212.99,212.295,212.57,8068.0,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,,False,False,False,True,False,,,,212.64249999999998,212.64249999999998,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-8068.0,-125.08527131782945,False,False,False,False,5352.75968992248,False,False,False,False
2024-12-16 17:00:00+00:00,212.62,212.99,212.27,212.27,3106.0,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,-50.0,False,False,False,True,True,,,,212.63,212.63,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-11174.0,-296.3862748632895,False,False,False,False,5317.92620635779,False,False,False,False
2024-12-16 18:00:00+00:00,212.305,213.0,212.305,212.75,4742.0,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,13.72881355932203,-37.64406779661017,False,False,False,True,True,,,,212.63,212.6525,1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-6432.0,-391.5120690514555,False,False,False,False,5308.997117887126,False,False,False,False
2024-12-16 19:00:00+00:00,212.79,212.84,212.455,212.455,5725.0,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,19.838392999778456,-32.96917511375871,False,False,False,True,True,,,,212.63,212.6525,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-12157.0,-573.922734647557,False,False,False,False,5315.446774974147,False,False,False,False
2024-12-16 20:00:00+00:00,212.42,212.65,211.465,211.76,20710.0,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,19.957005618988852,-32.96917511375871,False,False,False,True,True,,,,212.0575,212.0575,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-32867.0,-1074.5905992266646,False,False,False,False,5554.122018772997,False,False,False,False
2024-12-17 15:00:00+00:00,210.89,211.51,210.61,211.1,8922.0,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,18.128825386543873,-32.96917511375871,False,False,False,True,False,,,,211.06,212.0575,1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-41789.0,-1705.8217527270265,False,False,False,False,5606.337181272641,False,False,False,False
2024-12-17 16:00:00+00:00,211.15,211.505,209.4,210.075,18416.0,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,15.312669240083684,-30.027529798836078,False,False,False,True,False,,,,210.4525,212.0575,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-60205.0,-2612.785756560716,False,False,False,False,5804.936604818801,False,False,False,False
2024-12-17 17:00:00+00:00,210.04,210.51,209.61,209.615,5759.0,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,12.973058537188948,-32.01665649436756,False,False,False,True,False,,,,210.06,210.06,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-65964.0,-3594.9751246760534,False,False,False,False,5804.224409395254,False,False,False,False
2024-12-17 18:00:00+00:00,209.615,209.68,209.01,209.255,5197.0,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,11.103727795356981,-33.67515579604159,False,False,False,True,False,,,,209.345,209.345,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-71161.0,-4642.510394060921,False,False,False,False,5794.810077466645,False,False,False,False
