date,Open,High,Low,Close,Volume,aVWAP_peak_222,aVWAP_peak_221,aVWAP_peak_220,aVWAP_peak_219,aVWAP_peak_218,aVWAP_peak_217,aVWAP_peak_216,aVWAP_peak_199,aVWAP_peak_157,aVWAP_valley_189,aVWAP_valley_188,aVWAP_valley_167,aVWAP_valley_153,aVWAP_valley_141,aVWAP_valley_140,aVWAP_valley_139,aVWAP_valley_138,aVWAP_valley_137,aVWAP_valley_136,aVWAP_valley_135,aVWAP_valley_117,aVWAP_valley_116,aVWAP_valley_115,aVWAP_valley_114,aVWAP_valley_90,aVWAP_valley_45,aVWAP_valley_43,aVWAP_valley_42,aVWAP_valley_25,Peaks_avg,Valleys_avg,color
2025-07-09 13:30:00+00:00,5.9,6.055,5.875,6.025,33817.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 13:35:00+00:00,6.025,6.06,6.0,6.025,22171.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 13:40:00+00:00,6.025,6.03,5.985,6.005,31822.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 13:45:00+00:00,6.005,6.015,5.95,5.955,53927.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 13:50:00+00:00,5.955,5.995,5.95,5.985,41773.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 13:55:00+00:00,5.985,6.02,5.955,5.96,37191.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:00:00+00:00,5.955,5.975,5.94,5.965,28285.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:05:00+00:00,5.965,5.98,5.96,5.97,27886.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:10:00+00:00,5.97,6.05,5.965,6.045,58094.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:15:00+00:00,6.05,6.075,6.025,6.025,38715.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:20:00+00:00,6.025,6.055,6.02,6.045,35494.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:25:00+00:00,6.045,6.045,6.01,6.02,17497.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:30:00+00:00,6.025,6.035,6.015,6.025,22635.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:35:00+00:00,6.025,6.045,6.015,6.025,13441.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:40:00+00:00,6.025,6.05,6.025,6.04,39360.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:45:00+00:00,6.045,6.045,6.02,6.02,26229.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:50:00+00:00,6.025,6.025,5.995,5.995,31659.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:55:00+00:00,5.995,6.0,5.955,5.96,23179.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 15:00:00+00:00,5.955,5.965,5.94,5.955,33860.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 15:05:00+00:00,5.955,5.965,5.945,5.955,58676.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 15:10:00+00:00,5.955,5.955,5.935,5.935,8130.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 15:15:00+00:00,5.935,5.935,5.92,5.935,14102.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 15:20:00+00:00,5.935,5.94,5.93,5.94,1605.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 15:25:00+00:00,5.935,5.935,5.905,5.915,14009.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 15:30:00+00:00,5.915,5.915,5.9,5.9,1084.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 15:35:00+00:00,5.905,5.905,5.88,5.895,23174.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.893333333333333,,5.893333333333333,#000000
2025-07-09 15:40:00+00:00,5.895,5.9,5.89,5.895,14433.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.893972974889427,,5.893972974889427,#000000
2025-07-09 15:45:00+00:00,5.895,5.905,5.885,5.9,34610.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.895263926776243,,5.895263926776243,#000000
