date,Open,High,Low,Close,Volume,aVWAP_peak_186,aVWAP_peak_168,aVWAP_peak_155,aVWAP_peak_128,aVWAP_valley_212,aVWAP_valley_171,aVWAP_valley_156,aVWAP_valley_134,aVWAP_valley_119,aVWAP_valley_110,aVWAP_valley_69,aVWAP_valley_47,aVWAP_valley_37,aVWAP_valley_22,Peaks_avg,Valleys_avg,color
2025-07-09 13:30:00+00:00,12.285,12.46,12.285,12.46,408.0,,,,,,,,,,,,,,,,,#000000
2025-07-09 13:35:00+00:00,12.46,12.6,12.46,12.585,1048.0,,,,,,,,,,,,,,,,,#000000
2025-07-09 13:40:00+00:00,12.59,12.615,12.52,12.52,1027.0,,,,,,,,,,,,,,,,,#000000
2025-07-09 13:45:00+00:00,12.51,12.55,12.49,12.52,1066.0,,,,,,,,,,,,,,,,,#000000
2025-07-09 13:50:00+00:00,12.54,12.54,12.315,12.34,1739.0,,,,,,,,,,,,,,,,,#000000
2025-07-09 13:55:00+00:00,12.33,12.35,12.24,12.26,1918.0,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:00:00+00:00,12.28,12.28,12.205,12.235,2900.0,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:05:00+00:00,12.23,12.295,12.215,12.27,2545.0,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:10:00+00:00,12.265,12.275,12.205,12.23,3225.0,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:15:00+00:00,12.23,12.235,12.09,12.115,2582.0,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:20:00+00:00,12.12,12.125,12.06,12.1,871.0,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:25:00+00:00,12.1,12.13,12.075,12.08,599.0,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:30:00+00:00,12.08,12.115,12.055,12.09,1616.0,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:35:00+00:00,12.1,12.16,12.075,12.155,571.0,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:40:00+00:00,12.155,12.18,12.09,12.125,596.0,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:45:00+00:00,12.125,12.17,12.105,12.14,3672.0,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:50:00+00:00,12.14,12.14,12.04,12.095,2749.0,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:55:00+00:00,12.095,12.11,12.06,12.065,838.0,,,,,,,,,,,,,,,,,#000000
2025-07-09 15:00:00+00:00,12.06,12.07,12.01,12.045,1034.0,,,,,,,,,,,,,,,,,#000000
2025-07-09 15:05:00+00:00,12.055,12.055,11.99,11.99,1026.0,,,,,,,,,,,,,,,,,#000000
