date,Open,High,Low,Close,Volume,aVWAP_peak_890,aVWAP_peak_836,aVWAP_peak_755,aVWAP_valley_852,aVWAP_valley_839,aVWAP_valley_797,aVWAP_valley_720,aVWAP_valley_678,aVWAP_valley_645,aVWAP_valley_626,aVWAP_valley_606,aVWAP_valley_582,aVWAP_valley_543,aVWAP_valley_525,aVWAP_valley_493,Peaks_avg,Valleys_avg,color,OB,OB_High,OB_Low,OB_Mitigated_Index
2024-12-16 15:00:00+00:00,31.09,31.13,30.97,31.06,4482.0,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-16 16:00:00+00:00,31.06,31.085,30.935,31.0,3769.0,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-16 17:00:00+00:00,30.995,31.06,30.96,31.05,1537.0,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-16 18:00:00+00:00,31.05,31.075,30.96,31.025,4925.0,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-16 19:00:00+00:00,31.025,31.05,30.99,30.995,5330.0,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-16 20:00:00+00:00,30.995,31.075,30.96,31.06,19986.0,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-17 15:00:00+00:00,30.87,30.88,30.66,30.73,1265.0,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-17 16:00:00+00:00,30.735,30.84,30.73,30.835,3365.0,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-17 17:00:00+00:00,30.84,30.865,30.79,30.845,2627.0,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-17 18:00:00+00:00,30.845,30.865,30.745,30.75,975.0,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-17 19:00:00+00:00,30.755,30.755,30.555,30.675,4114.0,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
