date,Open,High,Low,Close,Volume,aVWAP_OB_bull_870,aVWAP_OB_bull_774,aVWAP_OB_bull_666,aVWAP_OB_bull_546,aVWAP_OB_bull_288,aVWAP_OB_bear_507,aVWAP_OB_bear_323,OB,OB_High,OB_Low,OB_Mitigated_Index,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_50,SMA_200,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2024-12-05 15:00:00+00:00,113.48,114.245,113.465,113.8,31469.0,,,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,,,False,False,False,False,False,,,,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,31469.0,False,False,False,False
2024-12-05 16:00:00+00:00,113.78,114.415,113.73,113.995,41118.0,,,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,100.0,,False,False,True,False,False,,,,0,,,False,False,False,False,,,False,False,False,False,41118.0,637.4883720930233,False,False,False,False,31618.596899224805,False,False,False,False
2024-12-05 17:00:00+00:00,114.0,114.87,113.885,114.685,40180.0,,,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,100.0,50.0,False,False,True,False,True,,,,0,,,False,False,False,False,,,False,False,False,False,81298.0,1888.03893996755,False,False,False,False,31751.33183101977,False,False,False,False
2024-12-05 18:00:00+00:00,114.7,114.875,113.97,114.375,22727.0,,,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,91.93654137601169,42.608496261344044,False,False,True,False,False,,,,0,,,False,False,False,False,,,False,False,False,False,58571.0,2766.8445377975104,False,False,False,False,31611.419709608606,False,False,False,False
2024-12-05 19:00:00+00:00,114.36,115.08,113.99,115.035,30603.0,,,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,89.38564079799426,40.71814065504964,False,False,True,False,False,,,,0,,,False,False,False,False,,,False,False,False,False,89174.0,4106.490358916928,False,False,False,False,31595.785295506146,False,False,False,False
2024-12-05 20:00:00+00:00,115.0,115.46,114.14,114.205,54517.0,,,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,79.14330032171277,31.751026452792175,False,False,True,False,False,,,,0,,,False,False,False,False,,,False,False,False,False,34657.0,4580.141671181782,False,False,False,False,31951.15296534326,False,False,False,False
2024-12-06 15:00:00+00:00,119.77,120.695,119.24,119.81,72018.0,,,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,81.45268449662912,31.751026452792175,False,False,True,False,True,,,,0,,,False,False,False,False,,,False,False,False,False,106675.0,6163.007691783615,False,False,False,False,32572.34439223716,False,False,False,False
2024-12-06 16:00:00+00:00,119.81,119.87,118.61,118.895,42947.0,,,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,80.23118849114374,31.751026452792175,False,False,True,False,True,,,,0,,,False,False,False,False,,,False,False,False,False,63728.0,7055.488192686194,False,False,False,False,32733.19176600092,False,False,False,False
2024-12-06 17:00:00+00:00,118.895,119.605,118.6,119.205,36628.0,,,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,79.62712432043739,31.751026452792175,False,False,True,False,True,,,,0,,,False,False,False,False,,,False,False,False,False,100356.0,8502.007755590284,False,False,False,False,32793.57638978385,False,False,False,False
2024-12-06 18:00:00+00:00,119.14,119.83,119.1,119.505,33820.0,,,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,79.45813525535344,31.751026452792175,False,False,True,False,True,,,,0,,,False,False,False,False,,,False,False,False,False,134176.0,10450.441743875706,False,False,False,False,32809.48993412829,False,False,False,False
2024-12-06 19:00:00+00:00,119.505,119.65,118.73,118.76,32355.0,,,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,77.01417045257887,31.751026452792175,False,False,True,False,False,,,,0,,,False,False,False,False,,,False,False,False,False,101821.0,11867.039546296237,False,False,False,False,32802.44357856041,False,False,False,False
2024-12-06 20:00:00+00:00,118.735,119.14,118.455,118.46,47266.0,,,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,74.38550234272805,29.681349360094316,False,False,True,False,False,,,,0,,,False,False,False,False,,,False,False,False,False,54555.0,12528.868390539707,False,False,False,False,33026.68476338893,False,False,False,False
2024-12-09 15:00:00+00:00,117.3,117.63,114.35,114.5,82253.0,,,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,64.99836478080329,21.073467124006044,False,False,True,False,False,,,,0,,,False,False,False,False,,,False,False,False,False,-27698.0,11905.196012391803,False,False,False,False,33789.88344922786,False,False,False,False
2024-12-09 16:00:00+00:00,114.54,115.91,114.125,115.81,35369.0,,,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,60.35813476418806,17.19231963107289,False,False,True,False,False,,,,0,,,False,False,False,False,,,False,False,False,False,7671.0,11839.549562587279,False,False,False,False,33814.365876371616,False,False,False,False
2024-12-09 17:00:00+00:00,115.79,116.075,115.63,115.735,29347.0,,,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,56.93608279033296,14.392740827960367,False,False,True,False,False,,,,0,,,False,False,False,False,,,False,False,False,False,-21676.0,11319.928639136313,False,False,False,False,33745.10438991624,False,False,False,False
2024-12-09 18:00:00+00:00,115.74,115.945,115.29,115.88,18597.0,,,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,54.73010802553726,12.595740938868119,False,False,False,False,False,,,,0,,,False,False,False,False,,,False,False,False,False,-3079.0,11096.689435428774,False,False,False,False,33510.25005828963,False,False,False,False
2024-12-09 19:00:00+00:00,115.88,115.88,115.46,115.725,24063.0,,,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,52.89218228865122,10.976496207257448,False,False,False,False,False,,,,0,,,False,False,False,False,,,False,False,False,False,-27142.0,10503.841537205071,False,False,False,False,33363.78106513785,False,False,False,False
2024-12-09 20:00:00+00:00,115.72,115.8,114.88,115.345,49722.0,,,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,50.9186228554832,9.094697593888931,False,False,False,False,False,,,,0,,,False,False,False,False,,,False,False,False,False,-76864.0,9149.301358333674,False,False,False,False,33617.396862577574,False,False,False,False
2024-12-10 15:00:00+00:00,116.23,116.585,115.425,115.52,16724.0,,,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,49.87442470236462,7.974125557879731,False,False,False,False,False,,,,0,,,False,False,False,False,,,False,False,False,False,-60140.0,8075.048624095943,False,False,False,False,33355.48373292521,False,False,False,False
2024-12-10 16:00:00+00:00,115.515,115.58,113.93,114.85,26882.0,,,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,47.903878664100816,5.889762580366224,False,False,False,True,False,,,,0,,,False,False,False,False,,,False,False,False,False,-87022.0,6600.675777210734,False,False,False,False,33255.11964404265,False,False,False,False
2024-12-10 17:00:00+00:00,114.865,114.92,113.98,114.1,8664.0,,,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,45.26284264681425,3.1679432479227643,False,False,False,True,False,,,,0,,,False,False,False,False,,,False,False,False,False,-95686.0,5014.835842680334,False,False,False,False,32873.86197514276,False,False,False,False
2024-12-10 18:00:00+00:00,114.07,114.38,113.64,114.035,15183.0,,,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,43.27161057747759,1.0669615321410788,False,True,False,True,False,,,,0,,,False,False,False,False,,,False,False,False,False,-110869.0,3218.18722496436,False,False,False,False,32599.585045295586,False,False,False,False
2024-12-10 19:00:00+00:00,114.01,114.3,113.27,113.375,33112.0,,,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,40.801164735172634,-1.490366382077056,False,True,False,True,False,,,,0,,,False,False,False,False,,,False,False,False,False,-143981.0,936.0292834920447,False,False,False,False,32607.529463197978,False,False,False,False
2024-12-10 20:00:00+00:00,113.36,113.74,112.69,113.5,44901.0,,,,,,,,0.0,0.0,0.0,0.0,113.30999999999999,#000000,,113.30999999999999,,39.40205479618663,-3.0473427339414343,False,True,False,True,False,,,,0,,,False,False,False,False,,,False,False,False,False,-99080.0,-614.6068294303126,False,False,False,False,32798.125905629015,False,False,False,False
2024-12-11 15:00:00+00:00,115.25,115.44,114.22,114.64,39389.0,,,,,,,,0.0,0.0,0.0,0.0,113.99070522402815,#000000,,113.99070522402815,,41.40769338789852,-3.0473427339414343,False,True,False,True,False,,,,0,,,False,False,False,False,,,False,False,False,False,-59691.0,-1530.5199018422459,False,False,False,False,32900.31000011539,False,False,False,False
2024-12-11 16:00:00+00:00,114.625,116.12,114.625,115.915,29497.0,,,,,,,,0.0,0.0,0.0,0.0,114.39578525373432,#000000,,114.39578525373432,,45.41153393369701,-3.0473427339414343,False,True,False,True,True,,,,0,,,False,False,False,False,,,False,False,False,False,-30194.0,-1974.9149421237614,False,False,False,False,32847.54550398957,False,False,False,False
2024-12-11 17:00:00+00:00,115.92,116.755,115.875,116.7,20556.0,,,,,,,,0.0,0.0,0.0,0.0,114.70908329177306,#000000,,114.70908329177306,,49.57232545836825,-8.004645004982343,False,True,False,False,True,,,,0,,,False,False,False,False,,,False,False,False,False,-9638.0,-2093.7224624009123,False,False,False,False,32656.978907028486,False,False,False,False
2024-12-11 18:00:00+00:00,116.75,117.565,116.735,117.26,20031.0,,,,,,,,0.0,0.0,0.0,0.0,115.03056535858802,#000000,,115.03056535858802,,53.39288059717116,-4.400451768660233,False,True,True,False,True,,,,0,,,False,False,False,False,,,False,False,False,False,10393.0,-1900.129866084619,False,False,False,False,32461.227296066805,False,False,False,False
2024-12-11 19:00:00+00:00,117.28,117.83,117.25,117.62,33145.0,,,,,,,,0.0,0.0,0.0,0.0,115.47883501582952,#000000,,115.47883501582952,,56.64968172775876,-1.3488205988490591,False,False,True,False,True,,,,0,,,False,False,False,False,,,False,False,False,False,43538.0,-1195.6627363778805,False,False,False,False,32471.828423259565,False,False,False,False
