date,Open,High,Low,Close,Volume,aVWAP_peak_405,aVWAP_peak_363,aVWAP_peak_348,aVWAP_peak_329,aVWAP_peak_286,aVWAP_peak_260,aVWAP_peak_227,aVWAP_peak_207,aVWAP_valley_393,aVWAP_valley_382,aVWAP_valley_381,aVWAP_valley_361,aVWAP_valley_337,aVWAP_valley_323,Peaks_avg,Valleys_avg,color,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2023-10-30 16:00:00+00:00,0.9993,0.9993,0.9213,0.97,2569.0,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,2569.0,False,False,False,False
2023-10-31 16:00:00+00:00,0.9912,1.025,0.9424,0.96,7519.0,,,,,,,,,,,,,,,,,#000000,,-1.0,1.025,0.9424,0.0,,,False,False,False,False,,,False,False,False,False,-7519.0,-116.57364341085271,False,False,False,False,2645.7441860465115,False,False,False,False
2023-11-01 16:00:00+00:00,0.91,0.91,0.7,0.772,6173.0,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-13692.0,-327.0453698695992,False,False,False,False,2700.430322696953,False,False,False,False
2023-11-02 16:00:00+00:00,0.8125,0.8451,0.8001,0.815,5522.0,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-8170.0,-448.6415656855744,False,False,False,False,2744.1755890117292,False,False,False,False
2023-11-03 16:00:00+00:00,0.9235,0.9301,0.8733,0.8733,1837.0,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-6333.0,-539.8719290082786,False,False,False,False,2730.1108511975935,False,False,False,False
2023-11-06 16:00:00+00:00,0.5163,0.5562,0.5145,0.5341,38595.0,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-44928.0,-1228.0599611166772,False,False,False,False,3286.155644202282,False,False,False,False
2023-11-06 20:00:00+00:00,0.5341,0.5398,0.4703,0.5078,14100.0,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-59028.0,-2124.1830624947133,False,False,False,False,3453.8121458425567,False,False,False,False
2023-11-07 16:00:00+00:00,0.4642,0.483,0.45,0.4795,20325.0,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-79353.0,-3321.5290615258027,False,False,False,False,3715.3809497829816,False,False,False,False
2023-11-07 20:00:00+00:00,0.4795,0.5075,0.4795,0.4891,1273.0,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-78080.0,-4480.575122587417,False,False,False,False,3677.514578468517,False,False,False,False
2023-11-08 16:00:00+00:00,0.4901,0.5,0.48,0.485,3732.0,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-81812.0,-5679.511942392263,False,False,False,False,3678.359313686059,False,False,False,False
