date,Open,High,Low,Close,Volume,aVWAP_OB_bull_719,aVWAP_OB_bull_617,aVWAP_OB_bull_540,aVWAP_OB_bull_56,aVWAP_OB_bear_704,aVWAP_OB_bear_432,aVWAP_OB_bear_378,aVWAP_OB_bear_293,aVWAP_OB_bear_198,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_50,SMA_200,Supertrend_Upper,Supertrend_Lower,Supertrend_Direction,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2024-12-16 15:00:00+00:00,4.035,4.08,4.015,4.065,1821.0,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,,,4.047499999999999,4.047499999999999,1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,1821.0,False,False,False,False
2024-12-16 16:00:00+00:00,4.065,4.085,4.025,4.04,3732.0,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,,False,False,False,True,False,,,,4.047499999999999,4.055,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-3732.0,-57.860465116279066,False,False,False,False,1850.6279069767443,False,False,False,False
2024-12-16 17:00:00+00:00,4.04,4.105,4.035,4.095,5150.0,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,23.741007194244474,-85.61151079136671,False,False,False,True,True,,,,4.047499999999999,4.07,1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1418.0,-34.978907517577056,False,False,False,False,1901.7809626825313,False,False,False,False
2024-12-16 18:00:00+00:00,4.095,4.105,4.085,4.105,712.0,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,40.78809166167838,-67.89503405125176,False,False,False,True,True,,,,4.095000000000001,4.095000000000001,1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,2130.0,-1.4133430599402033,False,False,False,False,1883.334746206833,False,False,False,False
2024-12-16 19:00:00+00:00,4.105,4.11,4.065,4.1,3250.0,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,50.486631202099026,-56.39061238184009,False,False,True,False,True,,,,4.0875,4.095000000000001,1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1120.0,-18.75577184970857,False,False,False,False,1904.5233547927735,False,False,False,False
2024-12-16 20:00:00+00:00,4.095,4.11,4.055,4.1,17121.0,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,56.95232422904613,-47.14063435167589,False,False,True,False,True,,,,4.0825,4.095000000000001,1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1120.0,-35.82932577451929,False,False,False,False,2140.4377213851335,False,False,False,False
2024-12-17 15:00:00+00:00,4.065,4.07,4.0,4.035,1489.0,,,,,,,,,,,#000000,,,,49.069955504291386,-47.14063435167589,False,False,False,False,True,,,,4.035,4.095000000000001,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2609.0,-75.7234447547593,False,False,False,False,2130.3379117512554,False,False,False,False
2024-12-17 16:00:00+00:00,4.035,4.055,4.02,4.035,4002.0,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,43.81504302112157,-47.14063435167589,False,False,False,True,True,,,,4.035,4.0375,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2609.0,-114.99905026243745,False,False,False,False,2159.355928623329,False,False,False,False
2024-12-17 17:00:00+00:00,4.035,4.07,4.02,4.065,3789.0,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,45.51740906582563,-47.14063435167589,False,False,False,True,True,,,,4.035,4.045,1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1180.0,-94.92154560720586,False,False,False,False,2184.621728179556,False,False,False,False
2024-12-17 18:00:00+00:00,4.07,4.125,4.055,4.12,6342.0,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,52.197095558523685,-37.59874243247516,False,False,True,False,True,,,,4.09,4.09,1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,7522.0,23.170261301433,False,False,False,False,2249.0772052620437,False,False,False,False
