date,Open,High,Low,Close,Volume,aVWAP_peak_883,aVWAP_peak_867,aVWAP_peak_834,aVWAP_peak_799,aVWAP_valley_863,aVWAP_valley_828,aVWAP_valley_805,aVWAP_valley_786,aVWAP_valley_760,aVWAP_valley_750,aVWAP_valley_740,aVWAP_valley_720,aVWAP_valley_686,aVWAP_valley_658,aVWAP_valley_630,aVWAP_valley_611,aVWAP_valley_572,aVWAP_valley_543,aVWAP_valley_528,aVWAP_valley_475,aVWAP_valley_474,aVWAP_valley_462,aVWAP_valley_432,aVWAP_valley_396,aVWAP_valley_384,aVWAP_valley_346,aVWAP_valley_319,aVWAP_valley_289,aVWAP_valley_233,Peaks_avg,Valleys_avg,color,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2024-12-19 15:00:00+00:00,135.41,139.235,134.495,139.0,6344.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,6344.0,False,False,False,False
2024-12-19 16:00:00+00:00,138.985,139.09,137.89,137.89,4307.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-4307.0,-66.7751937984496,False,False,False,False,6312.418604651162,False,False,False,False
2024-12-19 17:00:00+00:00,137.89,138.3,137.17,138.3,1587.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-2720.0,-107.91046211165192,False,False,False,False,6239.156300703083,False,False,False,False
2024-12-19 18:00:00+00:00,138.3,138.8,137.7,138.515,3119.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,399.0,-100.05138517968832,False,False,False,False,6190.781784413112,False,False,False,False
2024-12-19 19:00:00+00:00,138.52,139.41,137.72,137.82,8947.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-8548.0,-231.02733269628231,False,False,False,False,6233.513849771049,False,False,False,False
2024-12-19 20:00:00+00:00,137.82,138.905,136.82,137.84,19583.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,11035.0,-56.36024226688258,False,False,False,False,6440.482627293977,False,False,False,False
2024-12-20 15:00:00+00:00,137.42,137.78,136.04,137.63,21348.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-10313.0,-215.37791292941154,False,False,False,False,6671.606927646008,False,False,False,False
2024-12-20 16:00:00+00:00,137.64,140.99,136.82,140.99,3760.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-6553.0,-313.6356197056997,False,False,False,False,6626.465734969326,False,False,False,False
2024-12-20 17:00:00+00:00,141.29,141.36,139.565,139.565,3088.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-9641.0,-458.2459201753788,False,False,False,False,6571.605801093832,False,False,False,False
2024-12-20 18:00:00+00:00,139.565,139.565,137.19,137.4,2473.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-12114.0,-638.955285754055,False,False,False,False,6508.061525107881,False,False,False,False
