date,Close,High,Low,Open,Volume,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index
2025-06-13 00:00:00+00:00,15.35,15.42,14.22,14.985,436682,0,,,0.0,0.0,0.0,0.0
2025-06-20 00:00:00+00:00,13.86,15.785,13.74,15.55,531277,0,,,0.0,0.0,0.0,0.0
2025-06-27 00:00:00+00:00,13.25,14.38,13.05,13.99,255339,0,,,0.0,0.0,0.0,0.0
2025-07-04 00:00:00+00:00,13.57,13.83,13.21,13.38,201001,0,,,0.0,0.0,0.0,0.0
2025-07-11 00:00:00+00:00,13.57,14.05,12.84,13.84,274941,0,,,0.0,0.0,0.0,0.0
2025-07-18 00:00:00+00:00,13.52,14.36,12.78,13.68,427202,0,,,0.0,0.0,0.0,0.0
2025-07-25 00:00:00+00:00,13.34,14.19,13.055,13.67,343479,0,,,0.0,0.0,0.0,0.0
2025-08-01 00:00:00+00:00,13.04,13.3,12.61,13.29,301731,0,,,0.0,0.0,0.0,0.0
2025-08-08 00:00:00+00:00,11.72,13.91,11.67,13.13,529685,0,,,0.0,0.0,0.0,0.0
2025-08-15 00:00:00+00:00,11.91,12.03,11.4,11.77,246261,0,,,0.0,0.0,0.0,0.0
