date,Close,High,Low,Open,Volume,aVWAP_OB_bear_545,aVWAP_OB_bear_63,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_50,SMA_200,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2022-01-03 00:00:00+00:00,15.0,15.7,14.25,15.1,12393,,,,#000000,,,,,,False,False,False,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,12393.0,False,False,False,False
2022-01-04 00:00:00+00:00,15.4,15.8,14.9,15.1,17708,,,,#000000,,,,100.0,,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,17708,694.4313725490196,False,False,False,False,12601.43137254902,False,False,False,False
2022-01-05 00:00:00+00:00,14.9,15.4,14.6,15.2,5383,,,,#000000,,,,89.65704953728905,8.62819814915622,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,12325,1150.5321030372934,False,False,False,False,12318.355632449058,False,False,False,False
2022-01-06 00:00:00+00:00,14.9,15.6,14.6,15.0,4166,,,,#000000,,,,81.19463552234373,8.62819814915622,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,12325,1588.7465303691642,False,False,False,False,11998.655411568703,False,False,False,False
2022-01-07 00:00:00+00:00,15.5,16.4,14.549,14.8,14197,,,,#000000,,,,78.73908543344152,8.62819814915622,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,26522,2566.52117623704,False,False,False,False,12084.86500327189,False,False,False,False
2022-01-10 00:00:00+00:00,14.9,16.8,14.3,16.3,23732,,,,#000000,,,,72.87552165932789,8.62819814915622,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,2790,2575.285051678725,False,False,False,False,12541.615395300443,False,False,False,False
2022-01-11 00:00:00+00:00,14.8,15.5,14.6,14.6,9168,,,,#000000,,,,67.63665432764667,8.62819814915622,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-6378,2224.175833965834,False,False,False,False,12409.316752347486,False,False,False,False
2022-01-12 00:00:00+00:00,14.0,15.2,13.85,14.6,18569,,,,#000000,,,,60.89865577000842,8.62819814915622,False,False,False,True,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-24947,1158.639526751488,False,False,False,False,12650.872958137781,False,False,False,False
2022-01-13 00:00:00+00:00,13.5,14.7,13.15,14.0,21939,,,,#000000,,,,54.45185553961131,33.42909326827447,False,False,False,True,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-46886,-725.4639841015116,False,False,False,False,13015.113234289242,False,False,False,False
2022-01-14 00:00:00+00:00,13.2,13.5,12.0,13.2,19402,,,,#000000,,,,48.7324093609958,27.213808116738022,False,False,False,True,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-66288,-3296.543827862237,False,False,False,False,13265.579381964173,False,False,False,False
2022-01-18 00:00:00+00:00,12.7,13.9,12.55,13.2,7646,,,,#000000,,,,43.447934736979605,21.40142417581893,False,False,False,True,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-73934,-6066.640148338228,False,False,False,False,13045.203719926363,False,False,False,False
2022-01-19 00:00:00+00:00,12.2,12.8,11.9,12.6,5705,,,12.300000000000002,#000000,,12.300000000000002,,38.650487538559695,16.040758952271887,False,False,False,True,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-79639,-8951.830730756337,False,False,False,False,12757.352593654741,False,False,False,False
