date,Open,High,Low,Close,Volume,aVWAP_peak_429,aVWAP_peak_390,aVWAP_peak_343,aVWAP_peak_312,aVWAP_peak_268,aVWAP_valley_407,aVWAP_valley_353,aVWAP_OB_bear_429,aVWAP_OB_bear_268,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2023-11-30 17:00:00+00:00,28.84,29.33,28.77,29.145,45401.0,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,45401.0,False,False,False,False
2023-12-01 17:00:00+00:00,30.31,30.89,30.23,30.88,87046.0,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,100.0,,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,87046.0,1349.550387596899,False,False,False,False,46046.65891472868,False,False,False,False
2023-12-04 17:00:00+00:00,30.48,30.67,30.02,30.305,31863.0,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,90.94725793754921,18.315402781422236,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,55183.0,2184.1775133705905,False,False,False,False,45826.75722612823,False,False,False,False
2023-12-05 17:00:00+00:00,30.2,30.32,29.8,30.085,38851.0,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,82.37080596909485,18.315402781422236,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,16332.0,2403.5235984346127,False,False,False,False,45718.60595130454,False,False,False,False
2023-12-06 17:00:00+00:00,30.395,30.605,29.16,29.17,97358.0,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,69.50676787794349,18.315402781422236,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-81026.0,1110.0426124123705,False,False,False,False,46519.216711749425,False,False,False,False
2023-12-07 17:00:00+00:00,25.915,26.28,25.8,26.005,108652.0,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,52.74041371749094,26.66198974996287,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-189678.0,-1847.9115366172784,False,False,False,False,47482.51567745874,False,False,False,False
2023-12-08 17:00:00+00:00,27.705,28.62,27.26,28.25,88718.0,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,49.89338434426721,23.773070793411804,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-100960.0,-3384.5330631813513,False,False,False,False,48121.82551191674,False,False,False,False
2023-12-11 17:00:00+00:00,28.135,28.175,27.62,28.155,48717.0,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,47.78155385328323,20.890426560230935,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-149677.0,-5652.633325767687,False,False,False,False,48131.05302335989,False,False,False,False
2023-12-12 17:00:00+00:00,27.45,27.94,27.35,27.725,37430.0,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,45.37455202460886,17.30644921114009,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-187107.0,-8465.879320717026,False,False,False,False,47965.14522454811,False,False,False,False
2023-12-13 17:00:00+00:00,27.2,28.39,26.78,28.13,64616.0,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,45.11635715715323,15.443533609902232,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-122491.0,-10233.710649078002,False,False,False,False,48223.29801176442,False,False,False,False
2023-12-14 17:00:00+00:00,29.875,31.7,29.815,31.42,256488.0,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,52.01921469583117,15.443533609902232,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,133997.0,-7997.575600255087,False,False,False,False,51452.20812010916,False,False,False,False
