date,Open,High,Low,Close,Volume,aVWAP_peak_857,aVWAP_peak_829,aVWAP_peak_828,aVWAP_peak_794,aVWAP_peak_749,aVWAP_peak_748,aVWAP_peak_738,aVWAP_peak_720,aVWAP_peak_701,aVWAP_peak_665,aVWAP_peak_608,aVWAP_peak_587,aVWAP_peak_571,aVWAP_peak_570,aVWAP_peak_560,aVWAP_peak_559,aVWAP_peak_527,aVWAP_peak_510,aVWAP_peak_472,aVWAP_peak_424,aVWAP_valley_873,aVWAP_valley_872,aVWAP_valley_858,aVWAP_valley_827,aVWAP_valley_809,aVWAP_valley_782,aVWAP_valley_781,aVWAP_valley_759,aVWAP_valley_756,aVWAP_valley_730,aVWAP_valley_716,aVWAP_valley_689,aVWAP_valley_682,aVWAP_valley_678,aVWAP_valley_659,aVWAP_valley_616,aVWAP_valley_615,aVWAP_valley_590,aVWAP_valley_551,aVWAP_valley_543,aVWAP_valley_521,aVWAP_valley_516,aVWAP_valley_494,aVWAP_valley_453,aVWAP_valley_400,aVWAP_valley_366,aVWAP_valley_337,aVWAP_valley_311,aVWAP_valley_281,aVWAP_valley_257,aVWAP_valley_210,aVWAP_valley_186,aVWAP_valley_117,Peaks_avg,Valleys_avg,color,OB,OB_High,OB_Low,OB_Mitigated_Index
2024-12-16 15:00:00+00:00,1.13,1.135,1.11,1.115,1075.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-16 16:00:00+00:00,1.125,1.125,1.11,1.115,102.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-16 17:00:00+00:00,1.115,1.125,1.11,1.125,347.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-16 18:00:00+00:00,1.125,1.125,1.12,1.125,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-16 19:00:00+00:00,1.125,1.14,1.115,1.14,751.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-16 20:00:00+00:00,1.14,1.145,1.13,1.135,608.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-17 15:00:00+00:00,1.12,1.12,1.09,1.105,233.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-17 16:00:00+00:00,1.105,1.105,1.095,1.1,197.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-17 17:00:00+00:00,1.1,1.11,1.075,1.11,2570.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-17 18:00:00+00:00,1.11,1.115,1.105,1.11,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
