date,Open,High,Low,Close,Volume,aVWAP_peak_210,aVWAP_peak_154,aVWAP_peak_153,aVWAP_peak_128,aVWAP_peak_92,aVWAP_peak_91,aVWAP_peak_90,aVWAP_peak_77,aVWAP_peak_70,aVWAP_valley_216,aVWAP_valley_215,aVWAP_valley_214,Peaks_avg,Valleys_avg,color
2025-07-09 13:30:00+00:00,4.925,4.925,4.925,4.925,0.0,,,,,,,,,,,,,,,#000000
2025-07-09 13:35:00+00:00,4.925,4.925,4.865,4.87,0.0,,,,,,,,,,,,,,,#000000
2025-07-09 13:40:00+00:00,4.87,4.875,4.865,4.875,0.0,,,,,,,,,,,,,,,#000000
2025-07-09 13:45:00+00:00,4.875,4.875,4.86,4.87,8.0,,,,,,,,,,,,,,,#000000
2025-07-09 13:50:00+00:00,4.865,4.865,4.86,4.86,0.0,,,,,,,,,,,,,,,#000000
2025-07-09 13:55:00+00:00,4.86,4.86,4.835,4.835,201.0,,,,,,,,,,,,,,,#000000
2025-07-09 14:00:00+00:00,4.84,4.84,4.835,4.84,0.0,,,,,,,,,,,,,,,#000000
2025-07-09 14:05:00+00:00,4.84,4.84,4.83,4.83,100.0,,,,,,,,,,,,,,,#000000
2025-07-09 14:10:00+00:00,4.825,4.83,4.805,4.81,201.0,,,,,,,,,,,,,,,#000000
2025-07-09 14:15:00+00:00,4.81,4.81,4.78,4.78,2.0,,,,,,,,,,,,,,,#000000
2025-07-09 14:20:00+00:00,4.78,4.795,4.775,4.785,101.0,,,,,,,,,,,,,,,#000000
2025-07-09 14:25:00+00:00,4.785,4.815,4.785,4.805,0.0,,,,,,,,,,,,,,,#000000
2025-07-09 14:30:00+00:00,4.81,4.81,4.805,4.81,4.0,,,,,,,,,,,,,,,#000000
2025-07-09 14:35:00+00:00,4.815,4.83,4.81,4.815,111.0,,,,,,,,,,,,,,,#000000
2025-07-09 14:40:00+00:00,4.815,4.825,4.815,4.825,0.0,,,,,,,,,,,,,,,#000000
2025-07-09 14:45:00+00:00,4.825,4.84,4.825,4.84,604.0,,,,,,,,,,,,,,,#000000
2025-07-09 14:50:00+00:00,4.84,4.84,4.83,4.83,300.0,,,,,,,,,,,,,,,#000000
2025-07-09 14:55:00+00:00,4.83,4.83,4.83,4.83,0.0,,,,,,,,,,,,,,,#000000
2025-07-09 15:00:00+00:00,4.83,4.83,4.83,4.83,0.0,,,,,,,,,,,,,,,#000000
2025-07-09 15:05:00+00:00,4.83,4.83,4.82,4.83,4.0,,,,,,,,,,,,,,,#000000
2025-07-09 15:10:00+00:00,4.83,4.83,4.815,4.815,100.0,,,,,,,,,,,,,,,#000000
2025-07-09 15:15:00+00:00,4.81,4.82,4.79,4.805,293.0,,,,,,,,,,,,,,,#000000
2025-07-09 15:20:00+00:00,4.805,4.805,4.79,4.8,0.0,,,,,,,,,,,,,,,#000000
2025-07-09 15:25:00+00:00,4.8,4.815,4.795,4.81,100.0,,,,,,,,,,,,,,,#000000
2025-07-09 15:30:00+00:00,4.81,4.82,4.81,4.81,678.0,,,,,,,,,,,,,,,#000000
2025-07-09 15:35:00+00:00,4.815,4.82,4.795,4.82,1100.0,,,,,,,,,,,,,,,#000000
2025-07-09 15:40:00+00:00,4.815,4.83,4.81,4.825,1.0,,,,,,,,,,,,,,,#000000
2025-07-09 15:45:00+00:00,4.83,4.84,4.83,4.84,12.0,,,,,,,,,,,,,,,#000000
2025-07-09 15:50:00+00:00,4.84,4.84,4.83,4.83,9.0,,,,,,,,,,,,,,,#000000
2025-07-09 15:55:00+00:00,4.83,4.85,4.83,4.845,38.0,,,,,,,,,,,,,,,#000000
2025-07-09 16:00:00+00:00,4.845,4.845,4.84,4.84,0.0,,,,,,,,,,,,,,,#000000
2025-07-09 16:05:00+00:00,4.84,4.845,4.84,4.845,400.0,,,,,,,,,,,,,,,#000000
2025-07-09 16:10:00+00:00,4.845,4.845,4.84,4.84,0.0,,,,,,,,,,,,,,,#000000
2025-07-09 16:15:00+00:00,4.84,4.84,4.825,4.825,0.0,,,,,,,,,,,,,,,#000000
2025-07-09 16:20:00+00:00,4.835,4.835,4.83,4.83,0.0,,,,,,,,,,,,,,,#000000
2025-07-09 16:25:00+00:00,4.83,4.85,4.83,4.845,0.0,,,,,,,,,,,,,,,#000000
2025-07-09 16:30:00+00:00,4.845,4.845,4.845,4.845,0.0,,,,,,,,,,,,,,,#000000
2025-07-09 16:35:00+00:00,4.845,4.85,4.83,4.835,0.0,,,,,,,,,,,,,,,#000000
2025-07-09 16:40:00+00:00,4.835,4.84,4.825,4.825,0.0,,,,,,,,,,,,,,,#000000
2025-07-09 16:45:00+00:00,4.825,4.83,4.825,4.825,0.0,,,,,,,,,,,,,,,#000000
2025-07-09 16:50:00+00:00,4.825,4.825,4.81,4.82,0.0,,,,,,,,,,,,,,,#000000
2025-07-09 16:55:00+00:00,4.82,4.825,4.81,4.825,42.0,,,,,,,,,,,,,,,#000000
2025-07-09 17:00:00+00:00,4.825,4.825,4.825,4.825,0.0,,,,,,,,,,,,,,,#000000
