date,Close,High,Low,Open,Volume,aVWAP_BoS_CHoCH_bull_151,aVWAP_BoS_CHoCH_bull_450,aVWAP_BoS_CHoCH_bull_481,aVWAP_BoS_CHoCH_bull_648,aVWAP_BoS_CHoCH_bull_737,aVWAP_BoS_CHoCH_bull_808,aVWAP_BoS_CHoCH_bear_344,aVWAP_BoS_CHoCH_bear_379,aVWAP_BoS_CHoCH_bear_440,aVWAP_BoS_CHoCH_bear_467,aVWAP_BoS_CHoCH_bear_721,aVWAP_BoS_CHoCH_bear_751,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2022-01-03 00:00:00+00:00,15.1465573991,15.3222262349,14.7464228287,15.068482361,269255,,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,269255.0,False,False,False,False
2022-01-04 00:00:00+00:00,15.1465573991,15.4978950707,15.0489636014,15.2148730575,458339,,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,276670.0588235294,False,False,False,False
2022-01-05 00:00:00+00:00,14.7269040691,15.5759701089,14.648829031,15.2636699563,559519,,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-559519,-21941.92156862745,False,False,False,False,287762.1741637832,False,False,False,False
2022-01-06 00:00:00+00:00,14.2194163212,14.68786655,14.0925443842,14.5024383345,628624,,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-1188143,-67675.29719338716,False,False,False,False,301129.3045887329,False,False,False,False
2022-01-07 00:00:00+00:00,14.3072507391,14.4341226761,14.0827850045,14.3072507391,288016,,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,3.2676208477501327,-47.00468088956238,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-900127,-100320.46200933275,False,False,False,False,300615.05734995904,False,False,False,False
2022-01-10 00:00:00+00:00,14.4243632963,14.4243632963,13.9949505866,14.1608600426,322208,,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,9.225367353895486,-41.72494775047081,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-577919,-119049.81644033932,False,False,False,False,301461.8394146665,False,False,False,False
2022-01-11 00:00:00+00:00,14.8830541454,14.9025729049,14.1901381819,14.4731601952,309094,,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,22.43186099043489,-30.063440224531313,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-268825,-124923.3530505221,False,False,False,False,301761.13982977765,False,False,False,False
2022-01-12 00:00:00+00:00,15.3027074754,15.3319856147,14.8830541454,14.8830541454,301682,,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,35.69015356697618,-18.913598461313782,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,32857,-118735.88822501144,False,False,False,False,301758.0363070413,False,False,False,False
2022-01-13 00:00:00+00:00,14.8635353859,15.3027074754,14.8244978668,15.1758355384,217707,,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,39.73545152192496,-16.54172862218862,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-184850,-121328.59849069726,False,False,False,False,298461.91723617696,False,False,False,False
2022-01-14 00:00:00+00:00,14.648829031,14.8635353859,14.4926789547,14.7561822084,276937,,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,40.66953721184136,-16.54172862218862,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-461787,-134679.90835380717,False,False,False,False,297617.80283475824,False,False,False,False
