date,Open,High,Low,Close,Volume,aVWAP_peak_416,aVWAP_peak_378,aVWAP_peak_284,aVWAP_peak_248,aVWAP_peak_230,aVWAP_peak_207,aVWAP_peak_178,aVWAP_peak_138,aVWAP_peak_110,aVWAP_peak_84,aVWAP_peak_60,aVWAP_peak_15,aVWAP_valley_426,aVWAP_valley_394,aVWAP_valley_367,aVWAP_valley_341,aVWAP_valley_319,aVWAP_valley_298,aVWAP_valley_263,aVWAP_valley_239,aVWAP_valley_238,aVWAP_valley_216,aVWAP_valley_194,aVWAP_valley_155,aVWAP_valley_117,aVWAP_valley_77,aVWAP_valley_51,aVWAP_valley_24,aVWAP_OB_bull_394,aVWAP_OB_bull_298,aVWAP_OB_bull_77,aVWAP_OB_bear_60,Peaks_Valleys_avg,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_50,SMA_200,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2023-11-09 17:00:00+00:00,12.5,12.57,12.17,12.18,1050.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,1050.0,False,False,False,False
2023-11-10 17:00:00+00:00,11.99,12.02,11.885,11.975,703.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-703.0,-10.89922480620155,False,False,False,False,1044.6201550387598,False,False,False,False
2023-11-13 17:00:00+00:00,12.09,12.18,11.955,11.955,1303.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2006.0,-41.83101977044649,False,False,False,False,1048.6260441079262,False,False,False,False
2023-11-14 17:00:00+00:00,12.33,12.49,12.235,12.41,1887.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,23.893805309734525,-28.495575221238926,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-119.0,-43.0274380685791,False,False,False,False,1061.6240899357101,False,False,False,False
2023-11-15 17:00:00+00:00,12.52,12.665,12.515,12.595,1417.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,42.15383438834505,-13.49517736907353,False,False,False,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1298.0,-22.236314997748416,False,False,False,False,1067.1337939677146,False,False,False,False
2023-11-16 17:00:00+00:00,12.77,12.89,12.75,12.75,1800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,55.669304952606,-3.191457375866811,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,3098.0,26.139441823922102,False,False,False,False,1078.4960607279052,False,False,False,False
2023-11-17 17:00:00+00:00,12.595,12.69,12.525,12.545,2574.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,58.63400739508078,-2.224315049975303,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,524.0,33.85821016773726,False,False,False,False,1101.682168313519,False,False,False,False
2023-11-20 17:00:00+00:00,12.6,12.67,12.56,12.65,3897.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,61.93570902051066,-0.096889163899462,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,4421.0,101.87591233567932,False,False,False,False,1145.0204292698984,False,False,False,False
2023-11-21 17:00:00+00:00,13.03,13.09,12.91,12.92,2089.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,66.70645999575274,3.9265541680082237,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,6510.0,201.22667338473855,False,False,False,False,1159.6557714517603,False,False,False,False
2023-11-22 17:00:00+00:00,12.825,12.905,12.825,12.875,261.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,68.77056323591319,5.817166425528399,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,6249.0,294.9906009291612,False,False,False,False,1145.7231238323532,False,False,False,False
