date,Open,High,Low,Close,Volume,aVWAP_peak_885,aVWAP_peak_860,aVWAP_valley_878,aVWAP_valley_846,aVWAP_valley_829,aVWAP_valley_804,aVWAP_valley_791,aVWAP_valley_769,aVWAP_valley_738,aVWAP_valley_717,aVWAP_valley_716,aVWAP_valley_706,aVWAP_valley_678,aVWAP_valley_629,aVWAP_valley_617,aVWAP_valley_605,aVWAP_valley_582,aVWAP_valley_558,aVWAP_valley_544,aVWAP_valley_480,Peaks_avg,Valleys_avg,color,OB,OB_High,OB_Low,OB_Mitigated_Index
2024-12-16 15:00:00+00:00,92.905,93.09,92.36,92.625,74.0,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-16 16:00:00+00:00,92.625,92.625,92.23,92.23,214.0,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-16 17:00:00+00:00,92.23,93.24,92.23,93.24,49.0,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-16 18:00:00+00:00,93.24,93.24,93.105,93.105,27.0,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-16 19:00:00+00:00,93.305,93.58,93.295,93.38,55.0,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-16 20:00:00+00:00,93.38,93.47,92.76,93.435,149.0,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-17 15:00:00+00:00,93.435,93.69,92.97,93.1,52.0,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-17 16:00:00+00:00,93.1,93.145,92.715,92.95,66.0,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-17 17:00:00+00:00,92.95,93.2,92.88,93.2,70.0,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-17 18:00:00+00:00,93.2,93.29,93.07,93.07,48.0,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-17 19:00:00+00:00,93.07,93.12,92.93,93.11,64.0,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-17 20:00:00+00:00,93.08,93.08,92.755,92.93,258.0,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-18 15:00:00+00:00,93.22,93.24,92.445,93.12,31.0,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-18 16:00:00+00:00,93.12,93.57,93.115,93.32,37.0,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
