date,Open,High,Low,Close,Volume,aVWAP_OB_bear_804,aVWAP_OB_bear_745,aVWAP_OB_bear_621,aVWAP_OB_bear_539,aVWAP_OB_bear_483,OB,OB_High,OB_Low,OB_Mitigated_Index,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_50,SMA_200,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2024-12-05 15:00:00+00:00,1.295,1.295,1.275,1.275,201548.0,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,,,False,False,False,False,False,,,,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,201548.0,False,False,False,False
2024-12-05 16:00:00+00:00,1.275,1.29,1.275,1.285,59936.0,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,100.0,,False,False,True,False,False,,,,0,,,False,False,False,False,,,False,False,False,False,59936.0,929.2403100775193,False,False,False,False,199352.46511627908,False,False,False,False
2024-12-05 17:00:00+00:00,1.285,1.295,1.28,1.295,7334.0,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,100.0,50.0,False,False,True,False,True,,,,0,,,False,False,False,False,,,False,False,False,False,67270.0,1957.779219998798,False,False,False,False,196375.43464936002,False,False,False,False
2024-12-05 18:00:00+00:00,1.295,1.31,1.295,1.3,129518.0,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,100.0,50.0,False,False,True,False,True,,,,0,,,False,False,False,False,,,False,False,False,False,196788.0,4978.402797983313,False,False,False,False,195338.88527495132,False,False,False,False
2024-12-05 19:00:00+00:00,1.305,1.31,1.295,1.295,18815.0,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,94.3586157204314,44.828731077062116,False,False,True,False,False,,,,0,,,False,False,False,False,,,False,False,False,False,177973.0,7660.489576309154,False,False,False,False,192602.08085208383,False,False,False,False
2024-12-05 20:00:00+00:00,1.295,1.335,1.295,1.295,198617.0,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,90.32905552073954,41.44837779843172,False,False,True,False,False,,,,0,,,False,False,False,False,,,False,False,False,False,177973.0,10300.993613885756,False,False,False,False,192695.33541251664,False,False,False,False
2024-12-06 15:00:00+00:00,1.315,1.315,1.3,1.305,19360.0,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,89.27482705592388,40.9017475598186,False,False,True,False,False,,,,0,,,False,False,False,False,,,False,False,False,False,197333.0,13200.714643127836,False,False,False,False,190007.9658712373,False,False,False,False
2024-12-06 16:00:00+00:00,1.305,1.305,1.295,1.295,15175.0,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,82.02748766864892,34.56565965346013,False,False,True,False,False,,,,0,,,False,False,False,False,,,False,False,False,False,182158.0,15820.207439358412,False,False,False,False,187297.3772530786,False,False,False,False
2024-12-06 17:00:00+00:00,1.295,1.295,1.285,1.29,44999.0,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,74.54827886223525,28.272026998639305,False,False,True,False,False,,,,0,,,False,False,False,False,,,False,False,False,False,137159.0,17701.429029445877,False,False,False,False,185091.20086155797,False,False,False,False
2024-12-06 18:00:00+00:00,1.285,1.285,1.28,1.28,20432.0,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,65.74054472715463,20.91815003185475,False,False,True,False,False,,,,0,,,False,False,False,False,,,False,False,False,False,116727.0,19236.709199531986,False,False,False,False,182538.34503424697,False,False,False,False
