date,Close,High,Low,Open,Volume,aVWAP_BoS_CHoCH_bull_354,aVWAP_BoS_CHoCH_bull_522,aVWAP_BoS_CHoCH_bull_734,aVWAP_BoS_CHoCH_bear_114,aVWAP_BoS_CHoCH_bear_351,aVWAP_BoS_CHoCH_bear_709,Peaks_Valleys_avg,color,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index
2022-01-03 00:00:00+00:00,11.9613918325,12.2477452621,11.9450287794,12.0595701512,35518,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-04 00:00:00+00:00,11.9123026731,11.9656462263,11.8877580934,11.9450287794,21476,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-05 00:00:00+00:00,11.8141243544,11.9368472528,11.8059428278,11.9368472528,62018,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-06 00:00:00+00:00,11.7732167216,11.9280112041,11.7732167216,11.8468504606,55327,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-07 00:00:00+00:00,11.7732167216,11.822305881,11.7568536685,11.822305881,9922,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-10 00:00:00+00:00,11.7404906153,11.7895797747,11.6995829825,11.7404906153,18753,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-11 00:00:00+00:00,11.7323090888,11.8632135138,11.6995829825,11.8632135138,40451,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-12 00:00:00+00:00,11.7159460357,11.7977613013,11.6750384029,11.7241275622,36152,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-13 00:00:00+00:00,11.6165404879,11.7807318729,11.6001213494,11.7561031652,36328,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-14 00:00:00+00:00,11.5837022109,11.6411691957,11.5754926417,11.6329596264,23589,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-18 00:00:00+00:00,11.2060620255,11.6575883342,11.1814333177,11.5672830724,148465,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
