date,Close,High,Low,Open,Volume,aVWAP_peak_17,Peaks_avg,color,banker_RSI,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,9.79,9.79,9.74,9.75,103724,,,#000000,,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,103724.0,False,False,False,False
2022-01-07 00:00:00+00:00,9.8,9.81,9.76,9.78,48798,,,#000000,,,,False,False,False,False,,,False,False,False,False,48798,3614.6666666666665,False,False,False,False,99655.40740740742,False,False,False,False
2022-01-14 00:00:00+00:00,9.78,9.79,9.765,9.78,11734,,,#000000,,,,False,False,False,False,,,False,False,False,False,37064,6092.395061728395,False,False,False,False,93142.71056241427,False,False,False,False
2022-01-21 00:00:00+00:00,9.75,9.78,9.74,9.78,127636,,,#000000,,,,False,False,False,False,,,False,False,False,False,-90572,-1067.9304983996335,False,False,False,False,95697.76903927248,False,False,False,False
2022-01-28 00:00:00+00:00,9.752,9.76,9.74,9.74,22902,,,#000000,,,,False,False,False,False,,,False,False,False,False,-67670,-6001.417128147808,False,False,False,False,90305.48985117821,False,False,False,False
2022-02-04 00:00:00+00:00,9.74,9.79,9.74,9.762,102786,,,#000000,,,,False,False,False,False,,,False,False,False,False,-170456,-18183.238081618343,False,False,False,False,91229.97208442427,False,False,False,False
2022-02-11 00:00:00+00:00,9.76,9.7799,9.74,9.74,149909,,,#000000,,,,False,False,False,False,,,False,False,False,False,-20547,-18358.33155705402,False,False,False,False,95576.56674483728,False,False,False,False
2022-02-18 00:00:00+00:00,9.7724,9.78,9.75,9.76,34899,,,#000000,,,,False,False,False,False,,,False,False,False,False,14352,-15935.344034309279,False,False,False,False,91081.93217114563,False,False,False,False
2022-02-25 00:00:00+00:00,9.755,9.78,9.74,9.75,3645,,,#000000,,,,False,False,False,False,,,False,False,False,False,10707,-13961.837068804887,False,False,False,False,84605.1223806904,False,False,False,False
2022-03-04 00:00:00+00:00,9.78,9.81,9.75,9.76,471611,,,#000000,,,,False,False,False,False,0.24022966860870235,0.24022966860870235,False,False,False,False,482318,22799.632343699173,False,False,False,False,113272.22442656518,False,False,False,False
2022-03-11 00:00:00+00:00,9.79,9.7978,9.7501,9.78,57152,,,#000000,,,,False,False,False,False,0.12223241336809279,0.18123104098839757,False,False,False,False,539470,61071.511429351085,False,False,False,False,109115.17076533813,False,False,False,False
2022-03-18 00:00:00+00:00,9.806,9.806,9.78,9.78,75390,,,#000000,,,,False,False,False,False,0.34282653196081075,0.26202878647460415,False,False,False,False,614860,102092.88095310285,False,False,False,False,106617.00996790567,False,False,False,False
2022-03-25 00:00:00+00:00,9.81,9.8136,9.79,9.79,72724,,,#000000,,,,False,False,False,False,0.34282682457787483,0.3024278055262395,False,False,False,False,687584,145462.59347509523,False,False,False,False,104106.4166369497,False,False,False,False
2022-04-01 00:00:00+00:00,9.83,9.84,9.79,9.8191,172389,,,#000000,,,,False,False,False,False,0.34282711494432283,0.32262746023528116,False,False,False,False,859973,198389.2902547178,False,False,False,False,109164.38577495344,False,False,False,False
2022-04-08 00:00:00+00:00,9.83,9.87,9.83,9.84,2871,,,#000000,,,,False,False,False,False,0.3428274319205681,0.3327274460779246,False,False,False,False,859973,247395.49097659058,False,False,False,False,101290.80164347541,False,False,False,False
2022-04-15 00:00:00+00:00,9.83,9.85,9.82,9.8481,1664926,,,#000000,,,,False,False,False,False,0.22371965167187016,0.27822354887489736,False,False,False,False,859973,292771.6027561024,False,False,False,False,217115.6311513661,False,False,False,False
2022-04-22 00:00:00+00:00,9.86,9.86,9.83,9.86,9717,,,#000000,,,,False,False,False,False,0.30220877467983753,0.2902161617773674,False,True,False,False,869690,335506.29884824296,False,False,False,False,201752.76958459825,False,False,False,False
