date,Open,High,Low,Close,Volume,aVWAP_OB_bull_886,aVWAP_OB_bull_583,aVWAP_OB_bear_792,aVWAP_OB_bear_507,aVWAP_OB_bear_399,aVWAP_OB_bear_374,aVWAP_OB_bear_95,OB,OB_High,OB_Low,OB_Mitigated_Index,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_50,SMA_200,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2024-12-05 15:00:00+00:00,243.445,243.565,242.245,242.36,127531.0,,,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,,,False,False,False,False,False,,,,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,127531.0,False,False,False,False
2024-12-05 16:00:00+00:00,242.365,242.77,242.21,242.63,60049.0,,,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,100.0,,False,False,True,False,False,,,,0,,,False,False,False,False,,,False,False,False,False,60049.0,930.9922480620155,False,False,False,False,126484.76744186046,False,False,False,False
2024-12-05 17:00:00+00:00,242.63,243.41,242.46,242.88,144850.0,,,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,100.0,50.0,False,False,True,False,True,,,,0,,,False,False,False,False,,,False,False,False,False,204899.0,4093.286941890511,False,False,False,False,126769.49972958355,False,False,False,False
2024-12-05 18:00:00+00:00,242.905,243.32,242.615,243.215,59070.0,,,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,100.0,50.0,False,False,True,False,True,,,,0,,,False,False,False,False,,,False,False,False,False,263969.0,8122.367764496859,False,False,False,False,125719.89508261325,False,False,False,False
2024-12-05 19:00:00+00:00,243.215,243.69,242.965,243.12,60017.0,,,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,96.6449377219301,46.9245262451026,False,False,True,False,False,,,,0,,,False,False,False,False,,,False,False,False,False,203952.0,11158.486093729465,False,False,False,False,124701.2455464487,False,False,False,False
2024-12-05 20:00:00+00:00,243.105,243.265,242.185,242.905,196563.0,,,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,88.54439765556818,39.685423533052486,False,False,True,False,False,,,,0,,,False,False,False,False,,,False,False,False,False,7389.0,11100.044448865441,False,False,False,False,125815.38127441073,False,False,False,False
2024-12-06 15:00:00+00:00,243.67,244.63,243.19,243.595,114998.0,,,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,86.78053686131636,38.63507635999697,False,False,True,False,False,,,,0,,,False,False,False,False,,,False,False,False,False,122387.0,12825.423604696984,False,False,False,False,125647.66993682296,False,False,False,False
2024-12-06 16:00:00+00:00,243.585,244.09,243.515,243.645,81435.0,,,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,85.69280453777135,38.08196898094812,False,False,True,False,False,,,,0,,,False,False,False,False,,,False,False,False,False,203822.0,15786.610835631913,False,False,False,False,124962.20218586446,False,False,False,False
2024-12-06 17:00:00+00:00,243.645,243.74,242.94,243.05,60195.0,,,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,77.58756873483877,30.95707113851624,False,False,True,False,False,,,,0,,,False,False,False,False,,,False,False,False,False,143627.0,17768.632373063974,False,False,False,False,123958.05951631616,False,False,False,False
2024-12-06 18:00:00+00:00,243.05,243.64,242.915,243.625,57086.0,,,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,74.81382352578575,29.001664324907637,False,False,True,False,False,,,,0,,,False,False,False,False,,,False,False,False,False,200713.0,20604.97915797771,False,False,False,False,122921.28339978412,False,False,False,False
