date,Close,High,Low,Open,Volume,aVWAP_OB_bull_171,aVWAP_OB_bull_137,aVWAP_OB_bull_70,aVWAP_OB_bull_55,aVWAP_OB_bull_41,aVWAP_OB_bear_163,aVWAP_OB_bear_119,aVWAP_OB_bear_33,OB,OB_High,OB_Low,OB_Mitigated_Index,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_50,SMA_200,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,56.9338940348,57.7559630428,55.9545987137,56.0713954033,62051109,,,,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,,,False,False,False,False,False,,,,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,62051109.0,False,False,False,False
2022-01-07 00:00:00+00:00,55.2531673011,56.9159253133,54.1504539999,56.5116290798,116958651,,,,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,0.0,,False,False,False,True,False,,,,0,,,False,False,False,False,,,False,False,False,False,-116958651,-8663603.777777778,False,False,False,False,66118334.33333333,False,False,False,False
2022-01-14 00:00:00+00:00,55.4610558743,56.778436724,54.7018106505,55.0136435103,94458060,,,,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,2.6003783929339854,-55.20075678586797,False,False,False,True,True,,,,0,,,False,False,False,False,,,False,False,False,False,-22500591,-9688565.794238683,False,False,False,False,68217573.27160493,False,False,False,False
2022-01-21 00:00:00+00:00,51.2309753416,54.430651642,51.1677049062,54.2137244352,94124212,,,,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,2.7547871656882745,-54.93169318716776,False,False,False,True,True,,,,0,,,False,False,False,False,,,False,False,False,False,-116624803,-17609768.550221004,False,False,False,False,70136583.54778235,False,False,False,False
2022-01-28 00:00:00+00:00,50.2638415445,51.5202116173,48.3069773664,50.7609663935,144924624,,,,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,2.7653012551761864,-54.71378808899637,False,False,False,True,True,,,,0,,,False,False,False,False,,,False,False,False,False,-261549427,-35679372.879834265,False,False,False,False,75676438.39609477,False,False,False,False
2022-02-04 00:00:00+00:00,49.8480643981,50.9010652145,49.1611282432,50.1011461394,114616822,,,,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,2.733325174025351,-54.47161853692516,False,False,False,True,True,,,,0,,,False,False,False,False,,,False,False,False,False,-376166249,-60900622.9628095,False,False,False,False,78560911.25564331,False,False,False,False
2022-02-11 00:00:00+00:00,48.718235196,50.959816333,48.600732959,50.0107598032,88669983,,,,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,2.616374180426059,-54.2715816124302,False,False,False,True,True,,,,0,,,False,False,False,False,,,False,False,False,False,-464836232,-90821779.18778658,False,False,False,False,79309731.38485491,False,False,False,False
2022-02-18 00:00:00+00:00,51.7100229233,52.1438773369,47.633599162,48.2753421488,128448278,,,,,,,,,0.0,0.0,0.0,0.0,50.49583314073333,#000000,,50.49583314073333,,9.25386096047222,-47.59490884114441,False,False,False,True,True,,,,0,,,False,False,False,False,,,False,False,False,False,-336387954,-109011866.2109135,False,False,False,False,82949623.7267175,False,False,False,False
2022-02-25 00:00:00+00:00,50.6525027901,51.6467524879,48.0945694764,51.456941182,93604140,,,,,,,,,0.0,0.0,0.0,0.0,50.34215699879462,#000000,,50.34215699879462,,13.65871766810998,-43.25951598898406,False,False,False,True,True,,,,0,,,False,False,False,False,,,False,False,False,False,-429992094,-132788179.38047546,False,False,False,False,83738847.15436806,False,False,False,False
2022-03-04 00:00:00+00:00,51.0773185701,51.5202116173,49.0436260062,50.0830688722,93854499,,,,,,,,,0.0,0.0,0.0,0.0,50.40303038493348,#000000,,50.40303038493348,,17.765890984921924,-39.28995228485548,True,False,False,True,True,,,,1,,,False,False,False,False,,,False,False,False,False,-336137595,-147851099.0559958,False,False,False,False,84488154.69848894,False,False,False,False
