date,Open,High,Low,Close,Volume,aVWAP_peak_218,aVWAP_peak_201,aVWAP_peak_191,aVWAP_peak_155,aVWAP_peak_101,aVWAP_peak_65,aVWAP_peak_37,aVWAP_valley_207,aVWAP_valley_206,aVWAP_valley_158,Peaks_avg,Valleys_avg,color
2025-07-09 13:30:00+00:00,723.045,728.97,723.02,726.88,19958.0,,,,,,,,,,,,,#000000
2025-07-09 13:35:00+00:00,727.58,730.19,727.42,729.4,12074.0,,,,,,,,,,,,,#000000
2025-07-09 13:40:00+00:00,729.43,729.76,727.18,728.35,6151.0,,,,,,,,,,,,,#000000
2025-07-09 13:45:00+00:00,728.485,729.59,727.76,729.36,7264.0,,,,,,,,,,,,,#000000
2025-07-09 13:50:00+00:00,729.43,732.54,729.3,732.47,9395.0,,,,,,,,,,,,,#000000
2025-07-09 13:55:00+00:00,732.62,733.27,731.99,732.5,16598.0,,,,,,,,,,,,,#000000
2025-07-09 14:00:00+00:00,732.88,735.48,732.46,733.6,10300.0,,,,,,,,,,,,,#000000
2025-07-09 14:05:00+00:00,733.76,734.54,732.89,734.38,6677.0,,,,,,,,,,,,,#000000
2025-07-09 14:10:00+00:00,734.49,736.58,734.49,735.86,4463.0,,,,,,,,,,,,,#000000
2025-07-09 14:15:00+00:00,735.87,736.31,733.88,734.04,5165.0,,,,,,,,,,,,,#000000
2025-07-09 14:20:00+00:00,734.05,734.3,733.24,733.99,4813.0,,,,,,,,,,,,,#000000
2025-07-09 14:25:00+00:00,734.04,735.14,732.04,732.28,5028.0,,,,,,,,,,,,,#000000
2025-07-09 14:30:00+00:00,732.21,732.76,731.455,732.27,4393.0,,,,,,,,,,,,,#000000
2025-07-09 14:35:00+00:00,732.26,734.29,731.95,734.29,2998.0,,,,,,,,,,,,,#000000
2025-07-09 14:40:00+00:00,734.17,734.17,733.245,733.75,4011.0,,,,,,,,,,,,,#000000
2025-07-09 14:45:00+00:00,733.92,734.35,731.42,731.5,2141.0,,,,,,,,,,,,,#000000
2025-07-09 14:50:00+00:00,731.48,731.48,729.86,730.68,14228.0,,,,,,,,,,,,,#000000
2025-07-09 14:55:00+00:00,730.83,731.83,730.79,731.7,2169.0,,,,,,,,,,,,,#000000
2025-07-09 15:00:00+00:00,731.6,733.48,731.185,733.33,7222.0,,,,,,,,,,,,,#000000
2025-07-09 15:05:00+00:00,733.235,733.47,731.92,732.59,7000.0,,,,,,,,,,,,,#000000
2025-07-09 15:10:00+00:00,732.575,732.68,732.21,732.35,3284.0,,,,,,,,,,,,,#000000
2025-07-09 15:15:00+00:00,732.475,732.88,731.51,732.3,1350.0,,,,,,,,,,,,,#000000
2025-07-09 15:20:00+00:00,732.915,735.34,732.83,735.28,2530.0,,,,,,,,,,,,,#000000
2025-07-09 15:25:00+00:00,735.35,735.35,734.19,734.69,2909.0,,,,,,,,,,,,,#000000
2025-07-09 15:30:00+00:00,734.87,734.87,733.74,734.385,972.0,,,,,,,,,,,,,#000000
2025-07-09 15:35:00+00:00,734.665,734.87,731.95,734.435,747.0,,,,,,,,,,,,,#000000
2025-07-09 15:40:00+00:00,734.39,735.07,734.34,734.715,323.0,,,,,,,,,,,,,#000000
2025-07-09 15:45:00+00:00,734.98,736.99,734.98,736.56,2563.0,,,,,,,,,,,,,#000000
2025-07-09 15:50:00+00:00,736.68,736.76,734.59,734.59,4203.0,,,,,,,,,,,,,#000000
