date,Open,High,Low,Close,Volume,aVWAP_OB_bull_873,aVWAP_OB_bull_618,aVWAP_OB_bull_527,aVWAP_OB_bear_840,aVWAP_OB_bear_780,aVWAP_OB_bear_430,OB,OB_High,OB_Low,OB_Mitigated_Index,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_50,SMA_200,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2024-12-06 15:00:00+00:00,75.95,76.42,75.86,76.375,23044.0,,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,,,False,False,False,False,False,,,,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,23044.0,False,False,False,False
2024-12-06 16:00:00+00:00,76.33,76.345,75.82,75.97,14830.0,,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,0.0,,False,False,False,True,False,,,,0,,,False,False,False,False,,,False,False,False,False,-14830.0,-229.92248062015503,False,False,False,False,22916.6511627907,False,False,False,False
2024-12-06 17:00:00+00:00,75.96,75.97,75.505,75.605,16273.0,,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,0.0,-50.0,False,False,False,True,True,,,,0,,,False,False,False,False,,,False,False,False,False,-31103.0,-708.574845261703,False,False,False,False,22813.64881918154,False,False,False,False
2024-12-06 18:00:00+00:00,75.515,75.67,75.51,75.62,25786.0,,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,0.6288382084174526,-49.42356497561733,False,False,False,True,True,,,,0,,,False,False,False,False,,,False,False,False,False,-5317.0,-780.0232972731494,False,False,False,False,22859.731783225237,False,False,False,False
2024-12-06 19:00:00+00:00,75.62,75.63,75.17,75.185,34258.0,,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,0.8186190644149247,-49.28453464697618,False,False,False,True,True,,,,0,,,False,False,False,False,,,False,False,False,False,-39575.0,-1381.4958042921703,False,False,False,False,23036.44911991942,False,False,False,False
2024-12-06 20:00:00+00:00,75.185,75.425,75.185,75.34,66487.0,,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,4.879202050173177,-45.59471161760102,False,False,False,True,True,,,,0,,,False,False,False,False,,,False,False,False,False,26912.0,-942.8369546132219,False,False,False,False,23710.101071548575,False,False,False,False
2024-12-09 15:00:00+00:00,76.21,76.625,76.05,76.22,20678.0,,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,19.068504435547762,-32.83215902105774,False,False,False,True,True,,,,0,,,False,False,False,False,,,False,False,False,False,47590.0,-190.38987004557498,False,False,False,False,23663.091752609835,False,False,False,False
2024-12-09 16:00:00+00:00,76.22,76.41,76.075,76.335,11844.0,,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,30.017502729525567,-23.733579508916343,False,False,False,True,True,,,,0,,,False,False,False,False,,,False,False,False,False,59434.0,734.0192752264495,False,False,False,False,23479.850020011232,False,False,False,False
2024-12-09 17:00:00+00:00,76.335,76.335,76.02,76.095,9807.0,,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,35.77628590174263,-19.63551124848037,False,False,False,True,True,,,,0,,,False,False,False,False,,,False,False,False,False,49627.0,1492.0499841376673,False,False,False,False,23267.867849158345,False,False,False,False
2024-12-09 18:00:00+00:00,76.095,76.125,75.95,76.0,9746.0,,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,39.14554644331611,-17.549968964379808,False,False,False,True,True,,,,0,,,False,False,False,False,,,False,False,False,False,39881.0,2087.22750376344,False,False,False,False,23058.226487155887,False,False,False,False
2024-12-09 19:00:00+00:00,76.0,76.11,75.885,75.93,9626.0,,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,41.00340281374582,-16.552418431183867,False,False,False,True,True,,,,0,,,False,False,False,False,,,False,False,False,False,30255.0,2523.937154867883,False,False,False,False,22849.97491371161,False,False,False,False
2024-12-09 20:00:00+00:00,75.93,75.945,75.44,75.525,22086.0,,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,39.66415075020974,-16.552418431183867,False,False,False,True,True,,,,0,,,False,False,False,False,,,False,False,False,False,8169.0,2611.4575090559774,False,False,False,False,22838.130341406002,False,False,False,False
