date,Close,High,Low,Open,Volume,aVWAP_peak_218,aVWAP_peak_185,aVWAP_peak_166,aVWAP_peak_114,aVWAP_peak_66,aVWAP_peak_52,aVWAP_peak_37,aVWAP_peak_27,aVWAP_valley_212,aVWAP_valley_200,aVWAP_valley_178,aVWAP_valley_152,aVWAP_valley_133,aVWAP_valley_119,aVWAP_valley_76,aVWAP_valley_43,aVWAP_valley_29,aVWAP_OB_bull_200,aVWAP_OB_bull_76,aVWAP_OB_bull_43,aVWAP_OB_bull_8,aVWAP_OB_bear_218,Peaks_Valleys_avg,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore
2024-07-24 00:00:00+00:00,4.8,6.5,4.6,6.0,103381,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,
2024-07-25 00:00:00+00:00,4.8,5.3213,4.5,5.28,31401,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,
2024-07-26 00:00:00+00:00,5.01,5.235,4.8,4.85,26999,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,
2024-07-29 00:00:00+00:00,5.06,5.14,4.8,5.14,20529,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,
2024-07-30 00:00:00+00:00,5.06,5.06,5.06,5.06,70,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,
2024-07-31 00:00:00+00:00,5.11,5.15,4.6923,5.15,7874,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,
2024-08-01 00:00:00+00:00,5.15,5.25,4.75,5.01,15728,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,
2024-08-02 00:00:00+00:00,5.12,5.14,4.82,4.87,3201,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,
2024-08-05 00:00:00+00:00,4.93,4.93,4.35,4.82,2413,,,,,,,,,,,,,,,,,,,,,4.736666666666666,,,,,#000000,,,
2024-08-06 00:00:00+00:00,4.925,5.15,4.925,5.14,737,,,,,,,,,,,,,,,,,,,,,4.798278306878307,,,,,#000000,,,
2024-08-07 00:00:00+00:00,5.0725,5.135,4.7601,5.0,2032,,,,,,,,,,,,,,,,,,,,,4.873143779750418,,,,,#000000,,,
2024-08-08 00:00:00+00:00,5.054,5.6,5.01,5.1,26439,,,,,,,,,,,,,,,,,,,,,5.164272574133223,,,,,#000000,,,
2024-08-09 00:00:00+00:00,5.7,6.27,5.205,5.7,49497,,,,,,,,,,,,,,,,,,,,,5.506420129523247,,,,,#000000,,,
2024-08-12 00:00:00+00:00,5.75,5.9,5.39,5.9,2047,,,,,,,,,,,,,,,,,,,,,5.510692575803123,,,,,#000000,,,
2024-08-13 00:00:00+00:00,5.01,5.6387,5.01,5.35,8491,,,,,,,,,,,,,,,,,,,,,5.483722709187979,,,,,#000000,,,
2024-08-14 00:00:00+00:00,4.852,5.2684,4.6801,5.01,6231,,,,,,,,,,,,,,,,,,,,,5.448698265687307,,,,,#000000,,,
2024-08-15 00:00:00+00:00,4.7,5.54,4.46,4.78,23660,,,,,,,,,,,,,,,,,,,,,5.341890191722818,,,,,#000000,,,
2024-08-16 00:00:00+00:00,5.33,5.6688,4.89,4.89,2859,,,,,,,,,,,,,,,,,,,,,5.340841708063385,,,,,#000000,,,
