date,Open,High,Low,Close,Volume,aVWAP_peak_581,aVWAP_peak_569,aVWAP_peak_543,aVWAP_peak_519,aVWAP_peak_463,aVWAP_peak_405,aVWAP_peak_375,aVWAP_peak_323,aVWAP_peak_305,aVWAP_peak_287,aVWAP_peak_265,aVWAP_peak_231,aVWAP_peak_205,aVWAP_peak_187,aVWAP_peak_152,aVWAP_peak_127,aVWAP_peak_87,aVWAP_valley_557,Peaks_avg,Valleys_avg,color,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2023-10-30 16:00:00+00:00,32.67,32.69,32.48,32.55,8482.0,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,8482.0,False,False,False,False
2023-10-31 16:00:00+00:00,32.46,32.59,32.41,32.55,2753.0,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,8393.178294573643,False,False,False,False
2023-11-01 16:00:00+00:00,32.67,32.73,32.535,32.71,2622.0,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,2622.0,40.651162790697676,False,False,False,False,8303.702662099633,False,False,False,False
2023-11-02 16:00:00+00:00,33.27,33.45,33.24,33.36,7423.0,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,10045.0,195.75734631332253,False,False,False,False,8290.04835726088,False,False,False,False
2023-11-03 16:00:00+00:00,32.91,32.95,32.75,32.79,3183.0,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,6862.0,299.1099455952865,False,False,False,False,8210.86931296226,False,False,False,False
2023-11-06 16:00:00+00:00,33.08,33.11,32.79,33.0,5416.0,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,12278.0,484.8291712449719,False,False,False,False,8167.538005784551,False,False,False,False
2023-11-06 20:00:00+00:00,33.0,33.0,32.84,32.845,866.0,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,11412.0,654.24267246598,False,False,False,False,8054.335866159984,False,False,False,False
2023-11-07 16:00:00+00:00,32.13,32.16,31.94,32.065,2873.0,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,8539.0,776.4869721176702,False,False,False,False,7974.005077537348,False,False,False,False
2023-11-07 20:00:00+00:00,32.065,32.09,32.02,32.09,863.0,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,9402.0,910.2158562708846,False,False,False,False,7863.756936800335,False,False,False,False
2023-11-08 16:00:00+00:00,31.64,31.72,31.51,31.53,1943.0,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,7459.0,1011.7473933829639,False,False,False,False,7771.962255609632,False,False,False,False
