date,Open,High,Low,Close,Volume,aVWAP_peak_216,aVWAP_peak_215,aVWAP_peak_214,aVWAP_peak_199,aVWAP_peak_198,aVWAP_peak_197,aVWAP_peak_196,aVWAP_peak_195,aVWAP_peak_181,aVWAP_peak_147,aVWAP_peak_132,aVWAP_peak_110,aVWAP_peak_109,aVWAP_valley_209,aVWAP_valley_208,aVWAP_valley_188,Peaks_avg,Valleys_avg,color
2025-07-09 13:30:00+00:00,38.13,38.13,38.13,38.13,0.0,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 13:35:00+00:00,38.13,38.13,38.13,38.13,0.0,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 13:40:00+00:00,38.13,38.13,38.13,38.13,0.0,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 13:45:00+00:00,38.13,38.13,38.13,38.13,0.0,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 13:50:00+00:00,38.13,38.13,38.13,38.13,100.0,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 13:55:00+00:00,38.13,38.13,38.13,38.13,1.0,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:00:00+00:00,38.13,38.13,38.13,38.13,0.0,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:05:00+00:00,38.13,38.13,38.13,38.13,0.0,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:10:00+00:00,38.13,38.13,38.13,38.13,0.0,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:15:00+00:00,37.81,37.95,37.81,37.95,77.0,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:20:00+00:00,37.95,37.95,37.95,37.95,2.0,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:25:00+00:00,37.95,37.955,37.95,37.955,69.0,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:30:00+00:00,37.955,37.955,37.955,37.955,0.0,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:35:00+00:00,37.955,37.955,37.95,37.95,26.0,,,,,,,,,,,,,,,,,,,#000000
