date,Open,High,Low,Close,Volume,aVWAP_peak_210,aVWAP_peak_190,aVWAP_peak_152,aVWAP_peak_127,aVWAP_peak_110,aVWAP_peak_87,aVWAP_peak_57,aVWAP_peak_31,aVWAP_peak_30,aVWAP_valley_224,Peaks_avg,Valleys_avg,color
2025-07-09 13:30:00+00:00,5.13,5.13,5.13,5.13,200.0,,,,,,,,,,,,,#000000
2025-07-09 13:35:00+00:00,5.13,5.13,5.13,5.13,0.0,,,,,,,,,,,,,#000000
2025-07-09 13:40:00+00:00,5.13,5.13,5.13,5.13,0.0,,,,,,,,,,,,,#000000
2025-07-09 13:45:00+00:00,5.13,5.185,5.13,5.18,658.0,,,,,,,,,,,,,#000000
2025-07-09 13:50:00+00:00,5.18,5.18,5.18,5.18,0.0,,,,,,,,,,,,,#000000
2025-07-09 13:55:00+00:00,5.18,5.18,5.16,5.16,433.0,,,,,,,,,,,,,#000000
2025-07-09 14:00:00+00:00,5.16,5.185,5.15,5.165,2.0,,,,,,,,,,,,,#000000
2025-07-09 14:05:00+00:00,5.16,5.16,5.155,5.155,1.0,,,,,,,,,,,,,#000000
2025-07-09 14:10:00+00:00,5.155,5.155,5.155,5.155,0.0,,,,,,,,,,,,,#000000
2025-07-09 14:15:00+00:00,5.155,5.155,5.15,5.15,0.0,,,,,,,,,,,,,#000000
2025-07-09 14:20:00+00:00,5.15,5.15,5.1,5.12,337.0,,,,,,,,,,,,,#000000
2025-07-09 14:25:00+00:00,5.115,5.125,5.095,5.105,14.0,,,,,,,,,,,,,#000000
2025-07-09 14:30:00+00:00,5.11,5.11,5.095,5.105,8.0,,,,,,,,,,,,,#000000
2025-07-09 14:35:00+00:00,5.105,5.13,5.105,5.12,155.0,,,,,,,,,,,,,#000000
2025-07-09 14:40:00+00:00,5.125,5.13,5.12,5.125,101.0,,,,,,,,,,,,,#000000
2025-07-09 14:45:00+00:00,5.13,5.13,5.125,5.13,0.0,,,,,,,,,,,,,#000000
2025-07-09 14:50:00+00:00,5.125,5.14,5.085,5.085,100.0,,,,,,,,,,,,,#000000
2025-07-09 14:55:00+00:00,5.08,5.09,5.08,5.085,0.0,,,,,,,,,,,,,#000000
2025-07-09 15:00:00+00:00,5.1,5.1,5.075,5.09,118.0,,,,,,,,,,,,,#000000
2025-07-09 15:05:00+00:00,5.085,5.09,5.08,5.085,73.0,,,,,,,,,,,,,#000000
2025-07-09 15:10:00+00:00,5.08,5.11,5.07,5.105,5.0,,,,,,,,,,,,,#000000
2025-07-09 15:15:00+00:00,5.105,5.11,5.085,5.09,137.0,,,,,,,,,,,,,#000000
2025-07-09 15:20:00+00:00,5.09,5.09,5.09,5.09,0.0,,,,,,,,,,,,,#000000
2025-07-09 15:25:00+00:00,5.1,5.11,5.09,5.11,340.0,,,,,,,,,,,,,#000000
2025-07-09 15:30:00+00:00,5.11,5.11,5.1,5.1,0.0,,,,,,,,,,,,,#000000
2025-07-09 15:35:00+00:00,5.105,5.105,5.095,5.095,0.0,,,,,,,,,,,,,#000000
2025-07-09 15:40:00+00:00,5.1,5.1,5.08,5.08,0.0,,,,,,,,,,,,,#000000
2025-07-09 15:45:00+00:00,5.085,5.095,5.085,5.09,338.0,,,,,,,,,,,,,#000000
2025-07-09 15:50:00+00:00,5.09,5.09,5.08,5.08,500.0,,,,,,,,,,,,,#000000
2025-07-09 15:55:00+00:00,5.08,5.09,5.075,5.09,300.0,,,,,,,,,,,,,#000000
2025-07-09 16:00:00+00:00,5.09,5.11,5.09,5.11,26.0,,,,,,,,,5.103333333333333,,5.103333333333333,,#000000
2025-07-09 16:05:00+00:00,5.11,5.11,5.08,5.085,312.0,,,,,,,,5.091666666666668,5.092564102564104,,5.092115384615386,,#000000
