date,Close,High,Low,Open,Volume,aVWAP_BoS_CHoCH_bull_32,aVWAP_BoS_CHoCH_bull_87,aVWAP_BoS_CHoCH_bear_21,aVWAP_BoS_CHoCH_bear_78,aVWAP_BoS_CHoCH_bear_96,aVWAP_BoS_CHoCH_bear_126,aVWAP_BoS_CHoCH_bear_140,Peaks_Valleys_avg,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index
2021-12-31 00:00:00+00:00,34.75,36.84,34.35,36.0,3556376,,,,,,,,,0,,,0.0,0.0,0.0,0.0
2022-01-07 00:00:00+00:00,31.91,35.84,30.34,34.96,7014840,,,,,,,,,0,,,0.0,0.0,0.0,0.0
2022-01-14 00:00:00+00:00,31.0,34.75,29.81,30.74,5481019,,,,,,,,,0,,,0.0,0.0,0.0,0.0
2022-01-21 00:00:00+00:00,30.12,32.21,29.0,30.07,6839762,,,,,,,,,0,,,0.0,0.0,0.0,0.0
2022-01-28 00:00:00+00:00,32.15,32.8,28.76,29.37,10535596,,,,,,,,,0,,,0.0,0.0,0.0,0.0
2022-02-04 00:00:00+00:00,31.75,33.98,30.19,32.33,7930721,,,,,,,,,0,,,0.0,0.0,0.0,0.0
2022-02-11 00:00:00+00:00,33.65,35.42,31.65,31.65,5755632,,,,,,,,,0,,,0.0,0.0,0.0,0.0
2022-02-18 00:00:00+00:00,31.75,35.61,31.7,33.4,5527150,,,,,,,,,0,,,0.0,0.0,0.0,0.0
2022-02-25 00:00:00+00:00,32.88,33.22,28.76,31.2,4305826,,,,,,,,,0,,,0.0,0.0,0.0,0.0
2022-03-04 00:00:00+00:00,29.66,34.51,29.21,33.19,5123931,,,,,,,,,0,,,0.0,0.0,0.0,0.0
2022-03-11 00:00:00+00:00,26.59,30.7,26.53,29.71,6026212,,,,,,,,,0,,,0.0,0.0,0.0,0.0
2022-03-18 00:00:00+00:00,34.92,35.23,24.02,26.06,16812324,,,,,,,,,0,,,0.0,0.0,0.0,0.0
2022-03-25 00:00:00+00:00,35.53,37.25,34.2254,34.45,6751062,,,,,,,,,0,,,0.0,0.0,0.0,0.0
2022-04-01 00:00:00+00:00,34.22,38.75,33.71,35.37,6805367,,,,,,,,35.56,0,,,0.0,0.0,0.0,0.0
2022-04-08 00:00:00+00:00,31.37,36.93,30.93,34.59,5148001,,,,,,,,34.490493691540884,0,,,0.0,0.0,0.0,0.0
2022-04-15 00:00:00+00:00,32.62,34.73,30.07,30.84,3064753,,,,,,,,34.078851099282,0,,,0.0,0.0,0.0,0.0
2022-04-22 00:00:00+00:00,29.43,33.86,28.955,32.33,4339017,,,,,,,,33.332295838620354,0,,,0.0,0.0,0.0,0.0
