date,Close,High,Low,Open,Volume,aVWAP_peak_138,aVWAP_peak_114,aVWAP_valley_171,aVWAP_valley_131,aVWAP_valley_109,aVWAP_valley_85,aVWAP_valley_54,aVWAP_valley_21,Peaks_avg,Valleys_avg,color,banker_RSI,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,0.59,0.6055,0.5,0.58,645314,,,,,,,,,,,#000000,,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,645314.0,False,False,False,False
2022-01-07 00:00:00+00:00,0.63,0.699,0.46,0.59,671035,,,,,,,,,,,#000000,,,,False,False,False,False,,,False,False,False,False,671035,49706.29629629629,False,False,False,False,647219.2592592592,False,False,False,False
2022-01-14 00:00:00+00:00,0.57,0.627,0.521,0.6,573738,,,,,,,,,,,#000000,,,,False,False,False,False,,,False,False,False,False,97297,53231.53360768175,False,False,False,False,641776.2030178326,False,False,False,False
2022-01-21 00:00:00+00:00,0.533,0.6,0.483,0.6,549145,,,,,,,,,,,#000000,,,,False,False,False,False,,,False,False,False,False,-451848,15818.234821927545,False,False,False,False,634914.632423919,False,False,False,False
2022-01-28 00:00:00+00:00,0.427,0.535,0.25,0.535,952528,,,,,,,,,,,#000000,,,,False,False,False,False,,,False,False,False,False,-1404376,-89381.33812784485,False,False,False,False,658441.5485406658,False,False,False,False
2022-02-04 00:00:00+00:00,0.546,0.6,0.41,0.44225,325825,,,,,,,,,,,#000000,,,,False,False,False,False,,,False,False,False,False,-1078551,-162653.16493318966,False,False,False,False,633803.2856858016,False,False,False,False
2022-02-11 00:00:00+00:00,0.54,0.5706,0.51,0.5452,246371,,,,,,,,,,,#000000,,,,False,False,False,False,,,False,False,False,False,-1324922,-248747.15271591634,False,False,False,False,605104.5978572237,False,False,False,False
2022-02-18 00:00:00+00:00,0.5,0.539,0.4775,0.5195,488053,,,,,,,,,,,#000000,,,,False,False,False,False,,,False,False,False,False,-1812975,-364615.882144367,False,False,False,False,596434.109127059,False,False,False,False
2022-02-25 00:00:00+00:00,0.46,0.5,0.42,0.5,569438,,,,,,,,,,,#000000,,,,False,False,False,False,,,False,False,False,False,-2382413,-514082.33531885827,False,False,False,False,594434.3973398694,False,False,False,False
2022-03-04 00:00:00+00:00,0.429,0.4995,0.4102,0.44,359947,,,,,,,,,,,#000000,,,,False,False,False,False,-0.11038749128631532,-0.11038749128631532,False,False,False,False,-2742360,-679139.940110054,False,False,False,False,577064.9604998791,False,False,False,False
