date,Open,High,Low,Close,Volume,aVWAP_peak_99,aVWAP_peak_67,aVWAP_peak_37,aVWAP_peak_18,aVWAP_valley_71,Peaks_avg,Valleys_avg,color,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2024-12-31 17:00:00+00:00,39.96,40.47,39.87,40.01,12852.0,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,12852.0,False,False,False,False
2025-01-01 17:00:00+00:00,40.01,40.01,40.01,40.01,0.0,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,12652.744186046511,False,False,False,False
2025-01-02 17:00:00+00:00,40.275,40.51,39.38,39.83,7617.0,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-7617.0,-118.09302325581395,False,False,False,False,12574.670632774472,False,False,False,False
2025-01-03 17:00:00+00:00,39.83,39.83,39.83,39.83,0.0,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-7617.0,-234.35514692626643,False,False,False,False,12379.714498933008,False,False,False,False
2025-01-06 17:00:00+00:00,39.59,39.91,39.42,39.595,11077.0,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-18694.0,-520.5511911599676,False,False,False,False,12359.517374918541,False,False,False,False
2025-01-07 17:00:00+00:00,39.595,39.595,39.595,39.595,0.0,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-18694.0,-802.3100874210534,False,False,False,False,12167.8969505012,False,False,False,False
2025-01-08 17:00:00+00:00,41.32,41.46,40.37,40.465,29356.0,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,10662.0,-624.5688457556107,False,False,False,False,12434.379168322886,False,False,False,False
2025-01-09 17:00:00+00:00,40.465,40.465,40.465,40.465,0.0,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,10662.0,-449.58328225552367,False,False,False,False,12241.598095945787,False,False,False,False
2025-01-10 17:00:00+00:00,37.84,38.35,37.72,38.01,7496.0,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,3166.0,-393.52772749187216,False,False,False,False,12168.022931667558,False,False,False,False
2025-01-13 17:00:00+00:00,38.01,38.01,38.01,38.01,0.0,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,3166.0,-338.34125109664933,False,False,False,False,11979.37141334713,False,False,False,False
