date,Close,High,Low,Open,Volume,aVWAP_peak_163,aVWAP_peak_152,aVWAP_valley_171,aVWAP_valley_156,aVWAP_valley_136,aVWAP_valley_102,aVWAP_valley_73,aVWAP_valley_51,aVWAP_valley_39,Peaks_avg,Valleys_avg,color
2021-12-31 00:00:00+00:00,21.3335786151,21.6233675375,20.5494438837,20.7966167882,18307226,,,,,,,,,,,,#000000
2022-01-07 00:00:00+00:00,22.6376287661,23.2001602038,21.3932410403,21.4529034655,35753573,,,,,,,,,,,,#000000
2022-01-14 00:00:00+00:00,24.0610037676,24.4956871513,22.3393166401,22.6461519697,39276727,,,,,,,,,,,,#000000
2022-01-21 00:00:00+00:00,23.0723121498,24.930370535,22.982818512,24.930370535,37282517,,,,,,,,,,,,#000000
2022-01-28 00:00:00+00:00,24.1206661928,24.6789360287,21.5381355015,22.3393166401,50088677,,,,,,,,,,,,#000000
2022-02-04 00:00:00+00:00,24.4786407441,26.0042941888,23.9075861028,24.1547590072,55049630,,,,,,,,,,,,#000000
2022-02-11 00:00:00+00:00,25.6633660447,25.7869524969,23.9842949352,24.4701175405,31046319,,,,,,,,,,,,#000000
2022-02-18 00:00:00+00:00,24.7769528701,25.7826908951,24.3763623009,25.4758555655,39264561,,,,,,,,,,,,#000000
2022-02-25 00:00:00+00:00,25.3991467331,25.5184715835,24.073788573,25.4332395475,36157272,,,,,,,,,,,,#000000
2022-03-04 00:00:00+00:00,27.1103393563,27.1189540176,25.271298679,25.4076699367,57027773,,,,,,,,,,,,#000000
2022-03-11 00:00:00+00:00,27.3601645362,28.9538768911,26.6106889964,27.4376964886,58075297,,,,,,,,,,,,#000000
2022-03-18 00:00:00+00:00,26.808826208,27.0500367266,25.1503315996,26.8260555308,43062753,,,,,,,,,,,,#000000
2022-03-25 00:00:00+00:00,29.3329219918,29.3673806373,27.2137152928,27.2567885997,34297076,,,,,,,,,,,,#000000
2022-04-01 00:00:00+00:00,28.2302453354,28.7126663726,27.1103393563,28.5317584836,33782166,,,,,,,,,,,,#000000
2022-04-08 00:00:00+00:00,28.2733186423,29.4664492431,27.2912472452,28.5662171291,30936563,,,,,,,,,,,,#000000
2022-04-15 00:00:00+00:00,29.0830968118,29.2898486849,27.3300132214,27.8425855734,20806247,,,,,,,,,,,,#000000
2022-04-22 00:00:00+00:00,27.8253562506,30.2245394444,27.7047509913,29.2381607166,26758978,,,,,,,,,,,,#000000
2022-04-29 00:00:00+00:00,30.9610929922,32.3825121195,26.1110386364,26.8260555308,49637860,,,,,,,,,,,,#000000
2022-05-06 00:00:00+00:00,31.9173204051,32.6754106064,30.2977640661,30.5562039074,40217054,,,,,,,,,,,,#000000
