date,Open,High,Low,Close,Volume,aVWAP_peak_207,aVWAP_peak_174,aVWAP_peak_161,aVWAP_peak_160,aVWAP_peak_159,aVWAP_peak_158,aVWAP_peak_157,aVWAP_peak_156,aVWAP_peak_132,aVWAP_peak_131,aVWAP_peak_130,aVWAP_peak_129,aVWAP_peak_108,aVWAP_peak_107,aVWAP_peak_78,aVWAP_peak_77,aVWAP_peak_32,aVWAP_valley_218,aVWAP_valley_217,aVWAP_valley_193,aVWAP_valley_169,aVWAP_valley_168,aVWAP_valley_167,aVWAP_valley_138,aVWAP_valley_118,aVWAP_valley_89,Peaks_avg,Valleys_avg,color
2025-07-09 13:30:00+00:00,64.815,65.28,64.815,65.28,210.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 13:35:00+00:00,65.28,65.28,65.28,65.28,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 13:40:00+00:00,65.28,65.28,65.28,65.28,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 13:45:00+00:00,65.28,65.28,65.28,65.28,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 13:50:00+00:00,65.28,65.28,65.28,65.28,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 13:55:00+00:00,65.28,65.28,64.66,64.66,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:00:00+00:00,64.66,64.66,64.66,64.66,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:05:00+00:00,64.66,65.01,64.66,65.01,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:10:00+00:00,65.01,65.01,65.01,65.01,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:15:00+00:00,65.01,65.01,65.01,65.01,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:20:00+00:00,65.01,65.01,65.01,65.01,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:25:00+00:00,65.01,65.01,64.84,64.84,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:30:00+00:00,64.84,64.84,64.84,64.84,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:35:00+00:00,65.125,65.125,64.9,64.9,104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:40:00+00:00,64.69,64.785,64.69,64.785,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:45:00+00:00,64.73,64.845,64.73,64.845,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:50:00+00:00,64.845,65.05,64.845,65.05,255.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:55:00+00:00,65.05,65.06,65.05,65.06,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 15:00:00+00:00,65.06,65.35,65.06,65.35,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 15:05:00+00:00,65.35,65.35,65.34,65.34,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 15:10:00+00:00,65.4,65.4,65.22,65.22,144.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 15:15:00+00:00,65.22,65.22,65.22,65.22,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 15:20:00+00:00,65.22,65.335,65.22,65.27,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 15:25:00+00:00,65.27,65.27,65.27,65.27,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 15:30:00+00:00,65.27,65.355,65.27,65.355,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 15:35:00+00:00,65.355,65.355,65.245,65.245,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 15:40:00+00:00,65.245,65.3,65.245,65.3,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 15:45:00+00:00,65.3,65.31,65.285,65.285,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 15:50:00+00:00,65.285,65.285,65.275,65.275,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 15:55:00+00:00,65.275,65.365,65.275,65.365,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 16:00:00+00:00,65.365,65.405,65.365,65.405,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 16:05:00+00:00,65.405,65.405,65.405,65.405,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 16:10:00+00:00,65.43,65.44,65.31,65.31,172.0,,,,,,,,,,,,,,,,,65.35333333333332,,,,,,,,,,65.35333333333332,,#000000
2025-07-09 16:15:00+00:00,65.31,65.31,65.29,65.29,10.0,,,,,,,,,,,,,,,,,65.35021978021977,,,,,,,,,,65.35021978021977,,#000000
