date,Open,High,Low,Close,Volume,aVWAP_peak_865,aVWAP_peak_842,aVWAP_valley_876,aVWAP_valley_859,aVWAP_valley_795,aVWAP_valley_772,aVWAP_valley_737,aVWAP_valley_719,aVWAP_valley_689,aVWAP_valley_653,aVWAP_valley_641,aVWAP_valley_608,aVWAP_valley_588,aVWAP_valley_539,aVWAP_valley_524,aVWAP_valley_475,aVWAP_valley_474,aVWAP_valley_463,aVWAP_valley_397,aVWAP_valley_351,aVWAP_valley_319,aVWAP_valley_302,aVWAP_valley_287,aVWAP_valley_266,aVWAP_valley_238,aVWAP_valley_192,aVWAP_valley_169,aVWAP_valley_148,aVWAP_valley_96,aVWAP_valley_84,aVWAP_valley_63,aVWAP_valley_42,Peaks_avg,Valleys_avg,color,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2024-12-19 15:00:00+00:00,52.275,52.275,51.95,51.96,7665.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,7665.0,False,False,False,False
2024-12-19 16:00:00+00:00,51.96,52.1,51.815,51.89,6820.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-6820.0,-105.73643410852713,False,False,False,False,7651.899224806201,False,False,False,False
2024-12-19 17:00:00+00:00,51.89,51.94,51.71,51.755,3919.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-10739.0,-270.5932335797128,False,False,False,False,7594.0248182200585,False,False,False,False
2024-12-19 18:00:00+00:00,51.75,51.93,51.665,51.905,9618.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-1121.0,-283.77783460948467,False,False,False,False,7625.404278402692,False,False,False,False
2024-12-19 19:00:00+00:00,51.9,51.915,51.59,51.595,6456.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-7577.0,-396.8510464760043,False,False,False,False,7607.273979512728,False,False,False,False
2024-12-19 20:00:00+00:00,51.595,51.815,51.56,51.575,13955.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,1.0,51.815,51.56,0.0,,,False,False,False,False,,,False,False,False,False,-21532.0,-724.5277744376166,False,False,False,False,7705.688336419507,False,False,False,False
2024-12-20 15:00:00+00:00,51.88,52.45,51.84,52.345,10445.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-11087.0,-885.1862585548629,False,False,False,False,7748.158284692073,False,False,False,False
2024-12-20 16:00:00+00:00,52.345,52.49,52.345,52.43,5429.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-5658.0,-959.18337082533,False,False,False,False,7712.202342293746,False,False,False,False
2024-12-20 17:00:00+00:00,52.43,52.7,52.4,52.56,4379.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-1279.0,-964.1417681768753,False,False,False,False,7660.524786599269,False,False,False,False
2024-12-20 18:00:00+00:00,52.56,52.575,52.315,52.41,4637.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-5916.0,-1040.9147640190943,False,False,False,False,7613.648433318659,False,False,False,False
