date,Open,High,Low,Close,Volume,aVWAP_peak_601,aVWAP_peak_581,aVWAP_peak_534,aVWAP_peak_513,aVWAP_peak_482,aVWAP_peak_468,aVWAP_peak_385,aVWAP_valley_609,aVWAP_valley_589,aVWAP_valley_556,aVWAP_valley_527,aVWAP_valley_493,aVWAP_valley_477,aVWAP_valley_454,aVWAP_valley_453,aVWAP_valley_379,aVWAP_valley_354,aVWAP_valley_314,aVWAP_valley_295,aVWAP_valley_264,aVWAP_valley_218,Peaks_avg,Valleys_avg,color,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2023-10-30 16:00:00+00:00,29.955,29.955,29.025,29.47,1069.0,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,1069.0,False,False,False,False
2023-10-31 16:00:00+00:00,29.335,29.69,29.13,29.5,2015.0,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,2015.0,31.24031007751938,False,False,False,False,1083.6666666666665,False,False,False,False
2023-11-01 16:00:00+00:00,29.615,29.865,29.38,29.74,1428.0,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,3443.0,84.13580914608497,False,False,False,False,1089.005167958656,False,False,False,False
2023-11-02 16:00:00+00:00,30.16,30.24,29.87,30.24,825.0,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,4268.0,149.0019206321922,False,False,False,False,1084.9120645794521,False,False,False,False
2023-11-03 16:00:00+00:00,30.9,31.4,30.9,30.94,1497.0,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,5765.0,236.07165829680937,False,False,False,False,1091.3010248185303,False,False,False,False
2023-11-06 16:00:00+00:00,30.725,30.745,30.42,30.48,826.0,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,4939.0,308.985275997634,False,False,False,False,1087.1878306352974,False,False,False,False
2023-11-06 20:00:00+00:00,30.48,30.68,30.48,30.68,266.0,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,5205.0,384.8924810209265,False,False,False,False,1074.4562363618818,False,False,False,False
2023-11-07 16:00:00+00:00,30.49,30.545,30.04,30.1,1169.0,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,4036.0,441.49879914463304,False,False,False,False,1075.922031146969,False,False,False,False
2023-11-07 20:00:00+00:00,30.1,30.2,30.02,30.2,755.0,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,4791.0,508.9329262896775,False,False,False,False,1070.9464957803493,False,False,False,False
2023-11-08 16:00:00+00:00,30.035,30.065,29.83,29.93,539.0,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,4252.0,566.9649739441011,False,False,False,False,1062.6992632876306,False,False,False,False
