date,Close,High,Low,Open,Volume,aVWAP_peak_859,aVWAP_peak_846,aVWAP_peak_807,aVWAP_peak_783,aVWAP_peak_736,aVWAP_peak_702,aVWAP_peak_664,aVWAP_peak_635,aVWAP_peak_613,aVWAP_peak_595,aVWAP_peak_561,aVWAP_peak_499,aVWAP_peak_418,aVWAP_peak_386,aVWAP_peak_332,aVWAP_peak_272,aVWAP_peak_238,aVWAP_peak_219,aVWAP_peak_154,aVWAP_peak_108,aVWAP_peak_59,aVWAP_peak_26,aVWAP_valley_817,aVWAP_valley_800,aVWAP_valley_759,aVWAP_valley_672,aVWAP_valley_649,aVWAP_valley_626,aVWAP_valley_607,aVWAP_valley_576,aVWAP_valley_551,aVWAP_valley_535,aVWAP_valley_512,aVWAP_valley_457,aVWAP_valley_440,aVWAP_valley_408,aVWAP_valley_350,aVWAP_valley_336,aVWAP_valley_300,aVWAP_valley_265,aVWAP_valley_248,aVWAP_valley_196,aVWAP_valley_183,aVWAP_valley_114,aVWAP_valley_90,aVWAP_valley_48,aVWAP_valley_36,aVWAP_valley_14,aVWAP_OB_bull_864,aVWAP_OB_bull_817,aVWAP_OB_bull_649,aVWAP_OB_bull_576,aVWAP_OB_bull_512,aVWAP_OB_bull_457,aVWAP_OB_bull_336,aVWAP_OB_bull_196,aVWAP_OB_bear_807,aVWAP_OB_bear_418,Peaks_Valleys_avg,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore
2022-01-03 00:00:00+00:00,46.9186562939,47.0374627669,46.5028336384,46.9087557545,4039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,
2022-01-04 00:00:00+00:00,46.4235303177,46.9285568333,46.0771104435,46.9285568333,2263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,
2022-01-05 00:00:00+00:00,44.9128070081,46.1662152982,44.9128070081,46.1662152982,4046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,
2022-01-06 00:00:00+00:00,44.9335981409,45.1928932682,44.4534219792,44.4534219792,2796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,
2022-01-07 00:00:00+00:00,44.8936989671,45.4929786179,44.8936989671,45.4929786179,1434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,
2022-01-10 00:00:00+00:00,44.701529497,44.701529497,43.710881523,44.5524273734,3279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,
2022-01-11 00:00:00+00:00,45.3618954761,45.427437047,44.4336209004,44.4336209004,2315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,
2022-01-12 00:00:00+00:00,45.0273562492,45.7008899457,45.0177527259,45.5805983918,1413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,
2022-01-13 00:00:00+00:00,44.2037303751,45.1415094686,44.2037303751,45.1415094686,1322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,
2022-01-14 00:00:00+00:00,44.3037258232,44.3742176639,43.7009809836,43.7009809836,1432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,
2022-01-18 00:00:00+00:00,43.1963504895,43.7506816914,43.1963504895,43.5623734317,2139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,
2022-01-19 00:00:00+00:00,42.8108234847,43.4633680376,42.8108234847,43.1069486186,2048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,
2022-01-20 00:00:00+00:00,42.4634135565,43.8098869172,42.3446070835,42.9485399879,4954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,
2022-01-21 00:00:00+00:00,41.2753488266,41.8020575235,41.2357466689,41.8000774156,3418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,
