date,Open,High,Low,Close,Volume,aVWAP_peak_859,aVWAP_peak_811,aVWAP_peak_777,aVWAP_peak_762,aVWAP_peak_729,aVWAP_peak_708,aVWAP_peak_670,aVWAP_peak_646,aVWAP_peak_643,aVWAP_peak_598,aVWAP_peak_581,aVWAP_peak_553,aVWAP_peak_510,aVWAP_peak_497,aVWAP_peak_467,aVWAP_peak_438,aVWAP_peak_388,aVWAP_peak_374,aVWAP_peak_331,aVWAP_peak_282,aVWAP_peak_258,aVWAP_peak_221,aVWAP_peak_206,aVWAP_peak_148,aVWAP_peak_90,aVWAP_peak_39,aVWAP_peak_13,aVWAP_valley_870,aVWAP_valley_846,aVWAP_valley_822,aVWAP_valley_804,aVWAP_valley_790,aVWAP_valley_774,aVWAP_valley_743,aVWAP_valley_721,aVWAP_valley_677,aVWAP_valley_661,aVWAP_valley_616,aVWAP_valley_606,aVWAP_valley_582,aVWAP_valley_543,aVWAP_valley_527,aVWAP_valley_491,Peaks_avg,Valleys_avg,color,OB,OB_High,OB_Low,OB_Mitigated_Index
2024-12-16 15:00:00+00:00,437.93,451.21,437.93,451.0,170261.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-16 16:00:00+00:00,450.86,458.89,450.44,456.42,125063.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-16 17:00:00+00:00,456.47,461.42,455.85,461.03,80961.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-16 18:00:00+00:00,460.985,461.15,455.8,459.7,81934.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-16 19:00:00+00:00,459.62,460.48,456.79,458.85,68339.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-16 20:00:00+00:00,458.9,463.11,457.69,463.11,320688.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-17 15:00:00+00:00,482.085,483.07,467.6,478.21,285474.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-17 16:00:00+00:00,477.925,478.8,460.04,463.04,201309.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-17 17:00:00+00:00,462.64,473.96,457.66,473.725,131406.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-17 18:00:00+00:00,473.515,476.235,470.03,470.835,86620.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-17 19:00:00+00:00,470.84,478.88,469.0,478.19,85027.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-17 20:00:00+00:00,478.16,482.44,475.705,479.86,199774.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-18 15:00:00+00:00,469.8,478.0,469.59,475.975,100100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-18 16:00:00+00:00,475.81,488.45,473.43,484.96,98540.0,,,,,,,,,,,,,,,,,,,,,,,,,,,482.28,,,,,,,,,,,,,,,,,482.28,,#000000,-1.0,488.45,473.43,0.0
