date,Close,High,Low,Open,Volume,aVWAP_OB_bull_819,aVWAP_OB_bull_719,aVWAP_OB_bear_592,aVWAP_OB_bear_378,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_50,SMA_200,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2022-01-03 00:00:00+00:00,3.7605,3.7605,3.475,3.5,8847,,,,,,#000000,,,,,,False,False,False,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,8847.0,False,False,False,False
2022-01-04 00:00:00+00:00,3.678,3.707,3.597,3.6,7599,,,,,,#000000,,,,0.0,,False,False,False,True,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-7599,-298.0,False,False,False,False,8798.058823529413,False,False,False,False
2022-01-05 00:00:00+00:00,3.63,3.75,3.63,3.716735,6751,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-14350,-849.0588235294117,False,False,False,False,8717.782006920415,False,False,False,False
2022-01-06 00:00:00+00:00,3.6345,3.65,3.5,3.5,13409,,,,,,#000000,,,,0.6597282504409091,-49.36006359707232,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-941,-852.6643598615916,False,False,False,False,8901.75133998236,False,False,False,False
2022-01-07 00:00:00+00:00,3.6585,3.75,3.55,3.6345,7725,,,,,,#000000,,,,4.171644949798997,-45.96933787670555,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,6784,-553.1873261415292,False,False,False,False,8855.604228610502,False,False,False,False
2022-01-10 00:00:00+00:00,3.4795,3.594,3.423,3.551,9698,,,,,,#000000,,,,4.968311985122081,-45.29332571716009,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2914,-645.7682153124496,False,False,False,False,8888.639356900287,False,False,False,False
2022-01-11 00:00:00+00:00,3.5,3.55,3.4,3.55,10546,,,,,,#000000,,,,6.695126626134536,-43.71342958773506,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,7632,-321.1498539276476,False,False,False,False,8953.633891923806,False,False,False,False
2022-01-12 00:00:00+00:00,3.5695,3.72,3.31,3.72,9637,,,,,,#000000,,,,11.030114848557247,-39.623409444232145,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,17269,368.6599442655935,False,False,False,False,8980.432562828755,False,False,False,False
2022-01-13 00:00:00+00:00,3.451,3.6208,3.45,3.598,12555,,,,,,#000000,,,,13.173793061323224,-37.73593047884629,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,4714,539.065436647335,False,False,False,False,9120.611678011941,False,False,False,False
2022-01-14 00:00:00+00:00,3.3525,3.45085,3.3005,3.45085,7395,,,,,,#000000,,,,14.174686518585318,-36.963487980278266,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2681,412.78836070038074,False,False,False,False,9052.940631815394,False,False,False,False
2022-01-18 00:00:00+00:00,3.3,3.35,3.2,3.2,10190,,,,,,#000000,,,,14.678958874287982,-36.64800732680024,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-12871,-108.14451618983026,False,False,False,False,9097.531195273614,False,False,False,False
2022-01-19 00:00:00+00:00,3.4,3.45,3.35,3.35,6394,,,,,,#000000,,,,17.462666164282084,-34.08746287229704,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-6477,-357.9035547706212,False,False,False,False,8991.510364086413,False,False,False,False
2022-01-20 00:00:00+00:00,3.326,3.605,3.326,3.605,16395,,,,,,#000000,,,,19.144529686531463,-32.62131586209698,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-22872,-1240.809297720793,False,False,False,False,9281.843290984983,False,False,False,False
2022-01-21 00:00:00+00:00,3.221,3.33615,3.19445,3.33615,6293,,,,,,#000000,,,,19.837608395705246,-32.10610143347207,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-29165,-2335.8755997709577,False,False,False,False,9164.633750162042,False,False,False,False
2022-01-24 00:00:00+00:00,3.0905,3.1,2.9,3.1,25140,,,,,,#000000,,,,19.754585004082323,-32.10610143347207,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-54305,-4373.880478211313,False,False,False,False,9791.11870113608,False,False,False,False
2022-01-25 00:00:00+00:00,3.02,3.0915,3.005,3.06815,1597,,,,,,#000000,,,,19.3992161675489,-32.10610143347207,False,False,False,True,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-55902,-6394.591047693222,False,False,False,False,9469.780712856233,False,False,False,False
2022-01-26 00:00:00+00:00,3.11,3.1595,3.05,3.1055,6630,,,,,,#000000,,,,20.588547488216957,-31.664518842340893,False,False,False,True,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-49272,-8076.058065430743,False,False,False,False,9358.41676333246,False,False,False,False
2022-01-27 00:00:00+00:00,3.1,3.1,3.05,3.079,3714,,,,,,#000000,,,,21.507484283336595,-30.822960528893283,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-52986,-9837.232258943262,False,False,False,False,9137.06708633903,False,False,False,False
2022-01-28 00:00:00+00:00,2.95,3.0785,2.8725,3.0785,12194,,,,,,#000000,,,,21.54215138718849,-30.822960528893283,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-65180,-12007.536876239605,False,False,False,False,9256.946808443381,False,False,False,False
2022-01-31 00:00:00+00:00,2.9385,3.0,2.8155,3.0,7896,,,,,2.918,#000000,,2.918,,21.52200796937178,-30.822960528893283,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-73076,-14402.378567367465,False,False,False,False,9203.57634536717,False,False,False,False
2022-02-01 00:00:00+00:00,3.0795,3.0795,2.9117,2.9144,6900,,,,,2.9672301973506356,#000000,,2.9672301973506356,,23.466650756273438,-28.95617011779182,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-66176,-16432.71666276482,False,False,False,False,9113.24001809787,False,False,False,False
2022-02-02 00:00:00+00:00,3.1235,3.1545,3.0305,3.07525,430,,,,,2.97105978808179,#000000,,2.97105978808179,,25.59090958358708,-26.905701681524512,True,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-65746,-18366.570911283845,False,False,False,False,8772.720801701875,False,False,False,False
