date,Close,High,Low,Open,Volume,aVWAP_BoS_CHoCH_bull_238,aVWAP_BoS_CHoCH_bull_301,aVWAP_BoS_CHoCH_bull_392,aVWAP_BoS_CHoCH_bull_593,aVWAP_BoS_CHoCH_bull_646,aVWAP_BoS_CHoCH_bear_112,aVWAP_BoS_CHoCH_bear_377,aVWAP_BoS_CHoCH_bear_527,aVWAP_BoS_CHoCH_bear_577,aVWAP_BoS_CHoCH_bear_696,aVWAP_BoS_CHoCH_bear_793,Peaks_Valleys_avg,color,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index
2022-01-03 00:00:00+00:00,35.28,35.29,32.74,34.3,984634,,,,,,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-04 00:00:00+00:00,32.77,35.34,32.32,35.23,1256575,,,,,,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-05 00:00:00+00:00,29.82,32.62,29.68,32.55,1076933,,,,,,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-06 00:00:00+00:00,29.09,30.697,28.435,29.84,806264,,,,,,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-07 00:00:00+00:00,28.05,29.58,27.835,28.76,1047939,,,,,,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-10 00:00:00+00:00,27.53,27.71,26.56,27.71,1115115,,,,,,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-11 00:00:00+00:00,28.05,28.49,27.2,27.49,676130,,,,,,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-12 00:00:00+00:00,26.11,28.3647,26.11,28.13,739966,,,,,,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-13 00:00:00+00:00,24.99,26.19,24.85,26.19,927443,,,,,,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-14 00:00:00+00:00,24.94,25.3137,24.03,24.78,636463,,,,,,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-18 00:00:00+00:00,23.4,24.46,23.34,24.42,1076481,,,,,,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-19 00:00:00+00:00,22.52,23.98,22.39,23.4,1079275,,,,,,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-20 00:00:00+00:00,21.88,23.84,21.78,22.7,1965246,,,,,,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-21 00:00:00+00:00,21.59,22.25,21.3186,21.56,1643646,,,,,,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-24 00:00:00+00:00,22.24,22.35,20.42,21.11,2122264,,,,,,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-25 00:00:00+00:00,22.08,22.75,21.19,21.86,1323765,,,,,,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-26 00:00:00+00:00,21.4,23.18,21.22,22.955,1095424,,,,,,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-27 00:00:00+00:00,20.15,22.2894,20.08,21.53,1278144,,,,,,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-28 00:00:00+00:00,21.18,21.18,19.7,20.15,1211484,,,,,,,,,,,,20.686666666666664,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-31 00:00:00+00:00,22.54,22.54,21.25,21.25,1014965,,,,,,,,,,,,21.33551760224465,#000000,0,,,0.0,0.0,0.0,0.0
2022-02-01 00:00:00+00:00,23.09,23.19,21.97,23.16,781254,,,,,,,,,,,,21.702930884465655,#000000,0,,,0.0,0.0,0.0,0.0
2022-02-02 00:00:00+00:00,21.96,23.03,21.85,23.0,607902,,,,,,,,,,,,21.79995516379693,#000000,0,,,0.0,0.0,0.0,0.0
2022-02-03 00:00:00+00:00,21.27,21.77,20.97,21.7,1065883,,,,,,,,,,,,21.694473459435688,#000000,0,,,0.0,0.0,0.0,0.0
2022-02-04 00:00:00+00:00,21.46,21.815,20.98,21.23,584116,,,,,,,,,,,,21.663841101609613,#000000,0,,,0.0,0.0,0.0,0.0
2022-02-07 00:00:00+00:00,21.72,22.36,21.3,21.49,1153615,,,,,,,,,,,,21.687112496603294,#000000,0,,,0.0,0.0,0.0,0.0
2022-02-08 00:00:00+00:00,22.44,22.54,21.36,21.62,848099,,,,,,,,,,,,21.73685264357497,#000000,0,,,0.0,0.0,0.0,0.0
2022-02-09 00:00:00+00:00,23.3,23.685,22.75,23.05,1144554,,,,,,,,,,,,21.942057393407786,#000000,0,,,0.0,0.0,0.0,0.0
2022-02-10 00:00:00+00:00,22.71,23.78,22.47,22.85,882197,,,,,,,,,,,,22.5139394092799,#000000,0,,,0.0,0.0,0.0,0.0
