date,Open,High,Low,Close,Volume,aVWAP_peak_223,aVWAP_peak_168,aVWAP_peak_157,aVWAP_peak_135,aVWAP_peak_76,aVWAP_valley_162,aVWAP_valley_147,aVWAP_valley_144,aVWAP_valley_115,Peaks_avg,Valleys_avg,color
2025-07-09 13:30:00+00:00,96.96,97.3,96.51,96.62,1352.0,,,,,,,,,,,,#000000
2025-07-09 13:35:00+00:00,96.62,96.62,96.525,96.525,660.0,,,,,,,,,,,,#000000
2025-07-09 13:40:00+00:00,96.51,96.54,96.21,96.38,2169.0,,,,,,,,,,,,#000000
2025-07-09 13:45:00+00:00,96.24,96.41,96.1,96.265,2434.0,,,,,,,,,,,,#000000
2025-07-09 13:50:00+00:00,96.28,96.5,96.23,96.46,1141.0,,,,,,,,,,,,#000000
2025-07-09 13:55:00+00:00,96.42,96.705,96.42,96.585,1025.0,,,,,,,,,,,,#000000
2025-07-09 14:00:00+00:00,96.7,96.775,96.61,96.65,860.0,,,,,,,,,,,,#000000
2025-07-09 14:05:00+00:00,96.61,96.655,96.4,96.585,1225.0,,,,,,,,,,,,#000000
2025-07-09 14:10:00+00:00,96.6,96.6,96.5,96.51,913.0,,,,,,,,,,,,#000000
2025-07-09 14:15:00+00:00,96.51,96.84,96.51,96.79,556.0,,,,,,,,,,,,#000000
2025-07-09 14:20:00+00:00,96.83,96.84,96.76,96.84,342.0,,,,,,,,,,,,#000000
2025-07-09 14:25:00+00:00,96.84,97.18,96.84,97.18,515.0,,,,,,,,,,,,#000000
2025-07-09 14:30:00+00:00,97.17,97.35,97.15,97.25,1118.0,,,,,,,,,,,,#000000
2025-07-09 14:35:00+00:00,97.25,97.265,97.05,97.05,298.0,,,,,,,,,,,,#000000
2025-07-09 14:40:00+00:00,97.13,97.505,97.13,97.475,816.0,,,,,,,,,,,,#000000
2025-07-09 14:45:00+00:00,97.495,97.51,97.42,97.49,405.0,,,,,,,,,,,,#000000
2025-07-09 14:50:00+00:00,97.45,97.47,97.41,97.41,517.0,,,,,,,,,,,,#000000
