date,Open,High,Low,Close,Volume,aVWAP_peak_603,aVWAP_peak_582,aVWAP_peak_568,aVWAP_peak_545,aVWAP_peak_525,aVWAP_peak_507,aVWAP_peak_469,aVWAP_valley_610,aVWAP_valley_594,aVWAP_valley_576,aVWAP_valley_557,aVWAP_valley_535,aVWAP_valley_517,aVWAP_valley_501,aVWAP_valley_475,aVWAP_valley_455,aVWAP_valley_421,aVWAP_valley_328,aVWAP_valley_316,aVWAP_valley_290,aVWAP_valley_254,aVWAP_valley_211,aVWAP_valley_170,aVWAP_valley_139,aVWAP_valley_111,aVWAP_valley_83,aVWAP_valley_55,aVWAP_valley_12,Peaks_avg,Valleys_avg,color,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2023-10-30 16:00:00+00:00,13.085,13.165,13.015,13.16,181997.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,181997.0,False,False,False,False
2023-10-31 16:00:00+00:00,13.23,13.235,13.075,13.135,407837.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-407837.0,-6323.054263565891,False,False,False,False,185498.3953488372,False,False,False,False
2023-11-01 16:00:00+00:00,13.175,13.235,13.1,13.13,280020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-687857.0,-16889.47202692146,False,False,False,False,186963.84658373895,False,False,False,False
2023-11-02 16:00:00+00:00,13.495,13.675,13.42,13.615,480389.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-207468.0,-19844.17788696919,False,False,False,False,191513.07376848717,False,False,False,False
2023-11-03 16:00:00+00:00,13.475,13.655,13.46,13.645,245889.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,38421.0,-18940.84179569835,False,False,False,False,192356.11138447962,False,False,False,False
2023-11-06 16:00:00+00:00,13.525,13.575,13.465,13.55,380660.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-342239.0,-23953.216341501477,False,False,False,False,195275.55151805357,False,False,False,False
2023-11-06 20:00:00+00:00,13.555,13.595,13.48,13.48,219989.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-562228.0,-32298.561824578974,False,False,False,False,195658.70575808373,False,False,False,False
2023-11-07 16:00:00+00:00,13.275,13.395,13.26,13.335,253753.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-815981.0,-44448.67714512814,False,False,False,False,196559.39249051653,False,False,False,False
2023-11-07 20:00:00+00:00,13.335,13.355,13.27,13.315,176279.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-992260.0,-59143.42633667654,False,False,False,False,196244.96780074108,False,False,False,False
2023-11-08 16:00:00+00:00,13.115,13.135,13.045,13.105,232560.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-1224820.0,-77215.93135471255,False,False,False,False,196807.99155576833,False,False,False,False
