date,Open,High,Low,Close,Volume,aVWAP_peak_858,aVWAP_peak_835,aVWAP_peak_825,aVWAP_peak_810,aVWAP_peak_798,aVWAP_peak_763,aVWAP_peak_762,aVWAP_peak_728,aVWAP_peak_726,aVWAP_peak_725,aVWAP_peak_723,aVWAP_peak_691,aVWAP_peak_690,aVWAP_peak_659,aVWAP_peak_637,aVWAP_peak_626,aVWAP_peak_625,aVWAP_peak_581,aVWAP_peak_563,aVWAP_valley_870,aVWAP_valley_840,aVWAP_valley_822,aVWAP_valley_791,aVWAP_valley_790,aVWAP_valley_714,aVWAP_valley_696,aVWAP_valley_665,aVWAP_valley_648,aVWAP_valley_630,aVWAP_valley_606,aVWAP_valley_582,aVWAP_valley_540,aVWAP_valley_511,aVWAP_valley_509,aVWAP_valley_485,aVWAP_valley_443,aVWAP_OB_bull_881,aVWAP_OB_bull_828,aVWAP_OB_bull_443,aVWAP_OB_bear_728,aVWAP_OB_bear_563,aVWAP_OB_bear_425,Peaks_Valleys_avg,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_50,SMA_200,OB,OB_High,OB_Low,OB_Mitigated_Index,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2024-12-26 15:00:00+00:00,1.235,1.255,1.23,1.25,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,200.0,False,False,False,False
2024-12-26 16:00:00+00:00,1.25,1.25,1.23,1.23,2010.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-2010.0,-31.162790697674417,False,False,False,False,228.06201550387595,False,False,False,False
2024-12-26 17:00:00+00:00,1.23,1.235,1.23,1.23,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-2010.0,-61.842437353524424,False,False,False,False,232.27810828676158,False,False,False,False
2024-12-26 18:00:00+00:00,1.235,1.245,1.235,1.24,614.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,12.91866028708134,-38.37320574162679,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-1396.0,-82.52705072788838,False,False,False,False,238.1962771505327,False,False,False,False
2024-12-26 19:00:00+00:00,1.24,1.255,1.24,1.25,324.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,27.729474760317174,-25.818592332939424,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-1072.0,-97.86771660807615,False,False,False,False,239.52656742726862,False,False,False,False
2024-12-26 20:00:00+00:00,1.25,1.265,1.245,1.255,3889.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,39.67714737598896,-16.367732976415567,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,2817.0,-52.67596906376489,False,False,False,False,296.1075508780086,False,False,False,False
2024-12-27 15:00:00+00:00,1.25,1.26,1.235,1.255,181.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,47.642262453103484,-10.555294678770991,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,2817.0,-8.184868768202648,False,False,False,False,294.3229376861015,False,False,False,False
2024-12-27 16:00:00+00:00,1.255,1.26,1.245,1.245,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,47.23779724435112,-10.555294678770991,False,False,False,False,True,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,2817.0,35.616447026653205,False,False,False,False,289.7597913653868,False,False,False,False
2024-12-27 17:00:00+00:00,1.245,1.26,1.24,1.26,166.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,52.55289712222137,-7.592679511302791,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,2983.0,81.31231606499966,False,False,False,False,287.84103491010944,False,False,False,False
2024-12-27 18:00:00+00:00,1.255,1.26,1.25,1.255,1293.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,53.88553276255384,-6.536452131063349,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,1690.0,106.25321038957331,False,False,False,False,303.42489483398367,False,False,False,False
