date,Close,High,Low,Open,Volume,aVWAP_BoS_CHoCH_bull_230,aVWAP_BoS_CHoCH_bull_269,aVWAP_BoS_CHoCH_bull_433,aVWAP_BoS_CHoCH_bull_523,aVWAP_BoS_CHoCH_bear_90,aVWAP_BoS_CHoCH_bear_242,aVWAP_BoS_CHoCH_bear_538,aVWAP_BoS_CHoCH_bear_649,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2022-01-03 00:00:00+00:00,4.77,4.82,4.52,4.52,1660266,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,1660266.0,False,False,False,False
2022-01-04 00:00:00+00:00,4.66,4.82,4.53,4.8,3135733,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-3135733,-122969.92156862745,False,False,False,False,1718127.4509803923,False,False,False,False
2022-01-05 00:00:00+00:00,4.86,5.31,4.81,5.0,6868252,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,22.222222222222264,-94.44444444444454,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,3732519,28225.72241445596,False,False,False,False,1920093.1195693966,False,False,False,False
2022-01-06 00:00:00+00:00,4.43,5.03,4.41,5.02,4141316,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,23.439221886828648,-91.47700956670349,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-408797,11087.576437418471,False,False,False,False,2007199.899194126,False,False,False,False
2022-01-07 00:00:00+00:00,4.64,4.69,4.365,4.4,2311174,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,30.36343413491819,-82.11100634534644,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,1902377,85255.78912614715,False,False,False,False,2019120.4521669054,False,False,False,False
2022-01-10 00:00:00+00:00,4.65,4.66,4.48,4.65,1622045,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,35.21747548774699,-74.23037913825472,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,3524422,220125.0522976708,False,False,False,False,2003548.865807419,False,False,False,False
2022-01-11 00:00:00+00:00,4.71,4.81,4.44,4.64,1706048,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,39.88286820479482,-66.20064412033379,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,5230470,416609.1678938406,False,False,False,False,1991882.1651875202,False,False,False,False
2022-01-12 00:00:00+00:00,4.85,5.09,4.742,4.76,2232750,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,45.8127199904597,-56.870722487725544,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,7463220,692946.8475842782,False,False,False,False,2001327.962631147,False,False,False,False
2022-01-13 00:00:00+00:00,4.64,5.015,4.5968,4.92,2047065,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,45.62173110202459,-53.25303854320331,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,5416155,878170.6966986202,False,False,False,False,2003121.5719397294,False,False,False,False
2022-01-14 00:00:00+00:00,4.61,4.6267,4.395,4.57,2078361,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,45.00029770745943,-49.9237138742833,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,3337794,974626.5125143606,False,False,False,False,2006072.1377460144,False,False,False,False
