date,Open,High,Low,Close,Volume,aVWAP_peak_218,aVWAP_peak_200,aVWAP_peak_199,aVWAP_peak_188,aVWAP_peak_178,aVWAP_peak_125,aVWAP_peak_124,aVWAP_peak_123,aVWAP_peak_97,aVWAP_valley_223,aVWAP_valley_222,aVWAP_valley_208,aVWAP_valley_194,aVWAP_valley_166,aVWAP_valley_136,aVWAP_valley_127,aVWAP_valley_107,aVWAP_valley_77,aVWAP_valley_66,aVWAP_valley_65,aVWAP_valley_63,aVWAP_valley_62,aVWAP_valley_12,aVWAP_valley_11,aVWAP_valley_10,Peaks_avg,Valleys_avg,color
2025-07-09 13:30:00+00:00,2.31,2.335,2.295,2.3,1400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 13:35:00+00:00,2.305,2.31,2.29,2.295,705.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 13:40:00+00:00,2.295,2.3,2.27,2.275,1200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 13:45:00+00:00,2.275,2.28,2.245,2.245,496.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 13:50:00+00:00,2.245,2.25,2.23,2.24,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 13:55:00+00:00,2.24,2.25,2.23,2.235,1318.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:00:00+00:00,2.235,2.245,2.235,2.235,800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:05:00+00:00,2.23,2.23,2.225,2.225,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:10:00+00:00,2.225,2.225,2.225,2.225,498.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:15:00+00:00,2.225,2.235,2.225,2.225,984.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:20:00+00:00,2.225,2.24,2.225,2.24,600.0,,,,,,,,,,,,,,,,,,,,,,,,,2.235,,2.235,#000000
2025-07-09 14:25:00+00:00,2.235,2.235,2.225,2.225,628.0,,,,,,,,,,,,,,,,,,,,,,,,2.2283333333333335,2.2315906623235615,,2.2299619978284477,#000000
2025-07-09 14:30:00+00:00,2.225,2.275,2.225,2.275,1300.0,,,,,,,,,,,,,,,,,,,,,,,2.2583333333333333,2.2485615491009687,2.2453428270042197,,2.250745903146174,#000000
2025-07-09 14:35:00+00:00,2.275,2.295,2.275,2.285,1055.0,,,,,,,,,,,,,,,,,,,,,,,2.2702795470629864,2.261448765225165,2.2570197227649085,,2.2629160116843536,#000000
2025-07-09 14:40:00+00:00,2.285,2.285,2.28,2.285,505.0,,,,,,,,,,,,,,,,,,,,,,,2.2725844988344988,2.264617259174312,2.26027030332681,,2.265824020445207,#000000
2025-07-09 14:45:00+00:00,2.285,2.285,2.265,2.265,1500.0,,,,,,,,,,,,,,,,,,,,,,,2.27226873088685,2.266737169206095,2.263329455977094,,2.2674451186900133,#000000
