date,Close,High,Low,Open,Volume,aVWAP_peak_164,aVWAP_peak_115,aVWAP_peak_105,aVWAP_peak_94,aVWAP_peak_83,aVWAP_peak_60,aVWAP_peak_28,aVWAP_valley_173,aVWAP_valley_171,aVWAP_valley_159,aVWAP_valley_158,aVWAP_valley_120,aVWAP_valley_103,aVWAP_valley_92,Peaks_avg,Valleys_avg,color
2021-12-31 00:00:00+00:00,9.02,9.26,8.145,9.26,186978,,,,,,,,,,,,,,,,,#000000
2022-01-07 00:00:00+00:00,7.88,8.66,7.78,8.5601,309663,,,,,,,,,,,,,,,,,#000000
2022-01-14 00:00:00+00:00,8.49,8.66,7.75,8.365,271801,,,,,,,,,,,,,,,,,#000000
2022-01-21 00:00:00+00:00,8.05,8.609,8.0,8.41,281584,,,,,,,,,,,,,,,,,#000000
2022-01-28 00:00:00+00:00,8.18,8.47,7.86,8.0,258699,,,,,,,,,,,,,,,,,#000000
2022-02-04 00:00:00+00:00,8.05,8.29,7.96,8.14,209809,,,,,,,,,,,,,,,,,#000000
2022-02-11 00:00:00+00:00,7.8,8.15,7.79,8.01,154220,,,,,,,,,,,,,,,,,#000000
2022-02-18 00:00:00+00:00,7.44,7.88,7.41,7.81,178539,,,,,,,,,,,,,,,,,#000000
2022-02-25 00:00:00+00:00,7.09,7.54,6.95,7.46,197393,,,,,,,,,,,,,,,,,#000000
2022-03-04 00:00:00+00:00,6.36,7.06,6.27,7.0,304886,,,,,,,,,,,,,,,,,#000000
2022-03-11 00:00:00+00:00,5.78,6.69,5.62,6.42,257866,,,,,,,,,,,,,,,,,#000000
2022-03-18 00:00:00+00:00,6.28,6.81,5.82,5.82,362122,,,,,,,,,,,,,,,,,#000000
2022-03-25 00:00:00+00:00,6.18,6.62,6.0,6.23,296949,,,,,,,,,,,,,,,,,#000000
2022-04-01 00:00:00+00:00,6.75,7.1901,6.18,6.18,324638,,,,,,,,,,,,,,,,,#000000
2022-04-08 00:00:00+00:00,5.13,6.69,5.0,6.69,279904,,,,,,,,,,,,,,,,,#000000
2022-04-15 00:00:00+00:00,4.56,5.22,4.54,5.18,295410,,,,,,,,,,,,,,,,,#000000
2022-04-22 00:00:00+00:00,3.56,4.95,3.52,4.95,716907,,,,,,,,,,,,,,,,,#000000
2022-04-29 00:00:00+00:00,3.4,3.53,3.06,3.52,373821,,,,,,,,,,,,,,,,,#000000
2022-05-06 00:00:00+00:00,3.12,3.61,2.975,3.35,437502,,,,,,,,,,,,,,,,,#000000
2022-05-13 00:00:00+00:00,2.99,3.41,2.76,3.1,381147,,,,,,,,,,,,,,,,,#000000
2022-05-20 00:00:00+00:00,2.92,3.34,2.66,2.96,211424,,,,,,,,,,,,,,,,,#000000
2022-05-27 00:00:00+00:00,3.36,3.69,2.56,2.56,194984,,,,,,,,,,,,,,,,,#000000
2022-06-03 00:00:00+00:00,4.05,4.07,3.0,3.31,176119,,,,,,,,,,,,,,,,,#000000
2022-06-10 00:00:00+00:00,4.07,4.66,3.235,4.0,360483,,,,,,,,,,,,,,,,,#000000
