date,Close,High,Low,Open,Volume,aVWAP_peak_860,aVWAP_peak_847,aVWAP_peak_772,aVWAP_peak_739,aVWAP_peak_668,aVWAP_peak_642,aVWAP_peak_628,aVWAP_peak_610,aVWAP_peak_589,aVWAP_peak_561,aVWAP_peak_535,aVWAP_peak_521,aVWAP_peak_470,aVWAP_peak_446,aVWAP_peak_432,aVWAP_peak_420,aVWAP_peak_394,aVWAP_peak_375,aVWAP_peak_331,aVWAP_peak_294,aVWAP_peak_293,aVWAP_peak_282,aVWAP_peak_230,aVWAP_peak_152,aVWAP_peak_124,aVWAP_peak_110,aVWAP_peak_67,aVWAP_peak_27,aVWAP_valley_817,aVWAP_valley_745,aVWAP_valley_691,aVWAP_valley_649,aVWAP_valley_603,aVWAP_valley_564,aVWAP_valley_548,aVWAP_valley_527,aVWAP_valley_457,aVWAP_valley_439,aVWAP_valley_422,aVWAP_valley_408,aVWAP_valley_349,aVWAP_valley_328,aVWAP_valley_316,aVWAP_valley_303,aVWAP_valley_249,aVWAP_valley_197,aVWAP_valley_184,aVWAP_valley_136,aVWAP_valley_114,aVWAP_valley_90,aVWAP_valley_48,aVWAP_valley_37,aVWAP_valley_14,aVWAP_OB_bull_867,aVWAP_OB_bull_457,aVWAP_OB_bull_380,aVWAP_OB_bull_349,aVWAP_OB_bull_249,aVWAP_OB_bear_772,aVWAP_OB_bear_294,Peaks_Valleys_avg,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore
2022-01-03 00:00:00+00:00,10.4109712471,10.6221471345,10.3832368139,10.4180104434,198426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,
2022-01-04 00:00:00+00:00,10.4180104434,10.4884024058,10.3194616959,10.4532064246,130728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,
2022-01-05 00:00:00+00:00,10.3053833035,10.3828144622,10.206834556,10.3687360697,100793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,
2022-01-06 00:00:00+00:00,10.4039320509,10.4109712471,10.2490697335,10.3476184809,81331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,
2022-01-07 00:00:00+00:00,10.4532064246,10.5447159758,10.3828144622,10.4109712471,69770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,
2022-01-10 00:00:00+00:00,10.664382312,10.7136566857,10.4280061021,10.4602456209,83677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,
2022-01-11 00:00:00+00:00,10.5376767796,10.664382312,10.5235983871,10.664382312,94668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,
2022-01-12 00:00:00+00:00,10.4891063255,10.736824761,10.2626208987,10.6377373868,162309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,
2022-01-13 00:00:00+00:00,10.3829412817,10.6377373868,10.3546306033,10.4820286559,193079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,
2022-01-14 00:00:00+00:00,10.2343102204,10.3970966209,10.1989218725,10.326319925,216711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,
2022-01-18 00:00:00+00:00,10.0007471241,10.2449267248,9.951203437,10.2201548812,440203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,
2022-01-19 00:00:00+00:00,10.0892179939,10.0998344983,10.0007471241,10.0007471241,196573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,
2022-01-20 00:00:00+00:00,10.0786014895,10.2343102204,10.0502908112,10.1281451766,191256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,
2022-01-21 00:00:00+00:00,10.0795215866,10.1177468909,9.9371554625,10.0724032804,1110830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,
2022-01-24 00:00:00+00:00,9.5812401522,10.008907989,9.4815838653,9.9869836059,642930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.690577335499999,,,,,,,,9.690577335499999,,9.690577335499999,#000000,,9.690577335499999,
2022-01-25 00:00:00+00:00,9.6381866018,9.7947893384,9.4958204777,9.4958204777,235577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.677800986096742,,,,,,,,9.677800986096742,,9.677800986096742,#000000,,9.677800986096742,
2022-01-26 00:00:00+00:00,9.8019076446,9.8588540942,9.6915738984,9.7734344197,138534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.692281890255666,,,,,,,,9.692281890255666,,9.692281890255666,#000000,,9.692281890255666,
2022-01-27 00:00:00+00:00,10.0225751369,10.0225751369,9.7974942947,9.8659724004,124762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.72017420970685,,,,,,,,9.72017420970685,,9.72017420970685,#000000,,9.72017420970685,
2022-01-28 00:00:00+00:00,10.0866398928,10.0866398928,9.92291885,10.0510483617,66606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.737365308660811,,,,,,,,9.737365308660811,,9.737365308660811,#000000,,9.737365308660811,
2022-01-31 00:00:00+00:00,10.1862961796,10.2005327921,10.0225751369,10.1008765052,120045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.773430002603877,,,,,,,,9.773430002603877,,9.773430002603877,#000000,,9.773430002603877,
2022-02-01 00:00:00+00:00,10.3500172224,10.3642538348,10.1507046486,10.1507046486,97814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.808741712806784,,,,,,,,9.808741712806784,,9.808741712806784,#000000,,9.808741712806784,
2022-02-02 00:00:00+00:00,10.3001890789,10.371372141,10.2503609355,10.3144256913,121034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.84774082066315,,,,,,,,9.84774082066315,,9.84774082066315,#000000,,9.84774082066315,
