date,Open,High,Low,Close,Volume,aVWAP_peak_875,aVWAP_peak_856,aVWAP_peak_855,aVWAP_valley_870,aVWAP_valley_852,aVWAP_valley_804,aVWAP_valley_769,aVWAP_valley_768,aVWAP_valley_738,aVWAP_valley_725,aVWAP_valley_677,aVWAP_valley_640,aVWAP_valley_606,aVWAP_valley_547,aVWAP_valley_480,aVWAP_valley_452,aVWAP_valley_451,aVWAP_valley_414,aVWAP_valley_400,aVWAP_valley_396,aVWAP_valley_379,aVWAP_valley_369,aVWAP_valley_368,aVWAP_valley_336,aVWAP_valley_308,aVWAP_valley_285,aVWAP_valley_257,aVWAP_valley_242,aVWAP_valley_216,aVWAP_valley_191,aVWAP_valley_168,aVWAP_valley_121,aVWAP_valley_82,aVWAP_valley_60,aVWAP_valley_48,aVWAP_valley_17,Peaks_avg,Valleys_avg,color,OB,OB_High,OB_Low,OB_Mitigated_Index
2024-12-16 15:00:00+00:00,0.889,0.912,0.8854,0.912,11286.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-16 16:00:00+00:00,0.9129,0.9716,0.9126,0.9549,12098.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-16 17:00:00+00:00,0.9549,0.9583,0.9302,0.9583,9803.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-16 18:00:00+00:00,0.9583,0.9583,0.9559,0.9559,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-16 19:00:00+00:00,0.9559,0.9559,0.91,0.9151,326.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-16 20:00:00+00:00,0.9151,0.9274,0.9151,0.9201,6911.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-17 15:00:00+00:00,0.926,0.926,0.8659,0.8687,9975.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-17 16:00:00+00:00,0.8687,0.8878,0.8687,0.8854,4978.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-17 17:00:00+00:00,0.8854,0.8945,0.8799,0.89,2214.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-17 18:00:00+00:00,0.89,0.9211,0.89,0.9175,12804.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-17 19:00:00+00:00,0.9175,0.9175,0.8899,0.8899,1878.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
