date,Open,High,Low,Close,Volume,Peaks_Valleys_avg,color
2025-06-30 13:30:00+00:00,7.945,7.945,7.945,7.945,0.0,,#000000
2025-06-30 13:35:00+00:00,7.945,7.945,7.845,7.845,36.0,,"rgba(239, 83, 80, 0.5)"
2025-06-30 13:40:00+00:00,7.845,7.845,7.845,7.845,0.0,,"rgba(239, 83, 80, 0.5)"
2025-06-30 13:45:00+00:00,7.845,7.845,7.845,7.845,0.0,,"rgba(239, 83, 80, 0.5)"
2025-06-30 13:50:00+00:00,7.845,7.845,7.845,7.845,0.0,,"rgba(239, 83, 80, 0.5)"
2025-06-30 13:55:00+00:00,7.845,7.845,7.845,7.845,0.0,,"rgba(239, 83, 80, 0.5)"
2025-06-30 14:00:00+00:00,7.845,7.92,7.845,7.92,80.0,,"rgba(239, 83, 80, 0.5)"
2025-06-30 14:05:00+00:00,7.92,7.92,7.9,7.92,112.0,,"rgba(239, 83, 80, 0.5)"
2025-06-30 14:10:00+00:00,7.9,7.9,7.9,7.9,109.0,,"rgba(239, 83, 80, 0.5)"
2025-06-30 14:15:00+00:00,7.9,7.9,7.9,7.9,87.0,,"rgba(239, 83, 80, 0.5)"
2025-06-30 14:20:00+00:00,7.9,7.9,7.88,7.885,94.0,,"rgba(239, 83, 80, 0.5)"
2025-06-30 14:25:00+00:00,7.885,7.885,7.885,7.885,6.0,,"rgba(239, 83, 80, 0.5)"
2025-06-30 14:30:00+00:00,7.885,7.905,7.88,7.905,60.0,,"rgba(239, 83, 80, 0.5)"
2025-06-30 14:35:00+00:00,7.89,7.93,7.89,7.93,19.0,,#000000
2025-06-30 14:40:00+00:00,7.92,7.92,7.915,7.915,86.0,,#000000
2025-06-30 14:45:00+00:00,7.915,7.94,7.915,7.94,6.0,,"rgba(38, 166, 154, 1.0)"
2025-06-30 14:50:00+00:00,7.94,7.95,7.94,7.95,87.0,,"rgba(38, 166, 154, 1.0)"
2025-06-30 14:55:00+00:00,7.95,7.97,7.95,7.97,8.0,,"rgba(38, 166, 154, 1.0)"
2025-06-30 15:00:00+00:00,7.97,7.97,7.97,7.97,10.0,,"rgba(38, 166, 154, 1.0)"
2025-06-30 15:05:00+00:00,7.97,7.97,7.96,7.96,81.0,,"rgba(38, 166, 154, 1.0)"
2025-06-30 15:10:00+00:00,7.96,7.96,7.95,7.95,83.0,,"rgba(38, 166, 154, 1.0)"
2025-06-30 15:15:00+00:00,7.95,7.99,7.95,7.985,19.0,,"rgba(38, 166, 154, 1.0)"
2025-06-30 15:20:00+00:00,7.98,7.985,7.98,7.985,141.0,,"rgba(38, 166, 154, 1.0)"
2025-06-30 15:25:00+00:00,7.985,7.985,7.97,7.985,23.0,,"rgba(38, 166, 154, 1.0)"
2025-06-30 15:30:00+00:00,7.985,8.0,7.97,8.0,31.0,7.989999999999999,"rgba(38, 166, 154, 1.0)"
2025-06-30 15:35:00+00:00,7.985,8.0,7.985,8.0,121.0,7.994490131578948,"rgba(38, 166, 154, 1.0)"
