date,Close,High,Low,Open,Volume,aVWAP_peak_859,aVWAP_peak_858,aVWAP_peak_828,aVWAP_peak_803,aVWAP_peak_777,aVWAP_peak_774,aVWAP_peak_757,aVWAP_peak_734,aVWAP_peak_710,aVWAP_peak_697,aVWAP_peak_687,aVWAP_peak_664,aVWAP_peak_642,aVWAP_peak_605,aVWAP_peak_531,aVWAP_peak_507,aVWAP_peak_496,aVWAP_peak_482,aVWAP_peak_449,aVWAP_peak_394,aVWAP_peak_365,aVWAP_peak_339,aVWAP_peak_313,aVWAP_peak_283,aVWAP_peak_281,aVWAP_peak_261,aVWAP_peak_226,aVWAP_peak_212,aVWAP_peak_205,aVWAP_peak_191,aVWAP_peak_154,aVWAP_peak_143,aVWAP_peak_96,aVWAP_peak_46,aVWAP_peak_28,aVWAP_valley_871,aVWAP_valley_856,aVWAP_valley_845,aVWAP_valley_818,aVWAP_valley_793,aVWAP_valley_751,aVWAP_valley_723,aVWAP_valley_705,aVWAP_valley_683,aVWAP_valley_656,aVWAP_valley_631,aVWAP_valley_620,aVWAP_valley_575,aVWAP_valley_574,aVWAP_valley_573,aVWAP_valley_560,aVWAP_valley_559,aVWAP_valley_558,aVWAP_valley_557,aVWAP_valley_528,aVWAP_valley_492,aVWAP_valley_480,aVWAP_valley_467,aVWAP_valley_440,aVWAP_valley_413,aVWAP_valley_377,aVWAP_valley_354,aVWAP_valley_307,aVWAP_valley_269,aVWAP_valley_235,aVWAP_valley_222,aVWAP_valley_195,aVWAP_valley_183,aVWAP_valley_126,aVWAP_valley_90,aVWAP_valley_36,aVWAP_valley_14,aVWAP_OB_bull_871,aVWAP_OB_bull_377,aVWAP_OB_bear_803,aVWAP_OB_bear_449,aVWAP_OB_bear_394,aVWAP_OB_bear_313,aVWAP_OB_bear_283,aVWAP_OB_bear_154,aVWAP_OB_bear_96,aVWAP_OB_bear_46,Peaks_Valleys_avg,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore
2022-01-03 00:00:00+00:00,9.06,9.49,9.06,9.49,32821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,
2022-01-04 00:00:00+00:00,9.88,9.88,9.1,9.1,84720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,
2022-01-05 00:00:00+00:00,10.21,10.4699,9.88,9.88,185022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,
2022-01-06 00:00:00+00:00,10.2,10.4257,10.067,10.36,83895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,
2022-01-07 00:00:00+00:00,10.43,10.6,10.12,10.12,134893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,
2022-01-10 00:00:00+00:00,10.41,10.76,10.2001,10.42,106625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,
2022-01-11 00:00:00+00:00,10.67,10.67,10.23,10.51,49941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,
2022-01-12 00:00:00+00:00,10.86,11.07,10.72,10.72,128153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,
2022-01-13 00:00:00+00:00,10.56,10.9999,10.53,10.81,107198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,
2022-01-14 00:00:00+00:00,10.32,10.45,9.998,10.44,81122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,
